q_y_L0,constraint,stiffness_eV_L0sq,rigid_local_stiffness,relaxed_local_stiffness,continuum_additive_comparator,observed_quadrature_change,layer_phase_points,derivative_slope,measured_secant_slope
0.0,logical_rows,4.795625552378889,4.945211215219163,4.795625552378889,4.945211215219163,0.0,1024,2.099137069112,
0.002,logical_rows,4.799832573488307,4.945211215219163,4.795625552378889,4.948232068522457,0.0,65536,2.099137069112,2.1035105547091426
0.005,logical_rows,4.806175897134498,4.945211215219163,4.795625552378889,4.952763348477397,0.0,32768,2.099137069112,2.1100689511218462
0.01,logical_rows,4.816835497188962,4.945211215219163,4.795625552378889,4.960315481735631,0.0,16384,2.099137069112,2.1209944810073544
0.02,logical_rows,4.838482045990229,4.945211215219163,4.795625552378889,4.9754197482521,0.0,8192,2.099137069112,2.142824680567035
0.05,logical_rows,4.906031446332794,4.945211215219163,4.795625552378889,5.020732547801506,0.0,2048,2.099137069112,2.208117879078113
0.1,logical_rows,5.027235850700373,4.945211215219163,4.795625552378889,5.096253880383849,8.881784197001252e-16,1024,2.099137069112,2.316102983214847
0.25,logical_rows,5.453493808556247,4.945211215219163,4.795625552378889,5.322817878130879,0.0,1024,2.099137069112,2.6314730247094325
0.5,logical_rows,6.3580611464963335,4.945211215219163,4.795625552378889,5.700424541042594,0.0,1024,2.099137069112,3.1248711882348896
1.0,logical_rows,8.833927790445816,4.945211215219163,4.795625552378889,6.455637866866025,1.7763568394002505e-15,1024,2.099137069112,4.038302238066928
2.0,logical_rows,16.315829952532482,4.945211215219163,4.795625552378889,7.966064518512886,0.0,1024,2.099137069112,5.760102200076797
3.6275987284684357,logical_rows,26.199338624830787,4.945211215219163,4.795625552378889,10.424433016178156,3.552713678800501e-15,1024,2.099137069112,5.9002427430799385
0.0,spectral_same_y,4.795625552378889,4.945211215219163,4.795625552378889,4.945211215219163,0.0,1024,1.0894804846052677,
0.002,spectral_same_y,4.797815632482558,4.945211215219163,4.795625552378889,4.948232068522457,8.881784197001252e-16,65536,1.0894804846052677,1.0950400518345837
0.005,spectral_same_y,4.80114240609417,4.945211215219163,4.795625552378889,4.952763348477397,0.0,32768,1.0894804846052677,1.103370743056331
0.01,spectral_same_y,4.8067978715896045,4.945211215219163,4.795625552378889,4.960315481735631,8.881784197001252e-16,16384,1.0894804846052677,1.117231921071582
0.02,spectral_same_y,4.818522861809113,4.945211215219163,4.795625552378889,4.9754197482521,0.0,8192,1.0894804846052677,1.1448654715112028
0.05,spectral_same_y,4.85697705372777,4.945211215219163,4.795625552378889,5.020732547801506,0.0,2048,1.0894804846052677,1.2270300269776335
0.1,spectral_same_y,4.931763237420552,4.945211215219163,4.795625552378889,5.096253880383849,0.0,2048,1.0894804846052677,1.3613768504166313
0.25,spectral_same_y,5.231518494919172,4.945211215219163,4.795625552378889,5.322817878130879,8.881784197001252e-16,1024,1.0894804846052677,1.7435717701611324
0.5,spectral_same_y,5.952603445944537,4.945211215219163,4.795625552378889,5.700424541042594,8.881784197001252e-16,1024,1.0894804846052677,2.313955787131297
1.0,spectral_same_y,8.084440406847415,4.945211215219163,4.795625552378889,6.455637866866025,0.0,1024,1.0894804846052677,3.2888148544685265
2.0,spectral_same_y,14.602803667077296,4.945211215219163,4.795625552378889,7.966064518512886,0.0,1024,1.0894804846052677,4.903589057349204
3.6275987284684357,spectral_same_y,22.342576208738127,4.945211215219163,4.795625552378889,10.424433016178156,0.0,1024,1.0894804846052677,4.837070461695613
