model,state,channel,radius,layers,reciprocal,direct,absolute_error,validation_cutoff_only
saturated,inspected039,rank2,6,6,0.0028279440064236704,0.002827944006423669,1.3010426069826053e-18,True
saturated,inspected039,Eg,6,6,0.00440354507842131,0.004403545078730725,3.094148201543412e-13,True
saturated,inspected039,rank2,12,12,0.0028279440064236704,0.002827944006423669,1.3010426069826053e-18,True
saturated,inspected039,Eg,12,12,0.00440354507842131,0.004403545078421309,8.673617379884035e-19,True
saturated,inspected039,rank2,18,18,0.0028279440064236704,0.002827944006423669,1.3010426069826053e-18,True
saturated,inspected039,Eg,18,18,0.00440354507842131,0.004403545078421309,8.673617379884035e-19,True
saturated,heldout031,rank2,6,6,0.0027479714129707037,0.0027479714129707037,0.0,True
saturated,heldout031,Eg,6,6,0.004342598416495671,0.004342598416645005,1.4933453779120143e-13,True
saturated,heldout031,rank2,12,12,0.0027479714129707037,0.0027479714129707037,0.0,True
saturated,heldout031,Eg,12,12,0.004342598416495671,0.004342598416495671,0.0,True
saturated,heldout031,rank2,18,18,0.0027479714129707037,0.0027479714129707037,0.0,True
saturated,heldout031,Eg,18,18,0.004342598416495671,0.004342598416495671,0.0,True
saturated,heldout_off,rank2,6,6,0.0013632293618179201,0.0013632293618179195,6.505213034913027e-19,True
saturated,heldout_off,Eg,6,6,0.006801438435722723,0.006801438433648479,2.0742435546949878e-12,True
saturated,heldout_off,rank2,12,12,0.0013632293618179201,0.0013632293618179195,6.505213034913027e-19,True
saturated,heldout_off,Eg,12,12,0.006801438435722723,0.006801438435722733,1.0408340855860843e-17,True
saturated,heldout_off,rank2,18,18,0.0013632293618179201,0.0013632293618179195,6.505213034913027e-19,True
saturated,heldout_off,Eg,18,18,0.006801438435722723,0.006801438435722733,1.0408340855860843e-17,True
saturated,heldout_opening,rank2,6,6,0.0026282369978197395,0.0026282369978197395,0.0,True
saturated,heldout_opening,Eg,6,6,0.008450463423407302,0.008450463422693852,7.134501323058373e-13,True
saturated,heldout_opening,rank2,12,12,0.0026282369978197395,0.0026282369978197395,0.0,True
saturated,heldout_opening,Eg,12,12,0.008450463423407302,0.008450463423407304,1.734723475976807e-18,True
saturated,heldout_opening,rank2,18,18,0.0026282369978197395,0.0026282369978197395,0.0,True
saturated,heldout_opening,Eg,18,18,0.008450463423407302,0.008450463423407304,1.734723475976807e-18,True
