observable,role,units,target,prediction,scale,normalized_residual
normal_strain_force_ev,exact,eV/strain,0.0,-7.105427357601002e-15,0.1,-7.105427357601002e-14
cohesive_ev_atom,exact,eV/atom,3.36,3.3600000000000065,0.0672,9.912705577010327e-14
C11_GPa,exact,GPa,113.99999999999996,113.99999999999937,5.699999999999998,-1.0221842865320742e-13
C12_GPa,exact,GPa,62.000000000000014,62.000000000000256,3.100000000000001,7.793049359949484e-14
C44_GPa,exact,GPa,32.0,31.999999999999886,1.6,-7.105427357601002e-14
perfect_Haa,fit,eV/L0^2,19.66091286328976,29.49216974987243,1.9660912863289761,5.000407130097853
perfect_Hxx,fit,eV/L0^2,4.393593035123306,8.15116976535373,0.43935930351233066,8.552400507264933
saddle_energy_at_source_state,fit,eV/cell,0.07624909750742465,0.21295310218388064,0.007624909750742465,17.928606258342224
saddle_normal_force_at_source_state,fit,eV/L0,1.4903612010162394e-15,-0.03896260263735862,0.03173805605024358,-1.22763040608661
fault_energy_at_source_state,fit,eV/cell,0.06670794504308616,0.21472920316109934,0.006670794504308616,22.1894495509354
fault_normal_force_at_source_state,fit,eV/L0,5.29078226360765e-15,-0.4247340841578724,0.03173805605024358,-13.382485791993487
saddle_path_force_at_source_state,fit,eV/L0,2.296700476743968e-16,0.13285239425070255,0.03173805605024358,4.185902061562549
opening_1.1h_energy,fit,eV/cell,0.05670265774764735,0.043929142624832634,0.005670265774764736,-2.2527189430277983
opening_1.5h_energy,fit,eV/cell,0.4710312483934004,0.27775000683427087,0.04710312483934004,-4.103363465128391
opening_2h_energy,fit,eV/cell,0.7060534019484034,0.28008062408837286,0.07060534019484034,-6.033152402984379
opening_40h_energy,fit,eV/cell,0.7719163228888833,1.59386034609823,0.07719163228888834,10.648097453532728
direct_quarter_energy,fit,eV/cell,0.117221996542065,0.3153579710771323,0.0117221996542065,16.90262752554009
direct_half_energy,fit,eV/cell,0.26732847628894163,0.8610633259931083,0.026732847628894163,22.20993655245426
oblique_energy,fit,eV/cell,0.13339289745734875,0.28531066733283283,0.013339289745734876,11.388745035998525
opening_1.25h_energy,fit,eV/cell,0.24853683654490819,0.1985090929961647,0.02485368365449082,-2.012890493184657
opening_3h_energy,fit,eV/cell,0.7719163228888833,1.1619820587214447,0.07719163228888834,5.0532126898515
saddle_Haa,fit,eV/L0^2,12.717337762538286,35.05080464057835,1.2717337762538286,17.561432506595995
saddle_Hxx,fit,eV/L0^2,-0.18642463121762062,0.12195840582325548,0.018642463121762064,16.541968463431676
fault_Haa,fit,eV/L0^2,14.140554350039636,39.24948491543025,1.4140554350039638,17.75668049769225
fault_Hxx,fit,eV/L0^2,2.4858929774856264,2.8747354668914973,0.24858929774856264,1.5641964192648723
saddle_normal_path_coupling,fit,eV/L0^2,1.2055891043737141,-0.22161514308698838,0.12055891043737142,-11.838231137648794
opening_1.1h_normal_force,fit,eV/L0,1.2761663221727821,0.8406396074345166,0.03173805605024358,-13.72253908836748
opening_1.3h_normal_force,fit,eV/L0,1.4139711872929317,1.1706165714070744,0.03173805605024358,-7.667596764609961
