model,state,step,gradient_max_error,hessian_max_error
positive_pair_refinement,inspected039,4e-05,1.7576854349776738e-07,1.5261877166494742e-06
positive_pair_refinement,inspected039,2e-05,4.3978825470247784e-08,3.8166712101883604e-07
positive_pair_refinement,inspected039,1e-05,1.0849076526042722e-08,9.500753606062062e-08
positive_pair_refinement,heldout031,4e-05,1.5513545137402218e-07,1.278539308202653e-06
positive_pair_refinement,heldout031,2e-05,3.885554900051602e-08,3.197451476921742e-07
positive_pair_refinement,heldout031,1e-05,9.589376182006504e-09,7.997583395535912e-08
positive_pair_refinement,heldout_off,4e-05,5.8328870733426186e-08,5.218034715426256e-07
positive_pair_refinement,heldout_off,2e-05,1.4401855930046281e-08,1.3046512137293576e-07
positive_pair_refinement,heldout_off,1e-05,3.702081530221335e-09,3.26905560399382e-08
positive_pair_refinement,heldout_opening,4e-05,5.264732538812211e-10,1.4077838894621664e-09
positive_pair_refinement,heldout_opening,2e-05,9.348627427741008e-11,3.509903478970955e-10
positive_pair_refinement,heldout_opening,1e-05,1.854622011521201e-11,9.702683101409093e-11
