model,state,channel,radius,layers,reciprocal,direct,absolute_error,validation_cutoff_only
positive_pair_refinement,inspected039,rank2,6,6,0.0029445592450541894,0.00294455924505419,4.336808689942018e-19,True
positive_pair_refinement,inspected039,Eg,6,6,0.004617553156257823,0.004617553156404634,1.4681138249539316e-13,True
positive_pair_refinement,inspected039,rank2,12,12,0.0029445592450541894,0.00294455924505419,4.336808689942018e-19,True
positive_pair_refinement,inspected039,Eg,12,12,0.004617553156257823,0.00461755315625782,2.6020852139652106e-18,True
positive_pair_refinement,inspected039,rank2,18,18,0.0029445592450541894,0.00294455924505419,4.336808689942018e-19,True
positive_pair_refinement,inspected039,Eg,18,18,0.004617553156257823,0.00461755315625782,2.6020852139652106e-18,True
positive_pair_refinement,heldout031,rank2,6,6,0.002857468837245646,0.0028574688372456467,8.673617379884035e-19,True
positive_pair_refinement,heldout031,Eg,6,6,0.004551745148891573,0.004551745148961408,6.983476297239832e-14,True
positive_pair_refinement,heldout031,rank2,12,12,0.002857468837245646,0.0028574688372456467,8.673617379884035e-19,True
positive_pair_refinement,heldout031,Eg,12,12,0.004551745148891573,0.004551745148891568,5.204170427930421e-18,True
positive_pair_refinement,heldout031,rank2,18,18,0.002857468837245646,0.0028574688372456467,8.673617379884035e-19,True
positive_pair_refinement,heldout031,Eg,18,18,0.004551745148891573,0.004551745148891568,5.204170427930421e-18,True
positive_pair_refinement,heldout_off,rank2,6,6,0.0013887761276858341,0.0013887761276858424,8.239936510889834e-18,True
positive_pair_refinement,heldout_off,Eg,6,6,0.006805032547439223,0.006805032546267894,1.1713295264281776e-12,True
positive_pair_refinement,heldout_off,rank2,12,12,0.0013887761276858341,0.0013887761276858424,8.239936510889834e-18,True
positive_pair_refinement,heldout_off,Eg,12,12,0.006805032547439223,0.006805032547439176,4.683753385137379e-17,True
positive_pair_refinement,heldout_off,rank2,18,18,0.0013887761276858341,0.0013887761276858424,8.239936510889834e-18,True
positive_pair_refinement,heldout_off,Eg,18,18,0.006805032547439223,0.006805032547439176,4.683753385137379e-17,True
positive_pair_refinement,heldout_opening,rank2,6,6,0.002729742478861248,0.0027297424788612482,4.336808689942018e-19,True
positive_pair_refinement,heldout_opening,Eg,6,6,0.00868133430484489,0.008681334304505546,3.3934313692363105e-13,True
positive_pair_refinement,heldout_opening,rank2,12,12,0.002729742478861248,0.0027297424788612482,4.336808689942018e-19,True
positive_pair_refinement,heldout_opening,Eg,12,12,0.00868133430484489,0.008681334304844891,1.734723475976807e-18,True
positive_pair_refinement,heldout_opening,rank2,18,18,0.002729742478861248,0.0027297424788612482,4.336808689942018e-19,True
positive_pair_refinement,heldout_opening,Eg,18,18,0.00868133430484489,0.008681334304844891,1.734723475976807e-18,True
