model,case,path_verified,static_return_state_error_over_L0,dynamic_hold_performed,residual_plasticity_validated
source_Al99_only,normal_xx50MPa,True,1.48248672611313e-16,False,False
source_Al99_only,normal_yx50MPa,True,3.398754756862546e-16,False,False
source_Al99_only,normal_zx50MPa,True,1.2266561946341144e-16,False,False
source_Al99_only,shear_xy10MPa,True,3.6137157445752645e-15,False,False
source_Al99_only,shear_xz10MPa,True,3.241927477393735e-15,False,False
source_Al99_only,shear_yz10MPa,True,3.1306717074855967e-15,False,False
source_Al99_only,biaxial_opposite25MPa,True,2.662066163293226e-16,False,False
source_Al99_only,mixed_MPa,True,1.040038106348362e-16,False,False
source_Al99_only,pure_interface_normal50MPa,True,2.670587611596283e-16,False,False
source_Al99_only,pure_interface_shear1_4MPa,True,4.952252478974419e-16,False,False
source_Al99_only,pure_interface_shear2_4MPa,True,2.7742709003926973e-16,False,False
baseline,normal_xx50MPa,True,1.4352123627319738e-16,False,False
baseline,normal_yx50MPa,True,1.3174164423712323e-16,False,False
baseline,normal_zx50MPa,True,3.6123204700001304e-16,False,False
baseline,shear_xy10MPa,True,1.9966271396766396e-16,False,False
baseline,shear_xz10MPa,True,1.3018283945070766e-16,False,False
baseline,shear_yz10MPa,True,7.691153076947874e-17,False,False
baseline,biaxial_opposite25MPa,True,6.770788510209652e-16,False,False
baseline,mixed_MPa,True,1.1076796557436324e-16,False,False
baseline,pure_interface_normal50MPa,True,4.902951701448343e-16,False,False
baseline,pure_interface_shear1_4MPa,True,1.3991648125560385e-16,False,False
baseline,pure_interface_shear2_4MPa,True,7.457706710978488e-17,False,False
saturated,normal_xx50MPa,True,6.606569544949853e-16,False,False
saturated,normal_yx50MPa,True,5.731719161938123e-16,False,False
saturated,normal_zx50MPa,True,1.7953090846996768e-16,False,False
saturated,shear_xy10MPa,True,3.706721373260438e-16,False,False
saturated,shear_xz10MPa,True,3.5934823584096826e-16,False,False
saturated,shear_yz10MPa,True,3.4716553088749494e-16,False,False
saturated,biaxial_opposite25MPa,True,5.106517815132049e-16,False,False
saturated,mixed_MPa,True,3.0094065272985454e-16,False,False
saturated,pure_interface_normal50MPa,True,1.2500085270522417e-16,False,False
saturated,pure_interface_shear1_4MPa,True,2.5528091061996693e-16,False,False
saturated,pure_interface_shear2_4MPa,True,1.451956499204294e-15,False,False
