observable,role,units,target,prediction,scale,normalized_residual
normal_strain_force_ev,exact,eV/strain,0.0,-1.7763568394002505e-15,0.1,-1.7763568394002505e-14
cohesive_ev_atom,exact,eV/atom,3.36,3.3600000000000776,0.0672,1.1564823173178715e-12
C11_GPa,exact,GPa,113.99999999999996,114.00000000000068,5.699999999999998,1.2714975271496533e-13
C12_GPa,exact,GPa,62.000000000000014,62.000000000000114,3.100000000000001,3.208902677626258e-14
C44_GPa,exact,GPa,32.0,32.000000000000455,1.6,2.8421709430404007e-13
perfect_Haa,fit,eV/L0^2,19.66091286328976,35.40906089645287,1.9660912863289761,8.009876317883265
perfect_Hxx,fit,eV/L0^2,4.393593035123306,5.217892117991354,0.43935930351233066,1.8761389056255964
saddle_energy_at_source_state,fit,eV/cell,0.07624909750742465,0.09978119199751137,0.007624909750742465,3.086212854885964
saddle_normal_force_at_source_state,fit,eV/L0,1.4903612010162394e-15,0.029192582005042655,0.03173805605024358,0.9197974179271486
fault_energy_at_source_state,fit,eV/cell,0.06670794504308616,0.11019053016400303,0.006670794504308616,6.51835176347162
fault_normal_force_at_source_state,fit,eV/L0,5.29078226360765e-15,0.07363392073513718,0.03173805605024358,2.3200513799132563
saddle_path_force_at_source_state,fit,eV/L0,2.296700476743968e-16,0.19184789176299108,0.03173805605024358,6.0447272340587626
opening_1.1h_energy,fit,eV/cell,0.05670265774764735,0.0575543540024299,0.005670265774764736,0.1502039390416203
opening_1.5h_energy,fit,eV/cell,0.4710312483934004,0.43677162094472066,0.04710312483934004,-0.7273323705281318
opening_2h_energy,fit,eV/cell,0.7060534019484034,0.5777329249888026,0.07060534019484034,-1.8174330242654668
opening_40h_energy,fit,eV/cell,0.7719163228888833,0.7968802658940292,0.07719163228888834,0.3234021909488673
direct_quarter_energy,fit,eV/cell,0.117221996542065,0.21103796143205916,0.0117221996542065,8.00327307651072
direct_half_energy,fit,eV/cell,0.26732847628894163,0.5970305465226784,0.026732847628894163,12.333219221934993
oblique_energy,fit,eV/cell,0.13339289745734875,0.08577706521011552,0.013339289745734876,-3.56959277104375
opening_1.25h_energy,fit,eV/cell,0.24853683654490819,0.19744506078667928,0.02485368365449082,-2.055702344509286
opening_3h_energy,fit,eV/cell,0.7719163228888833,0.7333412272465062,0.07719163228888834,-0.4997315706190864
