run,runner_completed,profiles,optimizer_starts,successful_stopping_criteria,numerical_stops,exact_bulk,fit_loss,profile_heldout_normalized_rms,C11_GPa,C12_GPa,C44_GPa,independent_validation,full_material_accepted,physical_time_calibrated,fit_count,fit_normalized_rms,fit_normalized_max,exact_count,exact_normalized_rms,exact_normalized_max,interface_heldout_count,interface_heldout_normalized_rms,interface_heldout_normalized_max,bloch_heldout_count,bloch_heldout_normalized_rms,bloch_heldout_normalized_max,replayed_fit_loss,finite_q_sample_positive,continuous_q_search_positive,exact_tangent_rank,exact_matrix_rank,exact_tangent_condition,exact_derivative_residual
continuation_quartic,True,154,4,3,1,True,1251.068873227198,78.29816633196923,113.99999999999898,61.99999999999983,31.999999999999545,False,False,False,,,,,,,,,,,,,,,,,,,
cross_factored_inverse,True,15,2,0,2,True,1142.5584572245687,70.57542702738333,114.00000000000003,61.99999999999919,31.999999999999375,False,False,False,,,,,,,,,,,,,,,,,,,
cross_verified_polish,True,112,2,2,0,True,1128.2343256621602,71.20137782399914,113.99999999999976,62.00000000000035,31.999999999999204,True,False,False,30,6.132520758660776,13.859871496557112,5,2.4822751028228003e-13,4.973799150320701e-13,30,71.20137782399914,363.12341821541094,0,,,1128.2343256621602,True,True,9,5,921.7217478847184,3.4364046000302466e-13
density_angular_cross,True,15,2,0,2,True,1142.5584572245687,70.57542702738333,114.00000000000003,61.99999999999919,31.999999999999375,False,False,False,,,,,,,,,,,,,,,,,,,
grid_continuation,True,5,2,0,2,True,3567.9714238316756,51.33220005435943,114.00000000000004,62.000000000000234,32.0,False,False,False,,,,,,,,,,,,,,,,,,,
grid_verified_polish,True,10,2,0,2,True,2978.850722220988,60.17684868270321,114.0,62.00000000000034,32.00000000000023,False,False,False,,,,,,,,,,,,,,,,,,,
joint_bulk_interface,True,114,2,2,0,False,311.2212387946836,14.821479856967768,83.42507948224888,70.94343998461702,34.24796953613466,True,False,False,33,3.07098463528262,7.175599299242204,2,2.986489618165998e-13,4.1633363423443375e-13,30,14.821479856967768,71.62434659620392,0,,,311.2212387946836,True,True,11,2,3497.864001851982,1.7763568394002505e-14
joint_quartic,True,71,3,1,2,True,1251.06887355315,78.29824374943472,113.99999999999916,61.99999999999945,31.99999999999983,True,False,False,30,6.4577314735985265,14.495046086513407,5,1.3549237223978336e-13,1.8107379395176742e-13,30,78.29824374943472,399.63636316778724,0,,,1251.06887355315,True,True,8,5,311.5755575091922,4.3076653355456074e-13
mixed_density,True,274,2,2,0,True,1251.0969861798426,78.30370592803634,114.00000000000054,61.99999999999973,32.0,True,False,False,30,6.457804028666511,14.496317896414334,5,6.671801418977749e-14,1.0221842865320742e-13,30,78.30370592803634,399.66546457677447,0,,,1251.0969861798426,True,True,9,5,6055538.807101605,5.81756864903582e-13
rational_development,True,96,3,1,2,True,1146.171119796483,79.79577499458054,113.99999999999939,61.99999999999911,32.000000000000284,True,False,False,30,6.181076281135518,14.31710295962911,5,1.754111504120319e-13,2.910933143275248e-13,30,79.79577499458054,406.2333510760857,0,,,1146.171119796483,True,True,9,5,3006.469680722327,1.0302869668521453e-12
spatial_stiffness_fit,True,41,2,1,1,True,2300.2895749640834,71.34237139706556,114.0000000000002,61.99999999999973,32.0,True,False,False,37,7.884794766672293,19.83700179967111,5,6.837398176403847e-14,9.168293364646451e-14,30,79.10516834533821,404.94056552869125,7,9.191040857222747,20.79460596249803,2300.2895749640834,True,True,8,5,280.35976169814296,7.549516567451064e-14
