run,parameter,value,units
central_shape_refinement,u,0.7339049365342378,eV per normalized site basis
central_shape_refinement,v,4.211214086818875,eV per normalized site basis
central_shape_refinement,A,24.202639607773268,eV per normalized site basis
central_shape_refinement,B,48.21829402136733,eV per normalized site basis
central_shape_refinement,C,1.3931998418449048,eV per normalized site basis
central_shape_refinement,D3,284.8699062589865,eV per normalized site basis
central_shape_refinement,D1,23.07592994355043,eV per normalized site basis
central_shape_refinement,D2,412.17272833110394,eV per normalized site basis
central_shape_refinement,D_E,0.0,eV per normalized site basis
central_shape_refinement,K3,84184.07495960066,eV per normalized site basis
central_shape_refinement,shape_0,2.4940091901272976,see definition.json: reduced exponential decay or declared extension shape
central_shape_refinement,shape_1,4.478641906596995,see definition.json: reduced exponential decay or declared extension shape
central_shape_refinement,shape_2,4.3575476404733475,see definition.json: reduced exponential decay or declared extension shape
continuation_quartic,u,0.5269553094363786,eV per normalized site basis
continuation_quartic,v,3.073002462831395,eV per normalized site basis
continuation_quartic,A,17.52625195740834,eV per normalized site basis
continuation_quartic,B,35.0847160072641,eV per normalized site basis
continuation_quartic,C,1.9064759088647285,eV per normalized site basis
continuation_quartic,D3,175.9096844913263,eV per normalized site basis
continuation_quartic,D1,15.391475423757857,eV per normalized site basis
continuation_quartic,D2,5.961582350268003,eV per normalized site basis
continuation_quartic,D_E,0.258551233922909,eV per normalized site basis
continuation_quartic,K3,171172.04480353845,eV per normalized site basis
continuation_quartic,shape_0,2.5482564861748984,see definition.json: reduced exponential decay or declared extension shape
continuation_quartic,shape_1,4.678210160575956,see definition.json: reduced exponential decay or declared extension shape
continuation_quartic,shape_2,11.048731242038116,see definition.json: reduced exponential decay or declared extension shape
cross_factored_inverse,u,0.5755106165416046,eV per normalized site basis
cross_factored_inverse,v,3.3598275335634704,eV per normalized site basis
cross_factored_inverse,A,18.53013941885569,eV per normalized site basis
cross_factored_inverse,B,37.628703052235196,eV per normalized site basis
cross_factored_inverse,C,1.6682356138780676,eV per normalized site basis
cross_factored_inverse,D3,177.37845493765641,eV per normalized site basis
cross_factored_inverse,D1,10.094697256765132,eV per normalized site basis
cross_factored_inverse,D2,9.44159997607494,eV per normalized site basis
cross_factored_inverse,D_E,0.20980444276807297,eV per normalized site basis
cross_factored_inverse,K3,148832.6029283028,eV per normalized site basis
cross_factored_inverse,E_xI,-996.5698143385073,eV per normalized site basis
cross_factored_inverse,shape_0,2.6493419476657816,see definition.json: reduced exponential decay or declared extension shape
cross_factored_inverse,shape_1,4.731257960041822,see definition.json: reduced exponential decay or declared extension shape
cross_factored_inverse,shape_2,9.675154737951681,see definition.json: reduced exponential decay or declared extension shape
cross_verified_polish,u,0.5629798453470095,eV per normalized site basis
cross_verified_polish,v,3.287004340859188,eV per normalized site basis
cross_verified_polish,A,18.302253901468703,eV per normalized site basis
cross_verified_polish,B,37.02574197571882,eV per normalized site basis
cross_verified_polish,C,1.7434394860476405,eV per normalized site basis
cross_verified_polish,D3,193.69933749093482,eV per normalized site basis
cross_verified_polish,D1,8.463169992799463,eV per normalized site basis
cross_verified_polish,D2,8.46541992881949,eV per normalized site basis
cross_verified_polish,D_E,0.22708738922165922,eV per normalized site basis
cross_verified_polish,K3,138772.0624429317,eV per normalized site basis
cross_verified_polish,E_xI,-983.7493445452149,eV per normalized site basis
cross_verified_polish,shape_0,2.619286641089717,see definition.json: reduced exponential decay or declared extension shape
cross_verified_polish,shape_1,4.704066971260766,see definition.json: reduced exponential decay or declared extension shape
cross_verified_polish,shape_2,9.986318616621928,see definition.json: reduced exponential decay or declared extension shape
density_angular_cross,u,0.5755106165416046,eV per normalized site basis
density_angular_cross,v,3.3598275335634704,eV per normalized site basis
density_angular_cross,A,18.53013941885569,eV per normalized site basis
density_angular_cross,B,37.628703052235196,eV per normalized site basis
density_angular_cross,C,1.6682356138780676,eV per normalized site basis
density_angular_cross,D3,177.37845493765641,eV per normalized site basis
density_angular_cross,D1,10.094697256765132,eV per normalized site basis
density_angular_cross,D2,9.44159997607494,eV per normalized site basis
density_angular_cross,D_E,0.20980444276807297,eV per normalized site basis
density_angular_cross,K3,148832.6029283028,eV per normalized site basis
density_angular_cross,E_xI,-996.5698143385073,eV per normalized site basis
density_angular_cross,shape_0,2.6493419476657816,see definition.json: reduced exponential decay or declared extension shape
density_angular_cross,shape_1,4.731257960041822,see definition.json: reduced exponential decay or declared extension shape
density_angular_cross,shape_2,9.675154737951681,see definition.json: reduced exponential decay or declared extension shape
