observable,role,units,target,prediction,scale,normalized_residual
normal_strain_force_ev,exact,eV/strain,0.0,0.0,0.1,0.0
cohesive_ev_atom,exact,eV/atom,3.36,3.359999999999996,0.0672,-5.947623346206196e-14
C11_GPa,exact,GPa,113.99999999999996,114.00000000000004,5.699999999999998,1.4958794437054746e-14
C12_GPa,exact,GPa,62.000000000000014,62.000000000000234,3.100000000000001,7.105427357600999e-14
C44_GPa,exact,GPa,32.0,32.0,1.6,0.0
perfect_Haa,fit,eV/L0^2,19.66091286328976,31.955651247678112,1.9660912863289761,6.253391421791356
perfect_Hxx,fit,eV/L0^2,4.393593035123306,3.509740442912427,0.43935930351233066,-2.0116851632483383
saddle_energy_at_source_state,fit,eV/cell,0.07624909750742465,0.016906993713100643,0.007624909750742465,-7.782663104772571
saddle_normal_force_at_source_state,fit,eV/L0,1.4903612010162394e-15,0.3444099787228586,0.03173805605024358,10.851640635382074
fault_energy_at_source_state,fit,eV/cell,0.06670794504308616,0.010687837418446974,0.006670794504308616,-8.397816420286402
fault_normal_force_at_source_state,fit,eV/L0,5.29078226360765e-15,0.5014382177594016,0.03173805605024358,15.799273180612706
saddle_path_force_at_source_state,fit,eV/L0,2.296700476743968e-16,0.03593484175479503,0.03173805605024358,1.1322319709155284
opening_1.1h_energy,fit,eV/cell,0.05670265774764735,0.06520913915855842,0.005670265774764736,1.5001909520306402
opening_1.5h_energy,fit,eV/cell,0.4710312483934004,0.4401273582271037,0.04710312483934004,-0.656090021027354
opening_2h_energy,fit,eV/cell,0.7060534019484034,0.7029060900018943,0.07060534019484034,-0.044576117582945614
opening_40h_energy,fit,eV/cell,0.7719163228888833,0.9103867320209873,0.07719163228888834,1.7938525851335914
direct_quarter_energy,fit,eV/cell,0.117221996542065,0.1480226803363564,0.0117221996542065,2.627551543471503
direct_half_energy,fit,eV/cell,0.26732847628894163,0.42638344535691547,0.026732847628894163,5.949795221069508
oblique_energy,fit,eV/cell,0.13339289745734875,0.03618238485031105,0.013339289745734876,-7.28753287918646
opening_1.25h_energy,fit,eV/cell,0.24853683654490819,0.22335396455452491,0.02485368365449082,-1.0132450521407104
