observable,role,units,target,prediction,scale,normalized_residual
normal_strain_force_ev,exact,eV/strain,0.0,1.0658141036401503e-14,0.1,1.0658141036401503e-13
cohesive_ev_atom,exact,eV/atom,3.36,3.36000000000001,0.0672,1.5199481884749167e-13
C11_GPa,exact,GPa,113.99999999999996,113.99999999999993,5.699999999999998,-4.9862648123515816e-15
C12_GPa,exact,GPa,62.000000000000014,62.000000000000064,3.100000000000001,1.604451338813129e-14
C44_GPa,exact,GPa,32.0,31.999999999999943,1.6,-3.552713678800501e-14
perfect_Haa,fit,eV/L0^2,19.66091286328976,120.56014888893299,1.9660912863289761,51.319710700737154
perfect_Hxx,fit,eV/L0^2,4.393593035123306,4.1269427943011046,0.43935930351233066,-0.6069070091165556
saddle_energy_at_source_state,fit,eV/cell,0.07624909750742465,0.06838243806092256,0.007624909750742465,-1.03170525339478
saddle_normal_force_at_source_state,fit,eV/L0,1.4903612010162394e-15,3.206200976814985,0.03173805605024358,101.02071064904987
fault_energy_at_source_state,fit,eV/cell,0.06670794504308616,0.021585319228773305,0.006670794504308616,-6.764205640747664
fault_normal_force_at_source_state,fit,eV/L0,5.29078226360765e-15,2.1909578814958435,0.03173805605024358,69.03251661120635
saddle_path_force_at_source_state,fit,eV/L0,2.296700476743968e-16,-0.06171267453179696,0.03173805605024358,-1.9444377574386307
opening_1.1h_energy,fit,eV/cell,0.05670265774764735,0.3412487467687454,0.005670265774764736,50.18214318761876
opening_1.5h_energy,fit,eV/cell,0.4710312483934004,5.360503770801085,0.04710312483934004,103.8035701258624
opening_2h_energy,fit,eV/cell,0.7060534019484034,13.129361350135918,0.07060534019484034,175.95422547224518
opening_40h_energy,fit,eV/cell,0.7719163228888833,19.079804050202174,0.07719163228888834,237.17451211287175
direct_quarter_energy,fit,eV/cell,0.117221996542065,0.14975503679855706,0.0117221996542065,2.775335791590754
direct_half_energy,fit,eV/cell,0.26732847628894163,0.39902877309275797,0.026732847628894163,4.926534525318143
oblique_energy,fit,eV/cell,0.13339289745734875,0.25377284176975146,0.013339289745734876,9.024464316092478
opening_1.25h_energy,fit,eV/cell,0.24853683654490819,1.753085828595335,0.02485368365449082,60.53625744039634
opening_3h_energy,fit,eV/cell,0.7719163228888833,20.303116742001542,0.07719163228888834,253.02224917355653
saddle_Haa,fit,eV/L0^2,12.717337762538286,106.1979718373685,1.2717337762538286,73.50644908574968
saddle_Hxx,fit,eV/L0^2,-0.18642463121762062,0.968324778496017,0.018642463121762064,61.94189052012414
fault_Haa,fit,eV/L0^2,14.140554350039636,106.23292074481597,1.4140554350039638,65.12641874928913
fault_Hxx,fit,eV/L0^2,2.4858929774856264,2.278539495096822,0.24858929774856264,-0.8341207134288358
saddle_normal_path_coupling,fit,eV/L0^2,1.2055891043737141,3.4100494907669465,0.12055891043737142,18.285337669324882
opening_1.1h_normal_force,fit,eV/L0,1.2761663221727821,7.743790089800828,0.03173805605024358,203.78134556789936
opening_1.3h_normal_force,fit,eV/L0,1.4139711872929317,16.178954177598126,0.03173805605024358,465.2138419231217
opening_1.5h_normal_force,fit,eV/L0,0.6379256757978651,19.63590407483303,0.03173805605024358,598.5867051516962
opening_2h_normal_force,fit,eV/L0,0.5548811295393773,16.4800335950573,0.03173805605024358,501.7683641464141
opening_2.5h_normal_force,fit,eV/L0,0.0005156382639574782,8.32781779039903,0.03173805605024358,262.3759356575704
opening_3h_normal_force,fit,eV/L0,0.0,2.6780937164781733,0.03173805605024358,84.3811515184976
shockley_0.15_energy,fit,eV/cell,0.013715574532912111,0.011131901860062715,0.004433026104653031,-0.5828236991741375
shockley_0.35_energy,fit,eV/cell,0.04820527408303389,0.03588816258699605,0.004820527408303389,-2.555137737588949
shockley_0.75_energy,fit,eV/cell,0.08334161260537679,0.024147198034048203,0.00833416126053768,-7.102624093874282
new_direct_017_energy,heldout,eV/cell,0.05826439239193282,0.06604076630592368,0.0058264392391932825,1.3346700437002343
new_direct_017_normal_force,heldout,eV/L0,-0.44118804525591643,-1.7617189047721948,0.03173805605024358,-41.6071752291881
new_direct_017_Haa,heldout,eV/L0^2,26.109437232644353,155.77073780948666,2.6109437232644357,49.66070291807291
new_direct_039_energy,heldout,eV/cell,0.2262381941113307,0.3322724386566103,0.022623819411133072,4.686841006744453
new_direct_039_normal_force,heldout,eV/L0,-1.9685101248020884,-8.227970238968828,0.03173805605024358,-197.222542686848
new_direct_039_Haa,heldout,eV/L0^2,36.31678531793335,286.53567107686075,3.6316785317933356,68.89896326681989
new_raised_direct_energy,heldout,eV/cell,0.11960599647825673,0.18937003090931248,0.011960599647825674,5.832820802068917
new_raised_direct_normal_force,heldout,eV/L0,0.08783049166112324,3.7967202375953915,0.03173805605024358,116.85938609670467
new_raised_direct_Haa,heldout,eV/L0^2,20.00400949091716,125.51903572349448,2.000400949091716,52.74693869770785
new_off_path_positive_energy,heldout,eV/cell,0.05360470506556986,0.0851280561206901,0.0053604705065569865,5.880705997087483
new_off_path_positive_normal_force,heldout,eV/L0,0.35206897342006,3.415455624532025,0.03173805605024358,96.52092888935628
new_off_path_positive_Haa,heldout,eV/L0^2,13.446420569551602,107.98717963478418,1.3446420569551603,70.30923848932179
new_off_path_negative_energy,heldout,eV/cell,0.21544733160917068,0.48350363482483993,0.021544733160917068,12.441848372572707
new_off_path_negative_normal_force,heldout,eV/L0,-0.05312860042135701,7.382708296230804,0.03173805605024358,234.28772338421444
new_off_path_negative_Haa,heldout,eV/L0^2,13.5831841481301,112.76657841106234,1.35831841481301,73.01925173162444
new_shockley_058_energy,heldout,eV/cell,0.07969505412787091,0.041285291242336264,0.007969505412787091,-4.819591793476429
new_shockley_058_normal_force,heldout,eV/L0,-0.6123357455328253,-1.2250845683774434,0.03173805605024358,-19.30643836139786
new_shockley_058_Haa,heldout,eV/L0^2,23.107568998056017,145.40314982678487,2.3107568998056016,52.924468531941756
new_opening_1.17h_energy,heldout,eV/cell,0.14263027381623705,0.8951016149301091,0.014263027381623706,52.75677603222904
new_opening_1.17h_normal_force,heldout,eV/L0,1.6398229617729339,11.464026537596265,0.03173805605024358,309.5401797851426
new_opening_1.42h_energy,heldout,eV/cell,0.4226003973463561,4.104977251763627,0.042260039734635615,87.13614273768079
new_opening_1.42h_normal_force,heldout,eV/L0,0.8686291067124379,18.713805573439732,0.03173805605024358,562.2643188504401
new_opening_1.78h_energy,heldout,eV/cell,0.5953584311886578,9.898181726922124,0.05953584311886578,156.2558420002551
new_opening_1.78h_normal_force,heldout,eV/L0,0.5989965116849877,19.262717346079146,0.03173805605024358,588.0549459251118
new_opening_2.23h_energy,heldout,eV/cell,0.7765619947928292,15.872970811752175,0.07765619947928293,194.40056194079853
new_opening_2.23h_normal_force,heldout,eV/L0,0.15664558956102492,12.680099447376294,0.03173805605024358,394.5879305900071
new_opening_3.4h_energy,heldout,eV/cell,0.7719163228888833,20.76791449796259,0.07719163228888834,259.0435981485536
new_opening_3.4h_normal_force,heldout,eV/L0,0.0,0.4413535052930726,0.03173805605024358,13.906129114977265
new_opening_5.5h_energy,heldout,eV/cell,0.7719163228888833,19.610205799564465,0.07719163228888834,244.0457458675522
new_opening_5.5h_normal_force,heldout,eV/L0,0.0,-0.6128351348194001,0.03173805605024358,-19.309157871838114
