observable,role,units,target,prediction,scale,normalized_residual
normal_strain_force_ev,exact,eV/strain,0.0,8.881784197001252e-15,0.1,8.881784197001252e-14
cohesive_ev_atom,exact,eV/atom,3.36,3.3600000000000065,0.0672,9.912705577010327e-14
C11_GPa,exact,GPa,113.99999999999996,114.0,5.699999999999998,7.479397218527373e-15
C12_GPa,exact,GPa,62.000000000000014,62.00000000000034,3.100000000000001,1.0543537369343419e-13
C44_GPa,exact,GPa,32.0,32.00000000000023,1.6,1.4210854715202004e-13
perfect_Haa,fit,eV/L0^2,19.66091286328976,34.213211686248854,1.9660912863289761,7.401639447846132
perfect_Hxx,fit,eV/L0^2,4.393593035123306,3.427906077501033,0.43935930351233066,-2.197943573522556
saddle_energy_at_source_state,fit,eV/cell,0.07624909750742465,0.02162958759948547,0.007624909750742465,-7.163299198737491
saddle_normal_force_at_source_state,fit,eV/L0,1.4903612010162394e-15,0.324965266412609,0.03173805605024358,10.238978275738267
fault_energy_at_source_state,fit,eV/cell,0.06670794504308616,0.0213636045136036,0.006670794504308616,-6.797442268712519
fault_normal_force_at_source_state,fit,eV/L0,5.29078226360765e-15,0.48556060764970155,0.03173805605024358,15.299002777013802
saddle_path_force_at_source_state,fit,eV/L0,2.296700476743968e-16,0.09833044905869347,0.03173805605024358,3.0981875166843613
opening_1.1h_energy,fit,eV/cell,0.05670265774764735,0.06975928167635889,0.005670265774764736,2.302647609009698
opening_1.5h_energy,fit,eV/cell,0.4710312483934004,0.45127513067744507,0.04710312483934004,-0.4194226557864206
opening_2h_energy,fit,eV/cell,0.7060534019484034,0.6183548304466946,0.07060534019484034,-1.2420954457509656
opening_40h_energy,fit,eV/cell,0.7719163228888833,1.087242698514532,0.07719163228888834,4.084981315663144
direct_quarter_energy,fit,eV/cell,0.117221996542065,0.1555711624738784,0.0117221996542065,3.2714991267062947
direct_half_energy,fit,eV/cell,0.26732847628894163,0.46297822842334685,0.026732847628894163,7.318702251642561
oblique_energy,fit,eV/cell,0.13339289745734875,0.02291209660157168,0.013339289745734876,-8.282360077762188
opening_1.25h_energy,fit,eV/cell,0.24853683654490819,0.23883820643327341,0.02485368365449082,-0.3902290801823384
opening_3h_energy,fit,eV/cell,0.7719163228888833,0.7479237091142682,0.07719163228888834,-0.3108188421877543
saddle_Haa,fit,eV/L0^2,12.717337762538286,29.429464733462485,1.2717337762538286,13.141214995605011
saddle_Hxx,fit,eV/L0^2,-0.18642463121762062,0.465248231971949,0.018642463121762064,34.9563713192409
fault_Haa,fit,eV/L0^2,14.140554350039636,23.3795660379515,1.4140554350039638,6.533698367975202
fault_Hxx,fit,eV/L0^2,2.4858929774856264,0.5661752370757438,0.24858929774856264,-7.722447256565302
saddle_normal_path_coupling,fit,eV/L0^2,1.2055891043737141,3.9007051128013863,0.12055891043737142,22.355178880185264
opening_1.1h_normal_force,fit,eV/L0,1.2761663221727821,1.3212844903081922,0.03173805605024358,1.4215794459492033
opening_1.3h_normal_force,fit,eV/L0,1.4139711872929317,1.2023669765186025,0.03173805605024358,-6.667207671425901
opening_1.5h_normal_force,fit,eV/L0,0.6379256757978651,0.7781885124094885,0.03173805605024358,4.419389656051318
opening_2h_normal_force,fit,eV/L0,0.5548811295393773,0.1798420526276575,0.03173805605024358,-11.816699684379108
opening_2.5h_normal_force,fit,eV/L0,0.0005156382639574782,0.15470168726649147,0.03173805605024358,4.858081060744445
opening_3h_normal_force,fit,eV/L0,0.0,0.17467795332827812,0.03173805605024358,5.50373825831521
shockley_0.15_energy,fit,eV/cell,0.013715574532912111,0.0085886525643785,0.004433026104653031,-1.156528711426321
shockley_0.35_energy,fit,eV/cell,0.04820527408303389,0.02740066424026019,0.004820527408303389,-4.315836853647514
shockley_0.75_energy,fit,eV/cell,0.08334161260537679,0.03050727381206082,0.00833416126053768,-6.339490818768648
new_direct_017_energy,heldout,eV/cell,0.05826439239193282,0.0630201372270139,0.0058264392391932825,0.8162352064173506
new_direct_017_normal_force,heldout,eV/L0,-0.44118804525591643,-2.428331286506164,0.03173805605024358,-62.61074207268586
new_direct_017_Haa,heldout,eV/L0^2,26.109437232644353,86.30319109460008,2.6109437232644357,23.054404936271894
new_direct_039_energy,heldout,eV/cell,0.2262381941113307,0.37781744476106427,0.022623819411133072,6.699984997897489
new_direct_039_normal_force,heldout,eV/L0,-1.9685101248020884,-11.71091587724983,0.03173805605024358,-306.9629008476394
new_direct_039_Haa,heldout,eV/L0^2,36.31678531793335,283.5347447781802,3.6316785317933356,68.07264390170837
new_raised_direct_energy,heldout,eV/cell,0.11960599647825673,0.02803930672537963,0.011960599647825674,-7.65569389905322
new_raised_direct_normal_force,heldout,eV/L0,0.08783049166112324,-0.97003655771059,0.03173805605024358,-33.33118599630157
new_raised_direct_Haa,heldout,eV/L0^2,20.00400949091716,66.19253536977348,2.000400949091716,23.089634055526854
new_off_path_positive_energy,heldout,eV/cell,0.05360470506556986,0.010832577798760113,0.0053604705065569865,-7.979174069606467
new_off_path_positive_normal_force,heldout,eV/L0,0.35206897342006,0.23645242013863246,0.03173805605024358,-3.6428366343042047
new_off_path_positive_Haa,heldout,eV/L0^2,13.446420569551602,33.42712253709091,1.3446420569551603,14.85949503378177
new_off_path_negative_energy,heldout,eV/cell,0.21544733160917068,-0.006852571360505941,0.021544733160917068,-10.31806248466037
new_off_path_negative_normal_force,heldout,eV/L0,-0.05312860042135701,-0.26889502378028984,0.03173805605024358,-6.7983503153866565
new_off_path_negative_Haa,heldout,eV/L0^2,13.5831841481301,64.28486668721851,1.35831841481301,37.32680201208061
new_shockley_058_energy,heldout,eV/cell,0.07969505412787091,0.03663039658860519,0.007969505412787091,-5.403680066540688
new_shockley_058_normal_force,heldout,eV/L0,-0.6123357455328253,-1.6735731501717659,0.03173805605024358,-33.437378866523105
new_shockley_058_Haa,heldout,eV/L0^2,23.107568998056017,70.68632508032908,2.3107568998056016,20.590117500579897
new_opening_1.17h_energy,heldout,eV/cell,0.14263027381623705,0.14941335269922862,0.014263027381623706,0.4755707677972206
new_opening_1.17h_normal_force,heldout,eV/L0,1.6398229617729339,1.414801711450745,0.03173805605024358,-7.089950624763041
new_opening_1.42h_energy,heldout,eV/cell,0.4226003973463561,0.3951261595729847,0.042260039734635615,-0.6501233303586795
new_opening_1.42h_normal_force,heldout,eV/L0,0.8686291067124379,0.9429119040574696,0.03173805605024358,2.3404961295498636
new_opening_1.78h_energy,heldout,eV/cell,0.5953584311886578,0.5740809775529818,0.05953584311886578,-0.3573889697538119
new_opening_1.78h_normal_force,heldout,eV/L0,0.5989965116849877,0.3386139871228432,0.03173805605024358,-8.204110678673596
new_opening_2.23h_energy,heldout,eV/cell,0.7765619947928292,0.6469534739215839,0.07765619947928293,-1.669004171467626
new_opening_2.23h_normal_force,heldout,eV/L0,0.15664558956102492,0.13937414081902355,0.03173805605024358,-0.5441873539658336
new_opening_3.4h_energy,heldout,eV/cell,0.7719163228888833,0.8029832249203828,0.07719163228888834,0.40246463392861137
new_opening_3.4h_normal_force,heldout,eV/L0,0.0,0.15976322666522638,0.03173805605024358,5.033806305348693
new_opening_5.5h_energy,heldout,eV/cell,0.7719163228888833,0.9787395227258207,0.07719163228888834,2.679347407279912
new_opening_5.5h_normal_force,heldout,eV/L0,0.0,0.055848220318178106,0.03173805605024358,1.7596610274355315
