observable,role,units,target,prediction,scale,normalized_residual
normal_strain_force_ev,exact,eV/strain,0.0,-7.105427357601002e-15,0.1,-7.105427357601002e-14
cohesive_ev_atom,exact,eV/atom,3.36,3.3600000000000634,0.0672,9.45011265008318e-13
C11_GPa,exact,GPa,113.99999999999996,113.99999999999942,5.699999999999998,-9.473903143468005e-14
C12_GPa,exact,GPa,62.000000000000014,61.999999999999154,3.100000000000001,-2.7734087428055513e-13
C44_GPa,exact,GPa,32.0,32.000000000000284,1.6,1.7763568394002505e-13
perfect_Haa,fit,eV/L0^2,19.66091286328976,35.34998982540473,1.9660912863289761,7.9798313899295685
perfect_Hxx,fit,eV/L0^2,4.393593035123306,4.415600634260177,0.43935930351233066,0.05009020853988464
saddle_energy_at_source_state,fit,eV/cell,0.07624909750742465,0.08654176391806173,0.007624909750742465,1.3498738669837833
saddle_normal_force_at_source_state,fit,eV/L0,1.4903612010162394e-15,0.2082266337332226,0.03173805605024358,6.560787258160476
fault_energy_at_source_state,fit,eV/cell,0.06670794504308616,0.09726055428125337,0.006670794504308616,4.580055526884166
fault_normal_force_at_source_state,fit,eV/L0,5.29078226360765e-15,0.17291424119537813,0.03173805605024358,5.4481673648076425
saddle_path_force_at_source_state,fit,eV/L0,2.296700476743968e-16,0.21184874046604257,0.03173805605024358,6.674912292380821
opening_1.1h_energy,fit,eV/cell,0.05670265774764735,0.05189827333892356,0.005670265774764736,-0.8472943949303913
opening_1.5h_energy,fit,eV/cell,0.4710312483934004,0.4283667766936836,0.04710312483934004,-0.9057673316841995
opening_2h_energy,fit,eV/cell,0.7060534019484034,0.5691894426194422,0.07060534019484034,-1.9384363697034193
opening_40h_energy,fit,eV/cell,0.7719163228888833,0.7608406679653088,0.07719163228888834,-0.1434825847719361
direct_quarter_energy,fit,eV/cell,0.117221996542065,0.21440373407192542,0.0117221996542065,8.290401153079392
direct_half_energy,fit,eV/cell,0.26732847628894163,0.6548223346935782,0.026732847628894163,14.495046086516213
oblique_energy,fit,eV/cell,0.13339289745734875,0.08314153395155487,0.013339289745734876,-3.767169351866079
opening_1.25h_energy,fit,eV/cell,0.24853683654490819,0.18788434628273526,0.02485368365449082,-2.4403823234152098
opening_3h_energy,fit,eV/cell,0.7719163228888833,0.7156300218111555,0.07719163228888834,-0.7291761996569435
saddle_Haa,fit,eV/L0^2,12.717337762538286,30.30479891206353,1.2717337762538286,13.829514854384836
saddle_Hxx,fit,eV/L0^2,-0.18642463121762062,0.004668311140896275,0.018642463121762064,10.250412786679822
fault_Haa,fit,eV/L0^2,14.140554350039636,27.699156432779674,1.4140554350039638,9.58845158902984
fault_Hxx,fit,eV/L0^2,2.4858929774856264,0.09697484734487982,0.24858929774856264,-9.609899347143392
saddle_normal_path_coupling,fit,eV/L0^2,1.2055891043737141,2.0044407030510216,0.12055891043737142,6.62623439262334
opening_1.1h_normal_force,fit,eV/L0,1.2761663221727821,0.868570495303231,0.03173805605024358,-12.842495023145027
opening_1.3h_normal_force,fit,eV/L0,1.4139711872929317,1.4404078859329035,0.03173805605024358,0.8329652767050578
opening_1.5h_normal_force,fit,eV/L0,0.6379256757978651,0.6359363346890783,0.03173805605024358,-0.062679992298127
opening_2h_normal_force,fit,eV/L0,0.5548811295393773,0.5449471752871391,0.03173805605024358,-0.3129981948646145
opening_2.5h_normal_force,fit,eV/L0,0.0005156382639574782,0.14162489587835658,0.03173805605024358,4.446058617799817
opening_3h_normal_force,fit,eV/L0,0.0,-0.16375903990918605,0.03173805605024358,-5.159706052883137
shockley_0.15_energy,fit,eV/cell,0.013715574532912111,0.011886558136626592,0.004433026104653031,-0.4125886816605324
shockley_0.35_energy,fit,eV/cell,0.04820527408303389,0.046506326794566344,0.004820527408303389,-0.3524401262693995
shockley_0.75_energy,fit,eV/cell,0.08334161260537679,0.10296593749048055,0.00833416126053768,2.354685045275654
new_direct_017_energy,heldout,eV/cell,0.05826439239193282,0.08486213297272993,0.0058264392391932825,4.565007801313618
new_direct_017_normal_force,heldout,eV/L0,-0.44118804525591643,-2.8528491530100597,0.03173805605024358,-75.98641529702745
new_direct_017_Haa,heldout,eV/L0^2,26.109437232644353,111.02070804942855,2.6109437232644357,32.52129490965072
new_direct_039_energy,heldout,eV/cell,0.2262381941113307,0.5320477118121282,0.022623819411133072,13.517148105872437
new_direct_039_normal_force,heldout,eV/L0,-1.9685101248020884,-14.652191418736738,0.03173805605024358,-399.6363631677847
new_direct_039_Haa,heldout,eV/L0^2,36.31678531793335,403.5747503674261,3.6316785317933356,101.12623180558315
new_raised_direct_energy,heldout,eV/cell,0.11960599647825673,0.09008121294918023,0.011960599647825674,-2.46850362008763
new_raised_direct_normal_force,heldout,eV/L0,0.08783049166112324,-0.7495912893576142,0.03173805605024358,-26.38541502646034
new_raised_direct_Haa,heldout,eV/L0^2,20.00400949091716,76.16944994340821,2.000400949091716,28.077091484081244
new_off_path_positive_energy,heldout,eV/cell,0.05360470506556986,0.03224862052165178,0.0053604705065569865,-3.9839944120194444
new_off_path_positive_normal_force,heldout,eV/L0,0.35206897342006,0.2756976851888171,0.03173805605024358,-2.406300124693893
new_off_path_positive_Haa,heldout,eV/L0^2,13.446420569551602,31.05264270662557,1.3446420569551603,13.09361256849419
new_off_path_negative_energy,heldout,eV/cell,0.21544733160917068,0.19121264887721176,0.021544733160917068,-1.124854160455397
new_off_path_negative_normal_force,heldout,eV/L0,-0.05312860042135701,0.8250560420358606,0.03173805605024358,27.669767835402062
new_off_path_negative_Haa,heldout,eV/L0^2,13.5831841481301,63.647225816141855,1.35831841481301,36.85736799416336
new_shockley_058_energy,heldout,eV/cell,0.07969505412787091,0.08784014775019466,0.007969505412787091,1.0220325102301746
new_shockley_058_normal_force,heldout,eV/L0,-0.6123357455328253,-1.914266954765354,0.03173805605024358,-41.021139012782626
new_shockley_058_Haa,heldout,eV/L0^2,23.107568998056017,90.86946687910427,2.3107568998056016,29.324546379910792
new_opening_1.17h_energy,heldout,eV/cell,0.14263027381623705,0.10682704406068858,0.014263027381623706,-2.510212509419766
new_opening_1.17h_normal_force,heldout,eV/L0,1.6398229617729339,1.0804061985097837,0.03173805605024358,-17.626056314777248
new_opening_1.42h_energy,heldout,eV/cell,0.4226003973463561,0.3732160368399089,0.042260039734635615,-1.1685829170191868
new_opening_1.42h_normal_force,heldout,eV/L0,0.8686291067124379,1.0567165493999422,0.03173805605024358,5.926243320944063
new_opening_1.78h_energy,heldout,eV/cell,0.5953584311886578,0.49404419045387993,0.05953584311886578,-1.7017352140709558
new_opening_1.78h_normal_force,heldout,eV/L0,0.5989965116849877,0.25853361422677246,0.03173805605024358,-10.727276330952295
new_opening_2.23h_energy,heldout,eV/cell,0.7765619947928292,0.6708457716723633,0.07765619947928293,-1.3613365556045376
new_opening_2.23h_normal_force,heldout,eV/L0,0.15664558956102492,0.4736235073854398,0.03173805605024358,9.987313568374082
new_opening_3.4h_energy,heldout,eV/cell,0.7719163228888833,0.6647332320901214,0.07719163228888834,-1.3885325082598479
new_opening_3.4h_normal_force,heldout,eV/L0,0.0,-0.12852432875272515,0.03173805605024358,-4.049533737959946
new_opening_5.5h_energy,heldout,eV/cell,0.7719163228888833,0.667107269076368,0.07719163228888834,-1.357777400279208
new_opening_5.5h_normal_force,heldout,eV/L0,0.0,0.04036659139813689,0.03173805605024358,1.2718671658476415
