cycle,segment,period_model,same_phase_L1,normal_mean,normal_amplitude,registry_shear_amplitude,registry_index_increment,cycle_net_transfer,cycle_gross_grid_traffic,external_work_ev_cell,raw_mass,mass_residual,mean_well_index,outside_central_mass,normal_strain,registry_shear,intrawell_shear,registry_index_shear,cumulative_net_transfer,cumulative_gross_grid_traffic,outer_well_mass,upper_normal_edge_mass,P_-2,P_-1,P_+0,P_+1,P_+2
1,cyclic,40.0,0.0043317041515222665,0.018402792230973127,0.00012625860254033595,0.0004725124906200541,5.267805068059928e-06,5.2678050680663396e-06,0.016723895357426813,1.3210875092345841e-06,0.9999999999999604,-3.963496197911809e-14,5.267805068059928e-06,0.0015718178978579192,0.018394478029462175,-0.00029930465099901795,-0.0003057563682396142,6.451717240597018e-06,5.2678050680663396e-06,0.016723895357426813,5.553030408975599e-08,1.048798084158366e-11,2.800765146362263e-08,0.0007832467962440473,0.9984281821021026,0.000788515571309782,2.7522652626133358e-08
2,cyclic,40.0,0.002768084148475105,0.018402328703408577,0.00012601777464564708,0.0004608425656855235,6.843132524072261e-08,6.84313252835452e-08,0.016707999971895246,1.55263770498552e-06,0.9999999999999208,-7.915890165577366e-14,5.336236393300651e-06,0.0029557997453209966,0.01839446828459154,-0.0002995599426338669,-0.00030609547078909574,6.535528155228123e-06,5.336236393349885e-06,0.03343189532932206,7.884015541415704e-07,1.0487836983086899e-11,3.9296162139959637e-07,0.0014748400319981197,0.9970442002545998,0.0014801713117687351,3.95439932741974e-07
3,cyclic,40.0,0.0027622738528517345,0.018402326755177147,0.00012601649542303382,0.0004608292579728266,5.740873160362965e-08,5.7408731676833626e-08,0.016707839638819097,1.552897177906323e-06,0.9999999999998824,-1.1757261830780408e-13,5.393645124904281e-06,0.004336887780443589,0.01839446821392055,-0.00029949004081716954,-0.00030609588002200307,6.6058392048327645e-06,5.393645125026718e-06,0.050139734968141156,2.4767353553087774e-06,1.0487835947802508e-11,1.235255323160153e-06,0.0021645149246906767,0.9956631122194388,0.0021698961203976035,1.241480032148624e-06
4,cyclic,40.0,0.0027565279793928285,0.018402326741207342,0.0001260164863271223,0.0004608292447172235,5.7392515633233074e-08,5.739251573662107e-08,0.016707828429043337,1.5528975374646415e-06,0.9999999999998432,-1.567634910770721e-13,5.451037640537514e-06,0.0057151028746429,0.018394468213413093,-0.00029941975324908115,-0.0003060958836430918,6.676130394010828e-06,5.4510376407633395e-06,0.06684756339718449,5.121169533871136e-06,1.0487835940389007e-11,2.555557035423577e-06,0.0028522753891972704,0.9942848971252003,0.002857706315911759,2.5656124984475585e-06
5,cyclic,40.0,0.002750795365580405,0.018402326741106458,0.0001260164862628057,0.00046082924860907365,5.738978985641531e-08,5.7389789985536164e-08,0.016707810386488484,1.5528975447446165e-06,0.9999999999998028,-1.971756091734278e-13,5.508427430393929e-06,0.007090451684827389,0.018394468213408333,-0.0002993494709391459,-0.0003060958891839533,6.746418244807714e-06,5.508427430748876e-06,0.08355537378367298,8.718391019404183e-06,1.048783594032561e-11,4.352216624446655e-06,0.0035381263909593065,0.9929095483149752,0.0035436069028486777,4.3661743949575274e-06
6,cyclic,40.0,0.002745076003468888,0.018402326741104133,0.00012601648626294273,0.00046082925362649204,5.738699982915762e-08,5.738699999997791e-08,0.01670778437928322,1.5528975544945053e-06,0.9999999999997634,-2.3658852654762086e-13,5.565814430223087e-06,0.008462940837130796,0.018394468213406838,-0.00029927919447999884,-0.0003060958971585321,6.816702678533024e-06,5.5658144307488535e-06,0.1002631581629562,1.326508910517208e-05,1.0487835940314092e-11,6.623578914768423e-06,0.0042220728980733365,0.9915370591626326,0.004227602849952288,6.6415101904036575e-06
7,cyclic,40.0,0.0027393698612380515,0.01840232674110198,0.00012601648626334866,0.0004608292597427059,5.738413105911422e-08,5.738413126090542e-08,0.01670775042624352,1.552897567462151e-06,0.9999999999997232,-2.7677860003905153e-13,5.623198561282201e-06,0.009832576941531617,0.018394468213404798,-0.00029920892396111495,-0.0003060959075598622,6.886983598746938e-06,5.623198562009759e-06,0.11697090858919972,1.875796226371808e-05,1.0487835940302306e-11,9.367993260309591e-06,0.004904119866096408,0.9901674230581917,0.004909699113171491,9.389969003408488e-06
8,cyclic,40.0,0.0027336769067950514,0.0184023267410993,0.0001260164862636904,0.00046082926695373164,5.738118382987683e-08,5.738118407081196e-08,0.01670770855492003,1.5528975836397286e-06,0.9999999999996828,-3.171907181354072e-13,5.680579745112078e-06,0.011199366591961005,0.018394468213402623,-0.0002991386594702265,-0.00030609592037958146,6.957260909356957e-06,5.680579746080571e-06,0.13367861714411974,2.519371813417078e-05,1.0487835940289885e-11,1.2583813597462115e-05,0.005584272237980109,0.9888006334077218,0.005589900635846726,1.2609904536708665e-05
9,cyclic,40.0,0.0027279971081245144,0.018402326741096084,0.00012601648626430102,0.0004608292752557526,5.7378158415746895e-08,5.7378158685919065e-08,0.016707658792855157,1.5528976030164658e-06,0.9999999999996442,-3.5582647939236267e-13,5.737957903527825e-06,0.012563316366343048,0.01839446821340004,-0.0002990684010946009,-0.00030609593560920723,7.027534514606537e-06,5.73795790476649e-06,0.1503862759369749,3.256907349841716e-05,1.0487835940276851e-11,1.62693984336788e-05,0.006262534944101613,0.9874366836333013,0.006268212348743019,1.6299675064738353e-05
10,cyclic,40.0,0.0027223304332958886,0.018402326741092344,0.00012601648626491338,0.00046082928464504235,5.737505507455871e-08,5.7375055377339106e-08,0.016707601167515546,1.552897625581286e-06,0.9999999999996056,-3.943512183468556e-13,5.795332958602383e-06,0.013924432826634433,0.018394468213397186,-0.0002989981489213498,-0.000306095953240405,7.097804319054913e-06,5.795332960143829e-06,0.16709387710449045,4.08807542573126e-05,1.0487835940263186e-11,2.0423110835583367e-05,0.006938912902295407,0.9860755671729711,0.006944639170081715,2.0457643421729237e-05
