cycle,segment,period_model,same_phase_L1,normal_mean,normal_amplitude,registry_shear_amplitude,registry_index_increment,cycle_net_transfer,cycle_gross_grid_traffic,external_work_ev_cell,raw_mass,mass_residual,mean_well_index,outside_central_mass,normal_strain,registry_shear,intrawell_shear,registry_index_shear,cumulative_net_transfer,cumulative_gross_grid_traffic,outer_well_mass,upper_normal_edge_mass,P_-3,P_-2,P_-1,P_+0,P_+1,P_+2,P_+3
1,cyclic,40.0,0.004331704151524981,0.018402792230973096,0.000126258602540133,0.0004725124906202632,5.267805068041697e-06,5.2678050680537315e-06,0.01672389535746754,1.3210875092348575e-06,0.9999999999999578,-4.218847493575595e-14,5.267805068041697e-06,0.00157181789785792,0.01839447802946204,-0.00029930465099943174,-0.00030575636824000735,6.451717240574689e-06,5.2678050680537315e-06,0.01672389535746754,7.772139407678921e-15,1.048798084158363e-11,3.8958223614750435e-15,2.8007647567800187e-08,0.0007832467962440471,0.9984281821020999,0.0007885155713097831,2.7522648749816522e-08,3.876317046203878e-15
2,cyclic,40.0,0.002768084148477614,0.01840232870340855,0.00012601777464544411,0.0004608425656854522,6.843108927002528e-08,6.84310892937278e-08,0.016708000152337744,1.5526377050399165e-06,0.9999999999999157,-8.426592756904938e-14,5.336236157311722e-06,0.002955799745320986,0.01839446828459154,-0.00029955994269177276,-0.00030609547055797365,6.5355278662018924e-06,5.336236157347459e-06,0.033431895509805284,2.2292414789979592e-11,1.0487836983086145e-11,1.1264213256445147e-11,3.929503572011333e-07,0.0014748400319980891,0.9970442002545948,0.0014801713117687252,3.954289045562926e-07,1.1028201533534444e-11
3,cyclic,40.0,0.0027622738528552604,0.018402326755177233,0.0001260164954225585,0.0004608292568795306,5.740965373579618e-08,5.740965376933784e-08,0.016707842906340212,1.5528971765392336e-06,0.9999999999998737,-1.2634338020234281e-13,5.393645811047518e-06,0.004336887780443549,0.01839446821392082,-0.00029949003866773814,-0.0003060958787129227,6.605840045183176e-06,5.393645811116797e-06,0.050139738416145496,3.573836896189583e-10,1.0487835947806998e-11,1.783488585539923e-10,1.235076978826641e-06,0.0021645149246861,0.9956631122194303,0.0021698961203929818,1.2413010019503248e-06,1.79034831064966e-10
4,cyclic,40.0,0.0027565279793954835,0.018402326741208005,0.0001260164863265776,0.0004608292409076134,5.7395920643507124e-08,5.739592068800854e-08,0.01670784177748799,1.5528975325023366e-06,0.9999999999998317,-1.6830981053317373e-13,5.4510417316910254e-06,0.0057151028746428205,0.018394468213414724,-0.00029941974380375393,-0.0003060958792083805,6.67613540463011e-06,5.451041731804806e-06,0.06684758019363349,1.6146804841760295e-09,1.0487835940402623e-11,8.052957064764565e-10,2.55475181778061e-06,0.002852275389119105,0.994284897125189,0.0028577063158317572,2.564803193692687e-06,8.09384777699573e-10
5,cyclic,40.0,0.0027507953655827554,0.018402326741108144,0.0001260164862615827,0.0004608292408906029,5.7395899835440584e-08,5.739589988944656e-08,0.016707841762966275,1.55289753324841e-06,0.999999999999789,-2.1105339698124226e-13,5.508437631526466e-06,0.007090451684827311,0.018394468213410783,-0.00029934944847260673,-0.000306095879211198,6.746430738592471e-06,5.508437631694252e-06,0.08355542195659976,4.45515895008618e-09,1.0487835940349273e-11,2.2224834707813258e-09,4.349994598806988e-06,0.003538126390501335,0.9929095483149618,0.003543606902381988,4.3639421862303305e-06,2.2326754793048547e-09
6,cyclic,40.0,0.002745076003472676,0.018402326741107432,0.00012601648626110566,0.0004608292408949322,5.7395896182980306e-08,5.739589624751829e-08,0.016707841746018803,1.5528975332577812e-06,0.9999999999997469,-2.531308496145357e-13,5.565833527709446e-06,0.00846294083713107,0.018394468213410647,-0.0002992791531485119,-0.0003060958792165913,6.8167260680815e-06,5.5658335279417705e-06,0.10026326370261857,9.538168581783733e-09,1.0487835940348438e-11,4.759548112167456e-09,6.618820971076012e-06,0.004222072896468896,0.9915370591626156,0.004227602848323346,6.636733199168908e-06,4.778620469616277e-09
7,cyclic,40.0,0.0027393698612435007,0.01840232674110743,0.0001260164862612427,0.00046082924090247825,5.739589058851234e-08,5.7395890669890185e-08,0.01670784171319238,1.552897533269992e-06,0.9999999999997047,-2.9531932455029164e-13,5.623229418297959e-06,0.00983257694153341,0.018394468213410647,-0.0002992088578361253,-0.0003060958792268443,6.887021390718733e-06,5.623229418611661e-06,0.11697110541581095,1.7519865014413732e-08,1.0487835940347967e-11,8.744530982095925e-09,9.359252935880343e-06,0.00490411986189053,0.9901674230581712,0.004909699108912534,9.381197929450645e-06,8.775334032317807e-09
8,cyclic,40.0,0.002733676906807315,0.018402326741107415,0.00012601648626117332,0.0004608292409139617,5.7395882963783484e-08,5.739588305846144e-08,0.0167078416589357,1.5528975332902412e-06,0.9999999999996614,-3.3861802251067274e-13,5.680625301261742e-06,0.011199366591967143,0.018394468213411053,-0.00029913856253958626,-0.00030609587924360424,6.957316704017619e-06,5.680625301670122e-06,0.13367894707474665,2.90532030749181e-08,1.0487835940347491e-11,1.4503873242049946e-08,1.2569318904121107e-05,0.005584272228802967,0.9888006334076943,0.005589900626571261,1.259536448571805e-05,1.4549329832868153e-08
9,cyclic,40.0,0.0027279971081491036,0.01840232674110741,0.00012601648626124097,0.0004608292409302336,5.739587322508655e-08,5.7395873339330963e-08,0.01670784157777991,1.5528975333208347e-06,0.9999999999996197,-3.802513859341161e-13,5.738021174486829e-06,0.012563316366359165,0.018394468213411053,-0.00029906826726323703,-0.00030609587926862535,7.027612005389086e-06,5.738021175009453e-06,0.15038678865252655,4.47879477435508e-08,1.0487835940347019e-11,2.2362421308605255e-08,1.6247053678031938e-05,0.0062625349264435895,0.9874366836332606,0.0062682123309208415,1.627726736895881e-05,2.2425526434945548e-08
10,cyclic,40.0,0.0027223304333415382,0.018402326741107405,0.00012601648626117332,0.00046082924095195105,5.739586128983836e-08,5.7395861435137546e-08,0.0167078414642835,1.5528975333639642e-06,0.999999999999578,-4.21995771660022e-13,5.795417035776667e-06,0.013924432826670465,0.01839446821341119,-0.0002989979720112943,-0.0003060958793034418,7.097907292142918e-06,5.795417036444591e-06,0.16709463011681006,6.537068523622455e-08,1.048783594034653e-11,3.26434323935469e-08,2.0390498432329e-05,0.006938912871283729,0.9860755671729078,0.0069446391388155275,2.042494745364349e-05,3.272725284267765e-08
11,cyclic,40.0,0.002716676850531573,0.0184023267411074,0.00012601648626110566,0.00046082924097987164,5.739584717264008e-08,5.73958472650446e-08,0.016707841313031463,1.5528975334218822e-06,0.9999999999995359,-4.640732242933154e-13,5.852812882949307e-06,0.015282722518935782,0.018394468213411053,-0.00029892767678816245,-0.00030609587934976763,7.1682025616067845e-06,5.852812883709635e-06,0.18380247142984152,9.144483405424843e-08,1.048783594034603e-11,4.5668580028122396e-08,2.499770069540888e-05,0.007613410967061734,0.9847172774806001,0.007619185954375663,2.503645196892057e-05,4.5776254026126024e-08
12,cyclic,40.0,0.0027110363279455423,0.018402326741107373,0.00012601648626131036,0.000460829241014861,5.7395830657165415e-08,5.739583078923056e-08,0.016707841118634853,1.5528975334971485e-06,0.9999999999994947,-5.052624985069087e-13,5.9102087136064725e-06,0.01663819197330374,0.018394468213410783,-0.0002988573815983946,-0.00030609587940923596,7.238497810843408e-06,5.910208714498866e-06,0.20051031254847637,1.2365065600031626e-07,1.0487835940345531e-11,6.175795957042649e-08,3.006671433059944e-05,0.008286034104816391,0.9833618080261908,0.008291857669020887,3.0109834479864006e-05,6.189269642988977e-08
13,cyclic,40.0,0.002705408833892538,0.018402326741107346,0.00012601648626110566,0.00046082924105752784,5.7395811770956494e-08,5.739581191081773e-08,0.016707840875732377,1.5528975335910656e-06,0.9999999999994534,-5.465627950229646e-13,5.967604525377429e-06,0.01799084770407624,0.018394468213410918,-0.00029878708644652513,-0.0003060958794834739,7.308793036949244e-06,5.9676045264096835e-06,0.21721815342420875,1.626252671608317e-07,1.0487835940345019e-11,8.123009369595704e-08,3.559559951746342e-05,0.008956787162919696,0.9820091522953771,0.008962659161503142,3.564315486877438e-05,8.139517346487466e-08
14,cyclic,40.0,0.0026997943367587413,0.018402326741107346,0.00012601648626124097,0.00046082924110869654,5.7395790397791923e-08,5.739579058457116e-08,0.01670784057898736,1.552897533706397e-06,0.9999999999994117,-5.883071807488705e-13,6.025000315775221e-06,0.019340696209748095,0.018394468213410918,-0.0002987167913372177,-0.00030609587957409925,7.3790882368784065e-06,6.025000316994255e-06,0.2339259940031961,2.0900264885466797e-07,1.0487835940344489e-11,1.0440193787138869e-07,4.158242273315498e-05,0.009625675007109934,0.9806593037896636,0.009631595297939617,4.163447931653174e-05,1.0460071098327929e-07
15,cyclic,40.0,0.002694192805007605,0.01840232674110735,0.000126016486261038,0.0004608292411690348,5.739576657566198e-08,5.739576673059786e-08,0.016707840223091214,1.5528975338452155e-06,0.9999999999993703,-6.297184995673888e-13,6.082396082350883e-06,0.02068774397304646,0.018394468213410783,-0.00029864649627505367,-0.00030609587968268655,7.4493834076315374e-06,6.0823960837248525e-06,0.2506338342262873,2.634136585484593e-07,1.0487835940343962e-11,1.3158888581161562e-07,4.802525673382822e-05,0.010292702490524431,0.9793122560263237,0.010298670931845656,4.808188028400198e-05,1.318247727368437e-07
16,cyclic,40.0,0.0026886042071847137,0.01840232674110729,0.00012601648626124097,0.0004608292412393789,5.739574008235434e-08,5.739574026093769e-08,0.016707839802759805,1.5528975340094395e-06,0.9999999999993289,-6.711298183859071e-13,6.139791822433237e-06,0.02203199746097034,0.018394468213410918,-0.0002985762012650161,-0.0003060958798109546,7.519678545937126e-06,6.13979182398579e-06,0.2673416740290471,3.264860407385162e-07,1.048783594034342e-11,1.6310477492010778e-07,5.4922180536098766e-05,0.010957874453732532,0.9779680025383586,0.010963890904167474,5.498343649349476e-05,1.6338126581840843e-07
17,zero_stress_hold,40.0,0.0039257578721889185,0.018401713941087132,2.0092373065067753e-06,0.0001415683208604579,-5.195708703758973e-06,-5.1957087034458764e-06,0.01669057024178844,0.0,0.9999999999991307,-8.693046282814976e-13,9.440831186742646e-07,0.023372548288312818,0.018402155540130305,8.169607011575471e-07,-3.393002566066476e-07,1.1562609577636826e-06,9.440831205399137e-07,0.28403224427083557,3.988005644832318e-07,1.0576747647386215e-11,1.9936334136783544e-07,6.229327813771282e-05,0.01162331575826735,0.9766274517108178,0.01162423472667034,6.230572467293419e-05,1.9943722311539638e-07
18,zero_stress_hold,40.0,0.0026772575884710637,0.01840216318343983,4.543547808821824e-09,1.543831270124103e-07,-1.0971383131639653e-08,-1.0971382814078319e-08,0.0167060748977097,0.0,0.9999999999989301,-1.0699219288312634e-12,9.33111735542625e-07,0.024711120158438488,0.018402164988597484,1.142415943225485e-06,-4.078693188064314e-10,1.1428238125411347e-06,9.331117377258354e-07,0.30073831916854527,4.810542181713527e-07,1.057688642977242e-11,2.404830371230486e-07,7.009350882756357e-05,0.012284766447979118,0.9752888798404917,0.012285671981889259,7.010716552437578e-05,2.4057118104830416e-07
