cycle,segment,period_model,same_phase_L1,normal_mean,normal_amplitude,registry_shear_amplitude,registry_index_increment,cycle_net_transfer,cycle_gross_grid_traffic,external_work_ev_cell,raw_mass,mass_residual,mean_well_index,outside_central_mass,normal_strain,registry_shear,intrawell_shear,registry_index_shear,cumulative_net_transfer,cumulative_gross_grid_traffic,outer_well_mass,upper_normal_edge_mass,P_-1,P_+0,P_+1
1,cyclic,0.4,0.0017967585747150708,0.018419017327781343,0.00014420825416783592,1.2018861885541548e-05,1.9706623301512427e-09,1.9706623301715665e-09,8.661387672483952e-05,7.710288675677269e-07,0.9999999999999976,-2.4424906541753444e-15,1.9706623301512427e-09,6.612670416327176e-05,0.01830553927413085,-8.446231446230455e-07,-8.470367032055226e-07,2.413558582097333e-09,1.9706623301715665e-09,8.661387672483952e-05,6.612670416327176e-05,2.3773587112117768e-11,3.30623667504708e-05,0.9999338732958343,3.3064337412800954e-05
2,cyclic,0.4,9.494151537391113e-05,0.0184033787946997,0.0001392507888163027,1.2002862877873252e-05,2.0631697568307975e-09,2.0631697568782156e-09,8.661421861136072e-05,8.944619730219649e-07,0.9999999999999949,-5.10702591327572e-15,4.03383208698204e-09,0.00010891111002492008,0.01830521301368379,-1.6187865526252007e-06,-1.6237269677868634e-06,4.940415160586084e-09,4.033832087049782e-09,0.00017322809533620024,0.00010891111002492008,2.376505699716396e-11,5.4453538096416554e-05,0.9998910888899699,5.4457571928503537e-05
3,cyclic,0.4,7.190785034737849e-05,0.018403301515989005,0.00013923140582358315,1.1988375318053259e-05,2.1551565522766413e-09,2.15515655234438e-09,8.661437959736151e-05,8.948461023111663e-07,0.9999999999999928,-7.216449660063518e-15,6.1889886392586814e-09,0.00014128296532161085,0.018305190365278425,-2.3336861389294007e-06,-2.3412660710245692e-06,7.57993209503288e-09,6.188988639394162e-09,0.00025984247493356175,0.00014128296532161085,2.36956189297231e-11,7.06383881664858e-05,0.9998587170346711,7.064457715512505e-05
4,cyclic,0.4,6.0450421860611763e-05,0.018403281636100177,0.00013923059218014754,1.1975111869166325e-05,2.2447627826645295e-09,2.244762782921991e-09,8.661453980444604e-05,8.948501687780836e-07,0.9999999999999905,-9.547918011776346e-15,8.433751421923211e-09,0.00016831977543283806,0.018305172169172667,-2.994367182010113e-06,-3.0046963758096897e-06,1.0329193800591973e-08,8.433751422316153e-09,0.0003464570147380078,0.00016831977543283806,2.366386734581144e-11,8.415567084070807e-05,0.9998316802245576,8.416410459212999e-05
5,cyclic,0.4,5.349125679601257e-05,0.018403264665463482,0.0001392300114403111,1.1962950868619784e-05,2.3304890214214223e-09,2.3304890215569045e-09,8.661470158584773e-05,8.948520013667657e-07,0.9999999999999885,-1.1546319456101628e-14,1.0764240443344633e-08,0.00019223914570228837,0.018305156347831527,-3.605354194424273e-06,-3.6185376427011274e-06,1.3183448277412264e-08,1.0764240443873058e-08,0.0004330717163238555,0.00019223914570228837,2.3655120144918094e-11,9.611419073092252e-05,0.9998077608542861,9.612495497136586e-05
6,cyclic,0.4,4.877720772204772e-05,0.018403249872277268,0.00013922951831484356,1.1951786242883096e-05,2.410832848498872e-09,2.4108328486885594e-09,8.661486264441591e-05,8.948536228934036e-07,0.9999999999999869,-1.3100631690576847e-14,1.3175073291843505e-08,0.00021413090913819115,0.01830514253048166,-4.170733324379447e-06,-4.186869427825846e-06,1.6136103444393635e-08,1.3175073292561617e-08,0.0005196865789682714,0.00021413090913819115,2.3653051461553276e-11,0.00010705886703244965,0.9997858690908488,0.0001070720421057415
7,cyclic,0.4,4.532859763016574e-05,0.018403236933680924,0.00013922909586070245,1.1941524431396275e-05,2.4843608410042497e-09,2.4843608412616815e-09,8.66150204233264e-05,8.948550821959608e-07,0.9999999999999848,-1.5210055437364645e-14,1.5659434132847755e-08,0.00023459570762269664,0.01830513042822415,-4.694204684394926e-06,-4.7133834960356295e-06,1.9178811643099682e-08,1.56594341338233e-08,0.0006063015993915978,0.00023459570762269664,2.3652576205494833e-11,0.0001172900240942819,0.999765404292362,0.00011730568352841475
8,cyclic,0.4,4.2614045457995037e-05,0.018403225585975458,0.00013922873246122527,1.193208251736777e-05,2.5497842398803894e-09,2.5497842403410893e-09,8.661517243284227e-05,8.948564002173325e-07,0.9999999999999821,-1.787459069646502e-14,1.8209218372728144e-08,0.0002539988955967876,0.018305119800255575,-5.179126668475605e-06,-5.201428315288543e-06,2.2301646814048293e-08,1.8209218374164388e-08,0.0006929167718244401,0.0002539988955967876,2.3652457865118993e-11,0.00012699034318920744,0.9997460011043854,0.00012700855240758017
9,cyclic,0.4,4.036536208674316e-05,0.018403215608241576,0.0001392284187767632,1.1923386710088272e-05,2.606019279224189e-09,2.606019279359625e-09,8.661531638537792e-05,8.94857593811263e-07,0.9999999999999801,-1.9872992140790302e-14,2.0815237651952333e-08,0.0002725807161007718,0.018305110444061978,-5.628553878253293e-06,-5.65404723381238e-06,2.5493355561025724e-08,2.0815237653524013e-08,0.000779532088209818,0.0002725807161007718,2.365241771918213e-11,0.00013627995043155993,0.9997274192838794,0.00013630076566921188
10,cyclic,0.4,3.8558637145131474e-05,0.018403206814195903,0.00013922814715354621,1.1915371095832046e-05,2.6522276205224628e-09,2.652227620901851e-09,8.661545029101298e-05,8.948586772361669e-07,0.9999999999999789,-2.1094237467877974e-14,2.3467465272474796e-08,0.0002905087391029764,0.01830510218844979,-6.045269803718523e-06,-6.074011461452435e-06,2.8741657737023726e-08,2.3467465274425864e-08,0.000866147538500831,0.0002905087391029764,2.365239454111163e-11,0.00014524263581885196,0.9997094912608757,0.00014526610328412443
11,cyclic,0.4,3.700353211963127e-05,0.018403199046018295,0.00013922791126803717,1.1907976600360456e-05,2.68783626524459e-09,2.6878362655968335e-09,8.661557251918176e-05,8.948596626941189e-07,0.9999999999999764,-2.3647750424515834e-14,2.6155301537719386e-08,0.00030790514341960424,0.0183050948880677,-6.431815156817401e-06,-6.463848728235404e-06,3.203357141802236e-08,2.6155301540022697e-08,0.0009527631110200128,0.00030790514341960424,2.3652375048080896e-11,0.00015393949405903326,0.9996920948565569,0.00015396564936057098
12,cyclic,0.4,3.561052436724382e-05,0.01840319216944678,0.00013922770586626172,1.1901150120544376e-05,2.7125389096613863e-09,2.712538910013603e-09,8.661568182841291e-05,8.948605607067207e-07,0.9999999999999734,-2.6645352591003757e-14,2.8867840447380773e-08,0.0003248620788037738,0.018305088419017432,-6.7905125737732574e-06,-6.825868313309263e-06,3.535573953608028e-08,2.88678404500363e-08,0.0010393787928484257,0.0003248620788037738,2.3652356418258736e-11,0.0001624166054816632,0.9996751379211697,0.00016244547332211058
13,cyclic,0.4,3.434840672814098e-05,0.018403186069828548,0.00013922752655966437,1.1894843791681693e-05,2.7262822442567383e-09,2.72628224458186e-09,8.661577736859458e-05,8.948613804015171e-07,0.9999999999999714,-2.864375403532904e-14,3.159412269163751e-08,0.0003414509099991029,0.01830508267530494,-7.123488259712454e-06,-7.162182999446048e-06,3.869473973269967e-08,3.159412269461816e-08,0.0011259945702170203,0.0003414509099991029,2.3652338098854467e-11,0.00017070965793820563,0.9996585490899723,0.00017074125206089727
14,cyclic,0.4,3.3357582785508605e-05,0.01840318064891526,0.00013922736966532137,1.1889014365463782e-05,2.7292412870711372e-09,2.7292412876130795e-09,8.66158586618111e-05,8.948621297390331e-07,0.999999999999969,-3.097522238704187e-14,3.432336397870865e-08,0.00035772808878237384,0.01830507756595193,-7.432691041663066e-06,-7.4747284056655996e-06,4.2037364001830225e-08,3.432336398223124e-08,0.0012126104288788314,0.00035772808878237384,2.3652320022267966e-11,0.00017884688270919757,0.9996422719111866,0.00017888120607317627
15,cyclic,0.4,3.249788929772728e-05,0.018403175822245058,0.00013922723207820085,1.1883622678328876e-05,2.7217877672548292e-09,2.7217877678780734e-09,8.661592556809456e-05,8.948628156983724e-07,0.9999999999999666,-3.341771304121721e-14,3.704515174596348e-08,0.000373739051347053,0.018305073012625142,-7.719909210089856e-06,-7.765280069696943e-06,4.537085961079194e-08,3.7045151750109313e-08,0.001299226354446926,0.000373739051347053,2.3652302218494422e-11,0.00018685100309765354,0.9996262609486197,0.0001868880482493995
16,cyclic,0.4,3.1719469433712747e-05,0.018403171516991695,0.0001392271111719575,1.1878633194372247e-05,2.7044550615088907e-09,2.704455062077938e-09,8.661597824190909e-05,8.948634444234407e-07,0.9999999999999648,-3.519406988061746e-14,3.974960680747237e-08,0.0003895208995293176,0.018305068947686624,-7.986785462135941e-06,-8.035468589211192e-06,4.868312707728398e-08,3.974960681218725e-08,0.001385842332688835,0.0003895208995293176,2.3652284731504567e-11,0.00019474057496125506,0.9996104791004357,0.00019478032456806253
17,cyclic,0.4,3.11668031339302e-05,0.01840316767018744,0.00013922700471465446,1.1874013610445682e-05,2.6779025139675894e-09,2.6779025144010784e-09,8.661601708424859e-05,8.948640213479892e-07,0.9999999999999626,-3.7414515929867775e-14,4.242750932143996e-08,0.0004051043010950687,0.018305065312577137,-8.234830206612459e-06,-8.28679308105568e-06,5.1962874447352424e-08,4.242750932658833e-08,0.0014724583497730836,0.0004051043010950687,2.3652267601789377e-11,0.00020253093679287363,0.9995948956988675,0.00020257336430219507
