cycle,segment,period_model,same_phase_L1,normal_mean,normal_amplitude,registry_shear_amplitude,registry_index_increment,cycle_net_transfer,cycle_gross_grid_traffic,external_work_ev_cell,raw_mass,mass_residual,mean_well_index,outside_central_mass,normal_strain,registry_shear,intrawell_shear,registry_index_shear,cumulative_net_transfer,cumulative_gross_grid_traffic,outer_well_mass,upper_normal_edge_mass,P_-1,P_+0,P_+1
1,cyclic,40.0,0.0057700789819907575,0.01840337919401537,0.0002105161674428105,0.0007932313376834652,8.911096593158808e-06,8.911096593164683e-06,0.01673704740375459,3.630989658889654e-06,0.9999999999999901,-9.880984919163893e-15,8.911096593158808e-06,0.0015726747809807168,0.01839324124518844,-0.0004968870211541335,-0.0005078008410050806,1.0913819850946311e-05,8.911096593164683e-06,0.01673704740375459,0.0015726747809807168,1.0447197449802499e-11,0.000781881842193779,0.9984273252190095,0.0007907929387869377
2,cyclic,40.0,0.0027685461882281017,0.018402617789273854,0.00021011618550350122,0.0007745239389976215,1.696852173167466e-07,1.6968521732000936e-07,0.016703538234179638,4.269174078446922e-06,0.9999999999999796,-2.042810365310288e-14,9.080781810475555e-06,0.002956865819172154,0.018393226084057614,-0.0004971758730768782,-0.0005082975140274845,1.1121640950605964e-05,9.080781810484693e-06,0.03344058563793423,0.002956865819172154,1.0446972592215628e-11,0.0014738925186808395,0.9970431341808073,0.0014829733004913148
3,cyclic,40.0,0.002762692510608074,0.01840261472728704,0.00021011419616709728,0.0007745086041844273,1.5216452642643478e-07,1.5216452644911324e-07,0.01669189201381089,4.269813791207191e-06,0.9999999999999701,-2.986499936241671e-14,9.23294633690199e-06,0.004338163283722089,0.018393225978960866,-0.0004969957708338743,-0.0005083037745078293,1.130800367395447e-05,9.232946336933806e-06,0.05013247765174512,0.004338163283722089,1.0446971071744533e-11,0.0021644651686925937,0.9956618367162479,0.0021736981150294954
4,cyclic,40.0,0.0027569428127617963,0.018402614704449698,0.00021011418304893795,0.0007745113367450267,1.5190810740306238e-07,1.5190810743592048e-07,0.016680338431366286,4.269828236228937e-06,0.9999999999999598,-4.0190073491430667e-14,9.384854444305052e-06,0.005716586004821819,0.01839322597678338,-0.0004968156473597293,-0.0005083096997091489,1.1494052349419174e-05,9.384854444369727e-06,0.0668128160831114,0.005716586004821819,1.0446971056866279e-11,0.0028536005751887573,0.994283413995138,0.002862985429633062
5,cyclic,40.0,0.0027512051272166873,0.018402614701976017,0.00021011418297401524,0.0007745140590111704,1.516883323950064e-07,1.516883324347712e-07,0.01666880896531564,4.26984213083144e-06,0.9999999999999463,-5.3734794391857577e-14,9.536542776700059e-06,0.0070921399844460845,0.018393225975298817,-0.0004966357842148793,-0.0005083156160714483,1.16798318565699e-05,9.536542776804498e-06,0.08348162504842704,0.0070921399844460845,1.0446971052067303e-11,0.0035413017208346925,0.9929078600155001,0.003550838263611392
6,cyclic,40.0,0.0027454793829895137,0.018402614699642876,0.00021011418298584605,0.0007745167752535131,1.5146912518967256e-07,1.5146912521208505e-07,0.016657303493363612,4.269856000072886e-06,0.9999999999999328,-6.716849298982197e-14,9.688011901889731e-06,0.00846483119306848,0.018393225973822,-0.0004964561772568865,-0.000508321520147707,1.1865342890820122e-05,9.688011902016583e-06,0.10013892854179066,0.00846483119306848,1.0446971047345165e-11,0.004227571590583295,0.9915351688068645,0.004237259602485184
7,cyclic,40.0,0.0027397655550499755,0.018402614697315488,0.0002101141829980828,0.0007745194858586461,1.5125030838646078e-07,1.5125030846611237e-07,0.016645821966319058,4.269869840510831e-06,0.9999999999999191,-8.093525849517391e-14,9.839262210276192e-06,0.009834665588622397,0.018393225972348045,-0.0004962768259808343,-0.0005083274119111481,1.2050585930312837e-05,9.839262210482695e-06,0.11678475050810971,0.009834665588622397,1.0446971042632972e-11,0.004912413163206061,0.9901653344112967,0.004922252425416336
8,cyclic,40.0,0.002734063618593534,0.018402614694992957,0.00021011418301038892,0.0007745221908430286,1.5103188018122644e-07,1.510318802799837e-07,0.016634364334361662,4.269883652145582e-06,0.9999999999999081,-9.192646643896296e-14,9.990294090457418e-06,0.011201649116640964,0.01839322597087694,-0.0004960977299357722,-0.0005083332913867548,1.2235561450981422e-05,9.990294090762679e-06,0.13341911484247138,0.011201649116640964,1.0446971037930262e-11,0.0055958294112752535,0.988798350883267,0.00560581970536571
9,cyclic,40.0,0.0027283735488762635,0.01840261469267524,0.0002101141830224227,0.0007745248902183417,1.5081383974742633e-07,1.508138398730735e-07,0.016622930547761677,4.269897435036423e-06,0.9999999999998976,-1.0236256287043943e-13,1.0141107930204845e-05,0.012565787710283369,0.018393225969409375,-0.0004959188886723942,-0.0005083391586001423,1.2420269927746956e-05,1.0141107930635752e-05,0.15004204539023305,0.012565787710283369,1.0446971033237017e-11,0.006277823301176583,0.987434212289614,0.006287964409106787
10,cyclic,40.0,0.002722695321201198,0.018402614690362366,0.00021011418303459352,0.0007745275839962624,1.5059618639982943e-07,1.5059618647082773e-07,0.016611520556893328,4.269911189242979e-06,0.999999999999887,-1.1302070390684094e-13,1.0291704116604674e-05,0.013927087290361038,0.018393225967944526,-0.0004957403017421897,-0.0005083450135768796,1.2604711834691279e-05,1.029170411710658e-05,0.16665356594712638,0.013927087290361038,1.0446971028553195e-11,0.006958397793122217,0.986072912709526,0.0069686894972388206
11,cyclic,40.0,0.0027170289109203455,0.0184026146880543,0.000210114183046832,0.0007745302721884064,1.5037891927192103e-07,1.5037891934206044e-07,0.01660013431223245,4.26992491482494e-06,0.9999999999998773,-1.226796442210798e-13,1.0442083035876595e-05,0.015285553765363113,0.018393225966483077,-0.0004955619686975376,-0.0005083508563423721,1.2788887644834975e-05,1.044208303644864e-05,0.18325370025935883,0.015285553765363113,1.0446971023878798e-11,0.007637555841163619,0.9847144462345143,0.007647997924199494
12,cyclic,40.0,0.0027113742934420557,0.018402614685751044,0.000210114183059067,0.0007745329548064997,1.501620376212581e-07,1.5016203773129955e-07,0.0165887717643598,4.269938611842405e-06,0.9999999999998683,-1.3167245072054357e-13,1.0592245073497853e-05,0.01664119303148208,0.01839322596502394,-0.0004953838890917885,-0.0005083566869220773,1.297279783028932e-05,1.059224507417994e-05,0.19984247202371863,0.01664119303148208,1.0446971019213782e-11,0.008315300393204291,0.9833588069683861,0.008325892638277788
13,cyclic,40.0,0.002705731444223663,0.018402614683452573,0.00021011418307137486,0.000774535631861963,1.499455408450429e-07,1.4994554090042023e-07,0.01657743286395763,4.269952280354187e-06,0.9999999999998578,-1.4221956945448255e-13,1.0742190614342896e-05,0.017994010972639456,0.018393225963568474,-0.0004952060624789943,-0.0005083625053414228,1.3156442862427325e-05,1.074219061508036e-05,0.21641990488767626,0.017994010972639456,1.0446971014558123e-11,0.008991634391012557,0.9820059890272184,0.009002376581626899
14,cyclic,40.0,0.0027001003387701547,0.018402614681158884,0.00021011418308333925,0.0007745383033664606,1.4972942794836068e-07,1.497294279829281e-07,0.016566117561811422,4.26996592041961e-06,0.999999999999848,-1.5198953207118393e-13,1.0891920042291257e-05,0.019344013460511157,0.018393225962115456,-0.000495028488414305,-0.0005083683116257083,1.3339823211403476e-05,1.0891920043063288e-05,0.23298602244948768,0.019344013460511157,1.0446971009911832e-11,0.009666560770234435,0.9806559865393368,0.009677452690276724
15,cyclic,40.0,0.002694480952642166,0.01840261467886998,0.00021011418309557772,0.0007745409693315538,1.4951369827811685e-07,1.495136982936074e-07,0.016554825808809737,4.2699795320984986e-06,0.9999999999998391,-1.6087131626818518e-13,1.1041433740569374e-05,0.020691206354553165,0.018393225960665973,-0.0004948511664536091,-0.0005083741058001823,1.352293934657239e-05,1.1041433741356896e-05,0.24954084825829742,0.020691206354553165,1.0446971005274885e-11,0.010340082460406299,0.9793087936452858,0.010351123894146866
16,cyclic,40.0,0.0026888732614512275,0.018402614676585827,0.00021011418310767915,0.0007745436297686933,1.492983510814431e-07,1.492983511906104e-07,0.01654355755594189,4.269993115449403e-06,0.9999999999998305,-1.695310558602614e-13,1.1190732091650817e-05,0.022035595502027053,0.01839322595921921,-0.0004946740961537457,-0.0005083798878901122,1.3705791736366608e-05,1.1190732092547506e-05,0.2660844058142393,0.022035595502027053,1.044697100064723e-11,0.011012202384967702,0.9779644044978033,0.011023393117059351
17,zero_stress_hold,40.0,0.0053184179723266166,0.01840144034526869,3.533735831591847e-06,0.0002451364983031473,-8.62947116180155e-06,-8.62947116173074e-06,0.01650252546278741,0.0,0.9999999999998144,-1.8562928971732617e-13,2.5612609298492666e-06,0.023375569445150988,0.01840215063584457,2.6373654023710856e-06,-4.995257857573319e-07,3.1368911881285417e-06,2.5612609308167666e-06,0.2825869312770267,0.023375569445150988,1.0576675468516755e-11,0.01168650409211057,0.9766244305546634,0.011689065353040418
