cycle,segment,period_model,same_phase_L1,normal_mean,normal_amplitude,registry_shear_amplitude,registry_index_increment,cycle_net_transfer,cycle_gross_grid_traffic,external_work_ev_cell,raw_mass,mass_residual,mean_well_index,outside_central_mass,normal_strain,registry_shear,intrawell_shear,registry_index_shear,cumulative_net_transfer,cumulative_gross_grid_traffic,outer_well_mass,upper_normal_edge_mass,P_-1,P_+0,P_+1
1,cyclic,40.0,0.004838804075090405,0.01840276423929688,0.00012622534556669222,0.0004029746556653037,-3.4937817718304535e-06,-3.493781771830894e-06,0.01672311798950831,1.8504645643104686e-06,1.000000000000002,1.9984014443252818e-15,-3.4937817718304535e-06,0.0015717621042881486,0.018394473671595832,0.00034055872770778403,0.0003448377190145954,-4.278991306810767e-06,-3.493781771830894e-06,0.01672311798950831,0.0015717621042881486,1.0487635904400239e-11,0.0007876279430299895,0.9984282378957139,0.0007841341612581591
2,cyclic,40.0,0.002768069122617868,0.01840232861099593,0.00012601774869582666,0.00046077185030904877,-1.213293017789225e-08,-1.2132930182241763e-08,0.01670055861129633,1.5531817206870665e-06,1.0000000000000056,5.551115123125783e-15,-3.5059147020083458e-06,0.0029557432055881717,0.018394464198099102,0.00034090517125860773,0.00034519902230942934,-4.293851050821092e-06,-3.5059147020131357e-06,0.03342367660080464,0.0029557432055881717,1.0487496047558817e-11,0.00147962456014509,0.9970442567944174,0.0014761186454430816
3,cyclic,40.0,0.0027622732672759583,0.018402326753507045,0.00012601654842753392,0.00046084974352782345,-8.13913951351009e-11,-8.139139947953289e-11,0.016689022894207733,1.5529038332268594e-06,1.0000000000000078,7.771561172376096e-15,-3.505996093403481e-06,0.0043368310152285885,0.01839446412910508,0.000340903721214299,0.00034519767194881326,-4.29395073451486e-06,-3.5059960934126153e-06,0.050112699495012375,0.0043368310152285885,1.0487495029016338e-11,0.002170168505660996,0.9956631689847792,0.0021666625095675923
4,cyclic,40.0,0.0027565254137219925,0.018402326739342965,0.00012601653973219953,0.00046085137891905235,-5.958111304038888e-11,-5.958110437312425e-11,0.016677473947677032,1.552908237262327e-06,1.0000000000000095,9.547918011776346e-15,-3.5060556745165212e-06,0.005715044968877834,0.018394464127513777,0.0003409019254627333,0.00034519594916890956,-4.294023706177487e-06,-3.5060556745169884e-06,0.06679017344268941,0.005715044968877834,1.0487494998013993e-11,0.002859275512276175,0.9942849550311316,0.0028557694566016586
5,cyclic,40.0,0.002750789477911368,0.018402326738463502,0.00012601653966876764,0.00046085293952758316,-6.107367562221478e-11,-6.107366088553556e-11,0.01666594826720906,1.5529129069768954e-06,1.000000000000012,1.199040866595169e-14,-3.5061167481921435e-06,0.007090391055774301,0.018394464126406947,0.0003409001326456984,0.00034519423115154756,-4.294098505848483e-06,-3.506116748177874e-06,0.08345612170989847,0.007090391055774301,1.0487494974108512e-11,0.0035469485862612464,0.9929096089442375,0.0035434424695130542
6,cyclic,40.0,0.002745065477236033,0.01840232673768075,0.00012601653966767996,0.0004608544972724204,-6.266720995448183e-11,-6.266718697786611e-11,0.0166544465627107,1.5529175662321268e-06,1.0000000000000144,1.4432899320127035e-14,-3.506179415402098e-06,0.008462875243568545,0.01839446412530583,0.00034089834147714454,0.0003451925167343369,-4.29417525719248e-06,-3.5061794153648518e-06,0.10011056827260917,0.008462875243568545,1.0487494950302996e-11,0.004233190711491973,0.9915371247564457,0.004229684532076571
7,cyclic,40.0,0.0027393533873869363,0.01840232673690031,0.00012601653966686464,0.00046085605178258163,-6.425694958507442e-11,-6.425694438344509e-11,0.01664296879155358,1.5529222157762017e-06,1.000000000000015,1.509903313490213e-14,-3.506243672351683e-06,0.009832503487464736,0.018394464124207296,0.00034089655192886463,0.0003451908058844247,-4.294253955561935e-06,-3.5062436723092352e-06,0.11675353706416275,0.009832503487464736,1.0487494926547356e-11,0.004918004865568544,0.9901674965125506,0.004914498621896192
8,cyclic,40.0,0.002733653183581143,0.018402326736121462,0.00012601653966625229,0.000460857603057731,-6.584222403151061e-11,-6.584218066596481e-11,0.01663151490400111,1.552926855645269e-06,1.0000000000000158,1.5765166949677223e-14,-3.5063095145757145e-06,0.011199281730274879,0.018394464123110396,0.000340894763998632,0.00034518909859411923,-4.294334595488138e-06,-3.506309514489901e-06,0.13338505196816386,0.011199281730274879,1.048749490284114e-11,0.005601394019894727,0.9888007182697407,0.005597887710380152
9,cyclic,40.0,0.002727964841085307,0.018402326735344275,0.00012601653966529992,0.0004608591511045752,-6.742297605257438e-11,-6.742293962719303e-11,0.016620084850355432,1.5529314858593085e-06,1.0000000000000169,1.687538997430238e-14,-3.506376937551767e-06,0.012563215902444885,0.018394464122016212,0.00034089297768447345,0.0003451873948559051,-4.294417171432273e-06,-3.5063769374295284e-06,0.1500051368185193,0.012563215902444885,1.0487494879184265e-11,0.006283361139691218,0.987436784097572,0.006279854762753666
10,cyclic,40.0,0.0027222883352207507,0.018402326734568698,0.0001260165396644846,0.000460860695929756,-6.899925162267301e-11,-6.899922560393845e-11,0.01660867858102183,1.5529361064386622e-06,1.0000000000000175,1.7541523789077473e-14,-3.5064459368033898e-06,0.013924311922080218,0.01839446412092407,0.0003408911929846391,0.00034518569466254994,-4.294501677911828e-06,-3.5064459366551323e-06,0.16661381539954112,0.013924311922080218,1.0487494855576597e-11,0.006963909184008511,0.9860756880779373,0.006960402738071707
11,cyclic,40.0,0.002716623641353244,0.018402326733794754,0.00012601653966373694,0.00046086223754002555,-7.057104552789519e-11,-7.05710212489663e-11,0.016597296046507976,1.5529407174029842e-06,1.0000000000000195,1.9539925233402755e-14,-3.5065165078489177e-06,0.0152825756949717,0.01839446411983451,0.00034088940989708034,0.00034518399800651927,-4.294588109437907e-06,-3.5065165076763813e-06,0.1832111114460491,0.0152825756949717,1.0487494832018073e-11,0.007643041105739774,0.9847174243050478,0.007639534589231925
