cycle,segment,period_model,same_phase_L1,normal_mean,normal_amplitude,registry_shear_amplitude,registry_index_increment,cycle_net_transfer,cycle_gross_grid_traffic,external_work_ev_cell,raw_mass,mass_residual,mean_well_index,outside_central_mass,normal_strain,registry_shear,intrawell_shear,registry_index_shear,cumulative_net_transfer,cumulative_gross_grid_traffic,outer_well_mass,upper_normal_edge_mass,P_-1,P_+0,P_+1
1,cyclic,40.0,0.0031415883349971414,0.018402172836309853,7.374467656320882e-09,0.00012600625231133842,1.388847569096948e-06,1.3888475691041556e-06,0.016705900999259643,9.140219941819845e-08,0.9999999999999594,-4.063416270128073e-14,1.388847569096948e-06,0.0015707941674782129,0.01840217302011433,-7.989858365154101e-05,-8.15995675889373e-05,1.7009839373961628e-06,1.3888475691041556e-06,0.016705900999259643,0.0015707941674782129,1.0576931896269936e-11,0.000784702659954558,0.9984292058324812,0.0007860915075236549
2,cyclic,40.0,0.0027678269096237202,0.018402172873824618,5.688959298436047e-09,0.00012289659315400443,2.1558612111784774e-09,2.155861220987966e-09,0.016698911148479094,1.076966024621623e-07,0.9999999999999186,-8.137934770502397e-14,1.3910034303081265e-06,0.0029546673307810113,0.018402173023765914,-7.99869229190657e-05,-8.169054723642427e-05,1.7036243173579857e-06,1.3910034303251436e-06,0.03340481214773874,0.0029546673307810113,1.0576931826989656e-11,0.0014766381636753517,0.9970453326691375,0.0014780291671056597
3,cyclic,40.0,0.0027620579549648247,0.018402172872430005,5.68786749470529e-09,0.0001228935717530458,-9.581948125017864e-10,-9.581947915237449e-10,0.016687530808979452,1.0771479561356341e-07,0.9999999999998787,-1.213473765915296e-13,1.3900452354956247e-06,0.004335647411512498,0.018402173023668554,-7.998912673154242e-05,-8.169157750471789e-05,1.70245077317558e-06,1.3900452355336199e-06,0.05009234295671819,0.004335647411512498,1.0576931825826382e-11,0.0021671286831385014,0.9956643525883664,0.002168518728373997
4,cyclic,40.0,0.0027563110920629857,0.018402172872359682,5.68785505326852e-09,0.00012289398856200087,-9.651648923957124e-10,-9.651648686000158e-10,0.01667598494105052,1.0771514315357631e-07,0.9999999999998377,-1.6231460620019789e-13,1.389080070603229e-06,0.005713754084479164,0.018402173023635105,-7.999126181577606e-05,-8.169253050819894e-05,1.7012686924235712e-06,1.3890800706650198e-06,0.06676832789776871,0.005713754084479164,1.0576931825772054e-11,0.0028561825022042804,0.9942862459153585,0.0028575715822748834
5,cyclic,40.0,0.002750576059540567,0.018402172872303835,5.687832413392435e-09,0.0001228944045843952,-9.653207121965833e-10,-9.653206844983941e-10,0.016664461198112213,1.0771547515052663e-07,0.9999999999997962,-2.0383694732117874e-13,1.3881147498910324e-06,0.007088993342222435,0.018402173023602607,-7.999339572786189e-05,-8.169348214869433e-05,1.7000864208320603e-06,1.3881147499805215e-06,0.08343278909588092,0.007088993342222435,1.0576931825727653e-11,0.0035438026137362723,0.9929110066575739,0.003545190728486163
6,cyclic,40.0,0.002744852958697025,0.018402172872248223,5.687809572288427e-09,0.000122894819671279,-9.654408010317165e-10,-9.654407486132943e-10,0.01665296141666958,1.0771580658016817e-07,0.999999999999755,-2.4502622153477205e-13,1.3871493090900007e-06,0.008461371151018188,0.018402173023569703,-7.999552781798736e-05,-8.169443182014962e-05,1.6989040021623644e-06,1.3871493092319082e-06,0.1000857505125505,0.008461371151018188,1.0576931825683431e-11,0.004229992000854549,0.9915386288487369,0.004231379150163639
7,cyclic,40.0,0.002739141765851974,0.018402172872192743,5.687786863023403e-09,0.00012289523389307625,-9.655589261605102e-10,-9.655588542253901e-10,0.016641485562596647,1.0771613732222918e-07,0.9999999999997145,-2.8554936193359026e-13,1.3861837501638402e-06,0.009830893464660099,0.018402173023537204,-7.99976580775703e-05,-8.169537951638995e-05,1.6977214388195231e-06,1.3861837503776828e-06,0.11672723607514715,0.009830893464660099,1.0576931825639318e-11,0.004914753640454968,0.9901691065350544,0.004916139824205131
8,cyclic,40.0,0.002733442456240307,0.01840217287213739,5.687764223147318e-09,0.00012289564725255606,-9.656753226350307e-10,-9.65675248099096e-10,0.01663003358623724,1.0771646737618445e-07,0.999999999999673,-3.269606807521086e-13,1.3852180748412052e-06,0.011197566224553307,0.018402173023504435,-7.999978650842201e-05,-8.169632524134246e-05,1.6965387329206963e-06,1.3852180751295837e-06,0.1333572696613844,0.011197566224553307,1.0576931825595279e-11,0.005598090503239233,0.9888024337751198,0.005599475721314074
9,cyclic,40.0,0.002727755005134251,0.018402172872082123,5.687741583271233e-09,0.00012289605975145985,-9.657899739783697e-10,-9.657899107187728e-10,0.016618605437910328,1.0771679674339972e-07,0.999999999999631,-3.6903813338540203e-13,1.3842522848672268e-06,0.012561395359740754,0.018402173023472208,-8.000191311248288e-05,-8.16972689990866e-05,1.695355886603225e-06,1.384252285218865e-06,0.14997587509929472,0.012561395359740754,1.0576931825551331e-11,0.006280005553727944,0.9874386046398902,0.00628138980601281
10,cyclic,40.0,0.0027220793878605406,0.01840217287202698,5.687719011049364e-09,0.00012289647139166078,-9.659029573861453e-10,-9.659028646358259e-10,0.016607201068037036,1.0771712542528246e-07,0.9999999999995892,-4.107825191113079e-13,1.3832863819098406e-06,0.013922386786928843,0.01840217302343944,-8.000403789182493e-05,-8.169821079373429e-05,1.6941729019099043e-06,1.383286382354229e-06,0.16658307616733176,0.013922386786928843,1.0576931825507471e-11,0.0069605017502734675,0.9860776132126603,0.006961885036655377
11,cyclic,40.0,0.002716415579797764,0.018402172871971947,5.687696575870649e-09,0.00012289688217489167,-9.660142069352656e-10,-9.660141254627663e-10,0.016595820427141805,1.0771745342328038e-07,0.9999999999995459,-4.54081217071689e-13,1.3823203677029054e-06,0.015280546410513154,0.01840217302340735,-8.000616084843716e-05,-8.169915062939996e-05,1.692989780964269e-06,1.3823203682287663e-06,0.18317889659447356,0.015280546410513154,1.0576931825463699e-11,0.007639582045072726,0.9847194535890328,0.007640964365440428
12,cyclic,40.0,0.0027107635563737723,0.018402172871917054,5.6876740730377184e-09,0.0001228972921029878,-9.661237330374596e-10,-9.661236767197212e-10,0.016584463465851962,1.0771778073884932e-07,0.9999999999995016,-4.983791157542328e-13,1.381354243969868e-06,0.016635880122603978,0.018402173023374987,-8.000828198424982e-05,-8.170008851012692e-05,1.6918065258771017e-06,1.3813542445520466e-06,0.19976336006032552,0.016635880122603978,1.0576931825419997e-11,0.008317249384180004,0.9833641198768976,0.008318630738423973
13,cyclic,40.0,0.002705123293065915,0.01840217287186225,5.687651773167435e-09,0.00012289770117769494,-9.662315929398724e-10,-9.662315253455844e-10,0.016573130134897474,1.0771810737335754e-07,0.9999999999994579,-5.421219029244639e-13,1.380388012376928e-06,0.017988393803052005,0.018402173023342898,-8.001040130129971e-05,-8.170102443998944e-05,1.690623138689072e-06,1.380388013026701e-06,0.216336490195223,0.017988393803052005,1.0576931825376389e-11,0.008993506707519814,0.9820116061964059,0.00899488709553219
14,cyclic,40.0,0.0026994947654079117,0.018402172871807565,5.687629200945565e-09,0.00012289810940077948,-9.663377250572797e-10,-9.663376938917612e-10,0.016561820385110865,1.0771843332822382e-07,0.9999999999994144,-5.856426454897701e-13,1.3794216746518708e-06,0.019338093319473698,0.01840217302331081,-8.001251880150164e-05,-8.170195842301825e-05,1.6894396215162758e-06,1.3794216753328092e-06,0.23289831058033386,0.019338093319473698,1.0576931825332881e-11,0.009668356948899524,0.9806619066799409,0.009669736370574175
15,cyclic,40.0,0.002693877948980745,0.01840217287175301,5.687606968729497e-09,0.00012289851677403662,-9.664421779627857e-10,-9.664421502658671e-10,0.016550534167427272,1.0771875860490279e-07,0.9999999999993714,-6.286082765427636e-13,1.378455232473908e-06,0.02068498452727685,0.01840217302327858,-8.001463448691954e-05,-8.170289046333397e-05,1.6882559764153195e-06,1.3784552331825434e-06,0.24944884474776113,0.02068498452727685,1.0576931825289464e-11,0.010341803036022189,0.9793150154720944,0.010343181491254662
16,cyclic,40.0,0.002688272819415966,0.01840217287169856,5.6875846688592135e-09,0.00012289892329923926,-9.665450002290713e-10,-9.665449465096065e-10,0.01653927143288364,1.0771908320477201e-07,0.9999999999993295,-6.70463684571132e-13,1.377488687473679e-06,0.022029073269686023,0.018402173023246628,-8.001674835952406e-05,-8.17038205649081e-05,1.6870722053833197e-06,1.3774886882360338e-06,0.2659881161806448,0.022029073269686023,1.057693182524615e-11,0.011013847890499275,0.9779709267296435,0.011015225379186748
17,zero_stress_hold,40.0,0.0027243527752834726,0.01840216609450082,3.7015306791898794e-09,3.7794735691375635e-05,-1.3754864740942096e-06,-1.3754864730194938e-06,0.016527967659607956,0.0,0.9999999999992767,-7.233103005432895e-13,2.0022133794692694e-09,0.02337035968062791,0.018402165080980255,-8.927130035892567e-08,-9.172350092625112e-08,2.4522005679366093e-09,2.002215216539982e-09,0.28251608384025273,0.02337035968062791,1.0576887789253942e-11,0.011685178839207265,0.976629640318649,0.011685180841420645
18,zero_stress_hold,40.0,0.0026770824032732415,0.018402165061259395,1.1723949935871225e-11,4.1672694871235796e-08,-3.092974621215569e-09,-3.092973460683268e-09,0.016516709592076184,0.0,0.9999999999992237,-7.762679388179095e-13,-1.0907612417462995e-09,0.024708853397634876,0.01840216505660039,-1.4304295448062513e-09,-9.452530821082878e-11,-1.3359042367415014e-09,-1.0907582441432861e-09,0.2990327934323289,0.024708853397634876,1.0576887430967455e-11,0.012354427244198059,0.9752911466015889,0.012354426153436817
19,zero_stress_hold,40.0,0.002671512219186911,0.018402165056459696,8.355642566737487e-14,4.119701435013027e-11,-6.133340363433639e-12,-6.132077484677367e-12,0.01650551675995604,0.0,0.9999999999991681,-8.318901123516298e-13,-1.096894582109733e-09,0.02604456213742913,0.018402165056426344,-1.343269359650606e-09,1.4665548202480999e-13,-1.343416013896116e-09,-1.0968903216279635e-09,0.31553831019228495,0.02604456213742913,1.0576887428407336e-11,0.013022281617161856,0.973955437861739,0.013022280520267274
20,zero_stress_hold,40.0,0.002665953657088226,0.018402165056425435,8.153200337090993e-16,2.5578025551596313e-13,7.241811316701204e-13,7.255099299108281e-13,0.016494347603002224,0.0,0.9999999999991144,-8.856249067434874e-13,-1.096170400978063e-09,0.0273774916948563,0.01840216505642512,-1.342817371384543e-09,-2.882953440420155e-13,-1.3425290767691444e-09,-1.0961648116980527e-09,0.3320326577952872,0.0273774916948563,1.057688742838848e-11,0.013688746395513351,0.9726225083042581,0.01368874529934295
21,zero_stress_hold,40.0,0.0026604066608103766,0.01840216505642519,3.400058012914542e-16,4.565268009060367e-13,7.582268146094344e-13,7.596579615354315e-13,0.016483201688372306,0.0,0.9999999999990605,-9.394707234378075e-13,-1.0954121741634535e-09,0.02870764785250145,0.018402165056425255,-1.3418973656385065e-09,-2.969237985162965e-13,-1.3416004423665998e-09,-1.0954051537365173e-09,0.3485158594836595,0.02870764785250145,1.0576887428387782e-11,0.014353824473956812,0.9712923521465591,0.014353823378544638
22,zero_stress_hold,40.0,0.0026548712060566787,0.01840216505642518,3.400058012914542e-16,4.605558562952066e-13,7.579405852377594e-13,7.593734668853713e-13,0.016472078964844816,0.0,0.9999999999990083,-9.916512055951898e-13,-1.0946542335782158e-09,0.03003503638092192,0.018402165056425255,-1.3409689968923834e-09,-2.96840340199864e-13,-1.3406721585220104e-09,-1.0946457802696319e-09,0.3649879384485043,0.03003503638092192,1.057688742838722e-11,0.015017518737788076,0.9699649636180865,0.015017517643133842
