cycle,segment,period_model,same_phase_L1,normal_mean,normal_amplitude,registry_shear_amplitude,registry_index_increment,cycle_net_transfer,cycle_gross_grid_traffic,external_work_ev_cell,raw_mass,mass_residual,mean_well_index,outside_central_mass,normal_strain,registry_shear,intrawell_shear,registry_index_shear,cumulative_net_transfer,cumulative_gross_grid_traffic,outer_well_mass,upper_normal_edge_mass,P_-1,P_+0,P_+1
1,cyclic,40.0,4.812251597291928e-14,0.018402165056425238,2.723515857283587e-16,1.8496832920617715e-14,-3.036459972349764e-14,2.3793155488373297e-17,0.011137485919802117,0.0,1.0000000000000129,1.2878587085651816e-14,-3.036459972349764e-14,0.6666666666666965,0.018402165056425394,-3.743238613706156e-14,-1.6483327583581892e-16,-3.7188887783212196e-14,2.3793155488373297e-17,0.011137485919802117,0.6666666666666965,1.0576887428397828e-11,0.33333333333336346,0.3333333333333164,0.3333333333333331
2,cyclic,40.0,4.8706876356887e-14,0.018402165056425213,3.400058012914542e-16,1.7982685918236582e-14,-2.964295475749066e-14,4.3922893479871744e-17,0.011137485919802079,0.0,1.0000000000000235,2.353672812205332e-14,-6.00075544809883e-14,0.6666666666667262,0.018402165056425255,-7.370370153832309e-14,-1.5938702698723835e-16,-7.349394459534178e-14,6.771604896824504e-17,0.022274971839604196,0.6666666666667262,1.0576887428397948e-11,0.3333333333333931,0.3333333333332973,0.3333333333333331
3,cyclic,40.0,5.130420546566302e-14,0.018402165056425192,3.400058012914542e-16,1.8233389009932816e-14,-3.0031532816108995e-14,6.520883144437231e-17,0.011137485919801918,0.0,1.0000000000000322,3.219646771412954e-14,-9.003908729709729e-14,0.6666666666667562,0.018402165056425255,-1.104764236416767e-13,-1.9729706468013017e-16,-1.1027491039189948e-13,1.3292488041261735e-16,0.033412457759406114,0.6666666666667562,1.0576887428398041e-11,0.33333333333342313,0.3333333333332761,0.3333333333333331
4,cyclic,40.0,4.989896109567254e-14,0.018402165056425245,2.723515857283587e-16,1.8322624278661062e-14,-3.014255511857078e-14,8.532162877692567e-17,0.011137485919801904,0.0,1.0000000000000426,4.263256414560601e-14,-1.2018164241566807e-13,0.6666666666667864,0.018402165056425255,-1.4739362226489942e-13,-1.9967024515782326e-16,-1.4719185018400733e-13,2.1824650918954303e-16,0.04454994367920802,0.6666666666667864,1.0576887428398145e-11,0.3333333333334533,0.3333333333332562,0.3333333333333331
5,cyclic,40.0,4.901036709772853e-14,0.018402165056425182,3.400058012914542e-16,1.7799968268215702e-14,-2.92543766988702e-14,1.048160920579834e-16,0.011137485919801904,0.0,1.0000000000000522,5.218048215738236e-14,-1.4943601911453827e-13,0.6666666666668156,0.01840216505642512,-1.832995023661192e-13,-1.99933550057005e-16,-1.830209980117062e-13,3.230626012475264e-16,0.05568742959900992,0.6666666666668156,1.0576887428398251e-11,0.33333333333348253,0.33333333333323656,0.3333333333333331
6,cyclic,40.0,4.853648794960523e-14,0.018402165056425206,3.400058012914542e-16,1.8093165048970118e-14,-2.98649993624132e-14,1.243444366569313e-16,0.011137485919801807,0.0,1.000000000000063,6.306066779870889e-14,-1.7930101847695147e-13,0.6666666666668454,0.018402165056425394,-2.1976628142338156e-13,-2.0610636741093775e-16,-2.1959800281493485e-13,4.474070379044577e-16,0.06682491551881173,0.6666666666668454,1.0576887428398366e-11,0.33333333333351234,0.3333333333332178,0.33333333333333304
7,cyclic,40.0,5.027034847737445e-14,0.018402165056425245,2.723515857283587e-16,1.811866043248551e-14,-2.975397705995033e-14,1.4654940536920277e-16,0.011137485919801904,0.0,1.0000000000000726,7.260858581048524e-14,-2.090549955369018e-13,0.6666666666668751,0.01840216505642512,-2.5626705397953123e-13,-2.0549102755727845e-16,-2.56039033622612e-13,5.939564432736605e-16,0.07796240143861363,0.6666666666668751,1.0576887428398465e-11,0.3333333333335421,0.3333333333331973,0.33333333333333304
8,cyclic,40.0,4.8324084224772056e-14,0.01840216505642519,3.400058012914542e-16,1.876879050765987e-14,-3.0864200084573924e-14,1.6721277411747143e-16,0.011137485919801904,0.0,1.000000000000086,8.593126210598712e-14,-2.3991919562147573e-13,0.666666666666906,0.01840216505642512,-2.9409358181019546e-13,-2.3833742221544773e-16,-2.9383980438579776e-13,7.611692173911319e-16,0.08909988735841554,0.666666666666906,1.05768874283986e-11,0.33333333333357296,0.3333333333331798,0.33333333333333304
9,cyclic,40.0,4.5337007153631666e-14,0.018402165056425224,3.400058012914542e-16,1.7477029769430255e-14,-2.87547763377858e-14,1.8730439562634343e-16,0.011137485919801904,0.0,1.0000000000000981,9.814371537686384e-14,-2.6867397195926153e-13,0.6666666666669347,0.018402165056425255,-3.293535843951447e-13,-2.486255700073343e-16,-3.2905706923351316e-13,9.484736130174753e-16,0.10023737327821744,0.6666666666669347,1.057688742839873e-11,0.3333333333336017,0.33333333333316334,0.33333333333333304
10,cyclic,40.0,4.6243534683871863e-14,0.018402165056425203,2.723515857283587e-16,1.777447340339732e-14,-2.930988785009762e-14,2.0857339293189892e-16,0.011137485919801765,0.0,1.0000000000001104,1.1035616864774056e-13,-2.9798385980935915e-13,0.6666666666669641,0.018402165056424984,-3.6520847476672774e-13,-2.5252288450746156e-16,-3.6495420405898287e-13,1.1570470059493743e-15,0.1113748591980192,0.6666666666669641,1.0576887428398862e-11,0.333333333333631,0.3333333333331463,0.33333333333333304
