cycle,segment,period_model,same_phase_L1,normal_mean,normal_amplitude,registry_shear_amplitude,registry_index_increment,cycle_net_transfer,cycle_gross_grid_traffic,external_work_ev_cell,raw_mass,mass_residual,mean_well_index,outside_central_mass,normal_strain,registry_shear,intrawell_shear,registry_index_shear,cumulative_net_transfer,cumulative_gross_grid_traffic,outer_well_mass,upper_normal_edge_mass,P_-2,P_-1,P_+0,P_+1,P_+2
1,cyclic,40.0,0.0031415689404247662,0.01840216505642539,3.400058012914542e-16,9.044182890326608e-17,1.546478344383921e-17,-1.6498679800186673e-17,0.01670622887966182,0.0,0.9999999999996757,-3.2429614549300823e-13,1.546478344383921e-17,0.001570784470050207,0.018402165056425394,-9.200227189977049e-17,-1.0962612919514855e-16,1.894041421002363e-17,-1.6498679800186673e-17,0.01670622887966182,5.570419199428101e-08,1.0576887428394967e-11,2.7852095997140706e-08,0.0007853643829290987,0.9984292155296255,0.0007853643829291142,2.7852095997140305e-08
2,cyclic,40.0,0.0027678112386623475,0.018402165056425362,3.400058012914542e-16,6.333899523732048e-17,5.575395851958521e-17,-1.778323173447742e-17,0.016706228698619256,0.0,0.9999999999993536,-6.463718449367661e-13,7.121874196342442e-17,0.002954649795393057,0.018402165056425255,-1.4692556016855987e-17,-1.0189620797363822e-16,8.722478896666501e-17,-3.4281911534664094e-17,0.033412457578281075,7.879345273776049e-07,1.0576887428391563e-11,3.9396726368880825e-07,0.0014769309304328041,0.9970453502039605,0.0014769309304328755,3.939672636887966e-07
3,cyclic,40.0,0.0027620431634978932,0.018402165056425373,4.0766001685454967e-16,7.544790840202624e-17,1.0204354146350446e-16,-1.7410179895660906e-17,0.016706225615602213,0.0,0.9999999999990348,-9.65227897609111e-13,1.7326228342692888e-16,0.004335622418716463,0.018402165056425255,1.0310568583365022e-16,-1.0991368330205967e-16,2.1220209303272706e-16,-5.1692091430325e-17,0.05011868319388329,2.4753450159987384e-06,1.057688742838818e-11,1.2376725079993982e-06,0.0021665735368501457,0.9956643775803183,0.002166573536850319,1.23767250799934e-06
4,cyclic,40.0,0.002756298363400076,0.01840216505642538,3.400058012914542e-16,1.0813849865922516e-16,1.5302158411942413e-16,-1.8394802757284827e-17,0.016706215543135387,0.0,0.9999999999987175,-1.2825296380469808e-12,3.26283867546353e-16,0.005713722588487522,0.018402165056425394,3.2000369628295126e-16,-7.872291302227294e-17,3.996144933952084e-16,-7.008689418760983e-17,0.06682489873701868,5.118693797357269e-06,1.0576887428384824e-11,2.5593468986787206e-06,0.002854301947344919,0.9942862774102299,0.0028543019473452457,2.5593468986785486e-06
5,cyclic,40.0,0.00275056671612723,0.018402165056425362,4.0766001685454967e-16,9.471759962043536e-17,1.8952531601445461e-16,-1.6833932793731965e-17,0.01670619752102953,0.0,0.999999999998393,-1.607047828144914e-12,5.158091835608076e-16,0.0070889569571469515,0.018402165056425664,5.112723690375203e-16,-1.2056965396846994e-16,6.317346521827819e-16,-8.692082698134179e-17,0.0835310962580482,8.714670333875254e-06,1.0576887428381409e-11,4.357335166937811e-06,0.0035401211434062797,0.9929110430412462,0.0035401211434067962,4.357335166937443e-06
6,cyclic,40.0,0.00274484831640862,0.01840216505642536,2.723515857283587e-16,1.5528323761640825e-16,2.4086567701365453e-16,-1.3778684952985704e-17,0.016706171528389435,0.0,0.9999999999980684,-1.9315660182428473e-12,7.566748605744622e-16,0.008461332149125466,0.018402165056425394,8.078973653163058e-16,-1.195858752846082e-16,9.267336547995182e-16,-1.006995119343275e-16,0.10023726778643764,1.3259964772762542e-05,1.0576887428377976e-11,6.629982386381614e-06,0.004224036092175972,0.9915386678489431,0.00422403609217673,6.629982386380928e-06
7,cyclic,40.0,0.0027391431332053472,0.01840216505642536,3.400058012914542e-16,1.9426344990035207e-16,2.9962604663086266e-16,-1.5315202719305004e-17,0.01670613759194675,0.0,0.9999999999977496,-2.2504220709151923e-12,1.0563009072053248e-15,0.00983085477272608,0.018402165056425255,1.205729736461733e-15,-8.802585570638174e-17,1.2936991187460043e-15,-1.160147146536325e-16,0.1169434053783844,1.8751276422352175e-05,1.057688742837459e-11,9.375638211176667e-06,0.004906051748151334,0.9901691452250234,0.004906051748152392,9.37563821117551e-06
8,cyclic,40.0,0.0027334511344569937,0.01840216505642537,2.723515857283587e-16,1.8905577046250888e-16,3.281303993721306e-16,-1.4077687583366472e-17,0.01670609573929864,0.0,0.9999999999974294,-2.5706103912170875e-12,1.3844313065774554e-15,0.0111975314202101,0.018402165056425255,1.586232353001656e-15,-1.1042058251470181e-16,1.6955751425246952e-15,-1.3009240223699897e-16,0.13364950111768303,2.5185313754332204e-05,1.05768874283712e-11,1.2592656877166997e-05,0.00558617305322719,0.9888024685772192,0.005586173053228578,1.2592656877165208e-05
9,cyclic,40.0,0.0027277722881553614,0.018402165056425366,4.0766001685454967e-16,2.378697496633884e-16,3.741852747805893e-16,-2.0808211382249142e-17,0.016706045997978453,0.0,0.9999999999971066,-2.8933522244756205e-12,1.7586165813580447e-15,0.01256136866783723,0.018402165056425394,2.0594793709360637e-15,-9.328268193425804e-17,2.1538566387624745e-15,-1.5090061361924811e-16,0.1503555471156615,3.255879438005466e-05,1.0576887428367799e-11,1.627939719002864e-05,0.006264404936727705,0.9874386313292693,0.0062644049367294695,1.6279397190026018e-05
10,cyclic,40.0,0.002722106562370938,0.018402165056425383,3.400058012914542e-16,2.4041513841807825e-16,4.2116511016749015e-16,-1.3068024310239346e-17,0.01670598839544274,0.0,0.9999999999967858,-3.2142066785922907e-12,2.179781691525535e-15,0.013922373075905088,0.01840216505642553,2.54048457922212e-15,-1.3026013011304164e-16,2.669676447449182e-15,-1.6396863792948746e-16,0.16706153551110423,4.086844502675659e-05,1.0576887428364398e-11,2.043422251338016e-05,0.006940752315438071,0.9860776269208809,0.006940752315440259,2.043422251337643e-05
