cycle,segment,period_model,same_phase_L1,normal_mean,normal_amplitude,registry_shear_amplitude,registry_index_increment,cycle_net_transfer,cycle_gross_grid_traffic,external_work_ev_cell,raw_mass,mass_residual,mean_well_index,outside_central_mass,normal_strain,registry_shear,intrawell_shear,registry_index_shear,cumulative_net_transfer,cumulative_gross_grid_traffic,outer_well_mass,upper_normal_edge_mass,P_-1,P_+0,P_+1
1,cyclic,40.0,0.003138256408624968,0.018402165056376256,4.0766001685454967e-16,6.888298330533683e-16,-3.4694469519534578e-18,5.0198560586078855e-17,0.02481132146206445,0.0,1.000000000000045,4.5075054799781356e-14,-3.4694469519534578e-18,0.001569128204334966,0.018402165056376034,1.3234599638205011e-15,1.3259126350163446e-15,-4.2491873609701784e-18,5.0198560586078855e-17,0.02481132146206445,0.001569128204334966,6.7793531646007164e-12,0.0007845641021674847,0.9984308717957102,0.0007845641021674813
2,cyclic,40.0,0.0027638077493389907,0.018402165056376246,4.0766001685454967e-16,2.86938151031183e-17,-4.770489558935576e-18,6.537739100087592e-17,0.024800939942252017,0.0,1.000000000000097,9.703349235223868e-14,-8.239936510889034e-18,0.0029509913941714884,0.018402165056376443,1.2914576879710447e-15,1.3003109180766913e-15,-1.009181998230365e-17,1.1557595158695477e-16,0.04961226140431647,0.0029509913941714884,6.7793531646010654e-12,0.0014754956970857483,0.9970490086059256,0.00147549569708574
3,cyclic,40.0,0.0027580586341881446,0.018402165056376242,3.400058012914542e-16,4.43860349799824e-17,-1.8214596497753498e-17,6.266688556966216e-17,0.02478404983109638,0.0,1.0000000000001428,1.4277468096679513e-13,-2.645453300864253e-17,0.004329971883410893,0.01840216505637617,1.3084980730211566e-15,1.339794074488172e-15,-3.2400053627394446e-17,1.7824283715661693e-16,0.07439631123541285,0.004329971883410893,6.779353164601365e-12,0.0021649859417054596,0.9956700281167319,0.002164985941705433
4,cyclic,40.0,0.0027523284230014625,0.01840216505637625,4.0766001685454967e-16,5.452781222029686e-17,-2.3418766925681263e-17,6.461844948013606e-17,0.024766926626428293,0.0,1.0000000000001887,1.887379141862766e-13,-4.9873299934323793e-17,0.005706087298583306,0.018402165056376305,1.2502211323009239e-15,1.3108982907169542e-15,-6.108206831393754e-17,2.42861286636753e-16,0.09916323786184114,0.005706087298583306,6.779353164601694e-12,0.0028530436492916777,0.9942939127016055,0.002853043649291628
5,cyclic,40.0,0.002746610000715764,0.01840216505637625,4.753142324176451e-16,4.144756916284341e-17,-3.4260788650531124e-17,6.635317295611287e-17,0.02474983648679796,0.0,1.0000000000002405,2.404743071338089e-13,-8.413408858485492e-17,0.007079343603447104,0.01840216505637617,1.2094931616171174e-15,1.3128969700624252e-15,-1.030427935035067e-16,3.0921445959286586e-16,0.1239130743486391,0.007079343603447104,6.779353164602031e-12,0.003539671801723594,0.9929206563967932,0.00353967180172351
6,cyclic,40.0,0.0027409034584229158,0.01840216505637623,4.0766001685454967e-16,3.971757622515347e-17,-2.775557561561564e-17,5.941427905220564e-17,0.024732781834990836,0.0,1.0000000000002993,2.993161274389422e-13,-1.1188966420047056e-16,0.008449746738336927,0.018402165056376305,1.182026849186031e-15,1.316839346592749e-15,-1.3703629239125339e-16,3.686287386450715e-16,0.14864585618362994,0.008449746738336927,6.7793531646024185e-12,0.004224873369168519,0.9915502532619624,0.004224873369168407
7,cyclic,40.0,0.002735208772430409,0.01840216505637624,4.753142324176451e-16,3.7836738951546304e-17,5.204170427934797e-18,5.898059818321144e-17,0.02471576261692543,0.0,1.000000000000355,3.5504932327512506e-13,-1.0668549377253576e-16,0.009817302631191658,0.0184021650563759,1.1990285262763164e-15,1.330723898262404e-15,-1.3066251134979249e-16,4.2760933682828295e-16,0.17336161880055537,0.009817302631191658,6.779353164602801e-12,0.004908651315595882,0.9901826973691632,0.004908651315595775
8,cyclic,40.0,0.0027295259181016013,0.018402165056376235,4.0766001685454967e-16,4.767044103094098e-17,-3.729655473348061e-17,6.678685382510707e-17,0.02469877875913451,0.0,1.0000000000004072,4.072298054325074e-13,-1.4398204850601637e-16,0.011182017197633539,0.018402165056376305,1.1953906264280906e-15,1.3712279203812381e-15,-1.7634127548019855e-16,4.9439619065339e-16,0.19806039755968988,0.011182017197633539,6.77935316460316e-12,0.005591008598816841,0.9888179828027737,0.005591008598816697
9,cyclic,40.0,0.0027238548708521373,0.01840216505637624,4.0766001685454967e-16,7.849727868353915e-17,-7.28583859909851e-17,6.852157730108388e-17,0.02468183018815276,0.0,1.0000000000004585,4.585221091701897e-13,-2.1684043449700147e-16,0.012543896340994025,0.018402165056376443,1.0584585278247779e-15,1.3256964669454e-15,-2.6557421006052636e-16,5.629177679544739e-16,0.22274222774784264,0.012543896340994025,6.77935316460351e-12,0.006271948170497121,0.9874561036594646,0.006271948170496904
10,cyclic,40.0,0.0027181956061506497,0.018402165056376242,3.400058012914542e-16,7.481327940584005e-17,-1.110223024624473e-16,8.153200337090993e-17,0.02466491683066585,0.0,1.0000000000005118,5.118128143521972e-13,-3.2786273695944876e-16,0.013902945952339466,0.018402165056376305,9.35733223035735e-16,1.3350519928042288e-15,-4.0154820561149447e-16,6.444497713253838e-16,0.2474071445785085,0.013902945952339466,6.779353164603866e-12,0.006951472976169897,0.9860970540481722,0.006951472976169569
11,cyclic,40.0,0.0027125480995220438,0.018402165056376225,4.0766001685454967e-16,9.375158639859764e-17,-1.1188966420042394e-16,5.724587470723463e-17,0.02464803861351178,0.0,1.0000000000005638,5.637712519046545e-13,-4.397524011598727e-16,0.015259171910496555,0.01840216505637617,7.533009226493355e-16,1.2919616046600391e-15,-5.385844980026908e-16,7.016956460326185e-16,0.27205518319202027,0.015259171910496555,6.779353164604223e-12,0.007629585955248497,0.9847408280900671,0.007629585955248057
12,cyclic,40.0,0.0027069123265343995,0.01840216505637625,4.0766001685454967e-16,1.1332967696502364e-16,-1.084202172484615e-16,6.852157730108388e-17,0.024631195463681088,0.0,1.0000000000006144,6.143974218275616e-13,-5.481726184083342e-16,0.01661258008207764,0.018402165056376443,5.451929906262486e-16,1.2168206367635319e-15,-6.713716030329059e-16,7.7021722333370235e-16,0.29668637865570135,0.01661258008207764,6.77935316460457e-12,0.008306290041039095,0.9833874199185368,0.008306290041038547
13,cyclic,40.0,0.0027012882628098104,0.018402165056376246,4.0766001685454967e-16,6.397699578095588e-17,-8.673617379875595e-17,6.245004513516506e-17,0.024614387308314445,0.0,1.0000000000006635,6.634692795159935e-13,-6.349087922070901e-16,0.017963176321506333,0.018402165056376443,4.912953660364761e-16,1.2678800666581038e-15,-7.776012870570617e-16,8.326672684688674e-16,0.3213007659640158,0.017963176321506333,6.779353164604907e-12,0.008981588160753484,0.9820368236791571,0.008981588160752849
14,cyclic,40.0,0.002695675884015152,0.018402165056376214,4.0766001685454967e-16,9.2567265470601e-17,-1.3877787807801263e-16,5.377642775528102e-17,0.02459761407470601,0.0,1.000000000000715,7.149836278586008e-13,-7.736866702851028e-16,0.01931096647104263,0.018402165056376305,3.52093113669356e-16,1.2963432549385735e-15,-9.47568781495715e-16,8.864436962241484e-16,0.3458983800387218,0.01931096647104263,6.779353164605245e-12,0.009655483235521702,0.9806890335296725,0.009655483235520929
15,cyclic,40.0,0.0026900751658763327,0.018402165056376242,4.0766001685454967e-16,8.083402051224974e-17,-1.1622647289031374e-16,8.153200337090993e-17,0.02458087569029993,0.0,1.0000000000007703,7.702727344849336e-13,-8.899131431754165e-16,0.020655956360808303,0.01840216505637617,1.8845719108979147e-16,1.2804779190604426e-15,-1.0899165580880603e-15,9.679756995950584e-16,0.37047925572902174,0.020655956360808303,6.779353164605623e-12,0.010327978180404596,0.979344043639962,0.010327978180403706
16,cyclic,40.0,0.002684486084175117,0.018402165056376235,4.753142324176451e-16,5.669260512200608e-17,3.295974604357787e-17,7.28583859910259e-17,0.024564172082690905,0.0,1.0000000000008216,8.215650382226158e-13,-8.569533971318386e-16,0.021998151808811945,0.018402165056376305,2.8332378717837253e-16,1.332125554334314e-15,-1.0495492781588192e-15,1.0408340855860843e-15,0.39504342781171264,0.021998151808811945,6.779353164605973e-12,0.010999075904406401,0.9780018481920096,0.010999075904405544
17,zero_stress_hold,40.0,0.0026789086147261483,0.018402165056376242,5.429684479807406e-16,6.993957769148018e-17,-5.898059818311875e-17,7.979727989493313e-17,0.024547503179624286,0.0,1.00000000000087,8.699707620962727e-13,-9.159339953149574e-16,0.02333755862097449,0.018402165056376305,1.9232870028335605e-16,1.3114272995002122e-15,-1.1217854632952018e-15,1.1206313654810174e-15,0.41959093099133693,0.02333755862097449,6.779353164606305e-12,0.011668779310487702,0.9766624413798957,0.011668779310486786
