cycle,segment,period_model,same_phase_L1,normal_mean,normal_amplitude,registry_shear_amplitude,registry_index_increment,cycle_net_transfer,cycle_gross_grid_traffic,external_work_ev_cell,raw_mass,mass_residual,mean_well_index,outside_central_mass,normal_strain,registry_shear,intrawell_shear,registry_index_shear,cumulative_net_transfer,cumulative_gross_grid_traffic,outer_well_mass,upper_normal_edge_mass,P_-1,P_+0,P_+1
1,cyclic,4.0,0.0005858487063774473,0.01840216505642521,4.0766001685454967e-16,6.923855514290891e-17,4.851804721872613e-18,2.8731357570865868e-18,0.0016706228879703592,0.0,1.000000000000004,3.9968028886505635e-15,4.851804721872613e-18,0.0002929243531906076,0.01840216505642512,-2.6407646488183823e-17,-3.2435001014904484e-17,5.942222950106978e-18,2.8731357570865868e-18,0.0016706228879703592,0.0002929243531906076,1.0576887428397784e-11,0.00014646217659530138,0.9997070756468134,0.00014646217659530623
2,cyclic,4.0,0.00031658570681251073,0.01840216505642519,3.400058012914542e-16,2.7535040131868983e-17,8.375461782450454e-18,2.9815559743351372e-18,0.001670622887968781,0.0,1.0000000000000067,6.661338147750939e-15,1.3227266504323066e-17,0.00045121720659826314,0.018402165056425255,1.4714730425987198e-17,-2.3083430240671706e-18,1.6200026813699426e-17,5.854691731421724e-18,0.0033412457759391403,0.00045121720659826314,1.0576887428397796e-11,0.00022560860329912496,0.9995487827934085,0.00022560860329913818
3,cyclic,4.0,0.00029028827580401654,0.0184021650564252,3.400058012914542e-16,4.702148295761516e-17,8.836247705756773e-18,2.4936649967166602e-18,0.0016706228857024997,0.0,1.000000000000008,7.993605777301127e-15,2.206351421007984e-17,0.0005963613445009207,0.018402165056425255,1.0687818823544652e-16,7.944948152752768e-17,2.702217587367073e-17,8.348356728138384e-18,0.00501186866164164,0.0005963613445009207,1.0576887428397804e-11,0.00029818067225044937,0.999403638655507,0.00029818067225047143
4,cyclic,4.0,0.00028222789770319983,0.01840216505642516,4.0766001685454967e-16,5.894133010751e-17,8.348356728138301e-18,2.2768245622195593e-18,0.0016706227586185413,0.0,1.0000000000000084,8.43769498715119e-15,3.041187093821814e-17,0.0007374752933527083,0.01840216505642512,2.0893117317189072e-16,1.7132609844213629e-16,3.724678296100558e-17,1.0625181290357943e-17,0.006682491420260181,0.0007374752933527083,1.0576887428397815e-11,0.00036873764667633895,0.9992625247066557,0.00036873764667636936
5,cyclic,4.0,0.00027928133412235466,0.01840216505642519,4.0766001685454967e-16,3.400523446686907e-17,8.565197162635294e-18,2.4936649967166602e-18,0.0016706212972953573,0.0,1.0000000000000115,1.1546319456101628e-14,3.8977068100853435e-17,0.0008771159604154264,0.01840216505642512,2.248775558669963e-16,1.7673153211365575e-16,4.7736964258400945e-17,1.3118846287074604e-17,0.008353112717555539,0.0008771159604154264,1.0576887428397825e-11,0.00043855798020769367,0.999122884039596,0.00043855798020773264
6,cyclic,4.0,0.000278102001569439,0.018402165056425224,3.400058012914542e-16,3.5194677553676124e-17,8.510987054010976e-18,2.4936649967166602e-18,0.0016706145247864547,0.0,1.0000000000000144,1.4432899320127035e-14,4.748805515486441e-17,0.0010161669612015313,0.018402165056424984,2.866725768210383e-16,2.2903065412168915e-16,5.81607520032811e-17,1.5612511283791264e-17,0.010023727242341993,0.0010161669612015313,1.057688742839785e-11,0.0005080834806007419,0.9989838330388127,0.0005080834806007894
7,cyclic,4.0,0.00027759096861389767,0.018402165056425227,3.400058012914542e-16,4.0396197433535604e-17,7.806255641895373e-18,2.927345865710862e-18,0.0016705964428745182,0.0,1.000000000000017,1.709743457922741e-14,5.5294310796759783e-17,0.001154962445509929,0.018402165056425255,3.325973342505332e-16,2.651115948290072e-16,6.772142356546412e-17,1.8539857149502126e-17,0.011694323685216512,0.001154962445509929,1.0576887428397873e-11,0.0005774812227549368,0.9988450375545072,0.0005774812227549921
8,cyclic,4.0,0.00027734525911364365,0.018402165056425196,3.400058012914542e-16,2.3706583007491347e-17,8.239936510889495e-18,2.6020852139652106e-18,0.0016705622080265582,0.0,1.0000000000000202,2.020605904817785e-14,6.353424730764928e-17,0.0012936350750683097,0.018402165056425255,2.8870925091440205e-16,2.1022532874630485e-16,7.781324354776833e-17,2.1141942363467336e-17,0.01336488589324307,0.0012936350750683097,1.0576887428397902e-11,0.0006468175375341231,0.9987063649249519,0.0006468175375341866
9,cyclic,4.0,0.0002772086427759288,0.01840216505642519,4.0766001685454967e-16,2.3186781141754775e-17,7.589415207398174e-18,3.0357660829594124e-18,0.0016705101478654734,0.0,1.000000000000023,2.3092638912203256e-14,7.112366251504745e-17,0.0014322391270887433,0.01840216505642512,2.713579702740818e-16,1.8355139483607038e-16,8.710834089989058e-17,2.417770844642675e-17,0.015035396041108543,0.0014322391270887433,1.0576887428397928e-11,0.0007161195635443361,0.9985677608729344,0.0007161195635444072
10,cyclic,4.0,0.0002771192901724416,0.01840216505642515,4.0766001685454967e-16,3.7677563002910374e-17,8.348356728137928e-18,3.0357660829594124e-18,0.001670441497489572,0.0,1.0000000000000264,2.6423307986078726e-14,7.947201924318538e-17,0.001570797279171934,0.018402165056425394,2.22687735708158e-16,1.2521623008252982e-16,9.733294798722497e-17,2.721347452938616e-17,0.016705837538598115,0.001570797279171934,1.0576887428397957e-11,0.0007853986395859273,0.9984292027208548,0.0007853986395860067
