run,case,period_model,grid_a,grid_s,grid_ds,steps_per_cycle,wells,integrator,upper_a_over_h,driven_cycles,hold_cycles,central_initial,matched_zero_available,end_outside_mass,zero_end_outside_mass,excess_outside_mass,end_mean_n,excess_mean_n,final_hold_mean_n,hold_excess_mean_n,hold_intrawell_shear,cumulative_net_transfer,cumulative_gross_grid_traffic,last_cycle_net_transfer,last_cycle_gross_grid_traffic,last_cycle_external_work_ev,cycle1_external_work_ev,last_cycle_normal_amplitude,last_cycle_normal_phase_deg,last_cycle_registry_amplitude,last_cycle_registry_phase_deg,last_cycle_distribution_L1_change,mass_residual,well_balance,registry_balance,numerical_repair,upper_normal_edge_mass,outer_well_mass,crack_status,physical_plasticity_status,end_driven_vs_zero_L1,hold_driven_vs_zero_L1,last_cycle_excess_distribution_change_L1
axial10_p40_a31_s25_w3_dt128_upper2,axial10,40.0,31,75,0.040000000000000036,128,3,implicit,2.0,16,8,True,True,0.022189692865439252,0.022189194448631856,4.984168073957074e-07,1.8351869348397701e-06,1.8351869337312818e-06,1.0053807504926658e-07,1.0053807222166731e-07,2.736500623079869e-11,1.835186935503913e-06,0.13789862240767148,5.011846342453663e-09,0.008574103479687761,1.7320355216023347e-07,1.47248210202974e-07,4.196815208343162e-05,-3.6366622226475918,0.00015155647728598744,-43.187939618640506,0.0027078973360382713,6.601386104421181e-13,1.0363651397563706e-15,1.2043114444061642e-17,0.0,2.3707655781639908e-11,0.022189692865439252,not evaluated in reflecting diagnostic,not validated: one-cell thermal normalization and material gates unresolved,0.0007696341859878897,4.351750283047454e-07,2.091796002230106e-06
axial10_p40_a61_s49_w3_dt128_upper2,axial10,40.0,61,147,0.020408163265306145,128,3,implicit,2.0,16,8,True,True,0.0220294436908572,0.022028949544643125,4.94146214075758e-07,1.8231708120898164e-06,1.8231708197677025e-06,1.007093555008648e-07,1.0070937379178914e-07,2.727013740688712e-11,1.8231708133111674e-06,0.26599466141985506,5.039470991549666e-09,0.016539337564495604,1.7255099177899562e-07,1.4676210662245846e-07,4.200894765180459e-05,-3.5542129266192153,0.00015362205561818095,-42.29578893501539,0.002688281453905922,3.693712002927896e-13,2.1084852342822397e-15,2.2697941887573486e-17,0.0,1.0546956419919814e-11,0.0220294436908572,not evaluated in reflecting diagnostic,not validated: one-cell thermal normalization and material gates unresolved,0.000770826520332847,4.337707501155112e-07,2.077702464780721e-06
axial10_p4_a31_s25_w3_dt128_upper2,axial10,4.0,31,75,0.040000000000000036,128,3,implicit,2.0,16,8,True,True,0.0024164537977444554,0.0024164061073970186,4.769034743674905e-08,2.10610799267352e-07,2.1061079924024694e-07,3.3745159951955836e-09,3.3745159093267716e-09,-9.493213246146716e-08,2.1061079929812938e-07,0.013856475572554598,2.764591550477591e-11,0.000865717749939347,4.6564923804120556e-08,4.5469976175375785e-08,3.983782912731761e-05,-7.779282523029739,2.3368121654206752e-05,-83.3120191421432,0.0002788336586959962,1.963984530561902e-13,5.360560238564351e-16,8.648206391466406e-19,0.0,2.348566862497742e-11,0.0024164537977444554,not evaluated in reflecting diagnostic,not validated: one-cell thermal normalization and material gates unresolved,0.0002150269269201257,8.473286620069167e-07,5.455248142272792e-08
axial20_p40_a31_s25_w3_dt128_upper2,axial20,40.0,31,75,0.040000000000000036,128,3,implicit,2.0,16,8,True,True,0.022190605522011523,0.022189194448631856,1.4110733796666997e-06,3.872722594241399e-06,3.872722593132911e-06,4.049337323026379e-07,4.049337294750386e-07,1.1021879663414092e-10,3.872722594668379e-06,0.13790575540488054,2.2499551173560395e-08,0.008574372897006188,6.928150506039113e-07,5.890440491001451e-07,8.393635483876145e-05,-3.6366915234453048,0.00030310944221425195,-43.188586966345966,0.0027079702066116996,9.070522111187529e-13,1.997259643912383e-15,1.3056165848977785e-17,0.0,2.3641233883658465e-11,0.022190605522011523,not evaluated in reflecting diagnostic,not validated: one-cell thermal normalization and material gates unresolved,0.0015387808135226154,1.6973134078116592e-06,4.19245481610736e-06
axial20_p40_a61_s49_w3_dt128_upper2,axial20,40.0,61,147,0.020408163265306145,128,3,implicit,2.0,16,8,True,True,0.022030351038862226,0.022028949544643125,1.4014942191012403e-06,3.848971510266099e-06,3.848971517943985e-06,4.0555842292814004e-07,4.0555844121906437e-07,1.0981876063197473e-10,3.84897151143454e-06,0.26600853625699705,2.2574450678561342e-08,0.016539861618359908,6.902048304948675e-07,5.870989368788039e-07,8.401794657238633e-05,-3.5542426529084783,0.0003072405439480418,-42.296419098814404,0.0026883541896034337,6.227240945122503e-13,2.5309717158455286e-15,2.5215323806813267e-17,0.0,1.0517273185181824e-11,0.022030351038862226,not evaluated in reflecting diagnostic,not validated: one-cell thermal normalization and material gates unresolved,0.0015412998129060126,1.6926195497038687e-06,4.159568002893766e-06
axial20_p4_a31_s25_w3_dt128_upper2,axial20,4.0,31,75,0.040000000000000036,128,3,implicit,2.0,16,8,True,True,0.0024165034917053487,0.0024164061073970186,9.738430833006878e-08,4.219979046025405e-07,4.2199790457543545e-07,7.679097070464529e-09,7.679096984595717e-09,-1.898362471365794e-07,4.2199790462223163e-07,0.013856784040006375,1.0895053218981654e-10,0.0008657192134504475,1.8625971968401356e-07,1.8188737647656838e-07,7.967567662627417e-05,-7.779285548466725,4.6736241164871074e-05,-83.31204517467374,0.00027883405808879386,2.2526425169644426e-13,5.446027980524678e-16,8.97007891142304e-19,0.0,2.3200396825376522e-11,0.0024165034917053487,not evaluated in reflecting diagnostic,not validated: one-cell thermal normalization and material gates unresolved,0.0004300127637392734,1.6947149352992863e-06,1.0912621221859404e-07
axial30_p0.05_a31_s25_w3_dt128_upper2_c2_h0,axial30,0.05,31,75,0.040000000000000036,128,3,implicit,2.0,2,0,True,True,2.0068593630124507e-05,2.0068575260278992e-05,1.8369845514252647e-11,3.633781538778909e-11,3.633781536576623e-11,3.633781538778909e-11,3.633781536576623e-11,-1.7024948089065632e-08,3.633781538778908e-11,2.1653141702243327e-05,1.8215797022963606e-11,1.0826573124959186e-05,7.852556181490896e-08,7.732739443316001e-08,1.5566589972060923e-05,-77.86894113405052,8.868795415893126e-07,-89.7367571190938,8.448753825410614e-05,4.440892098500626e-16,3.3240075567920086e-16,8.443859692941307e-21,0.0,2.3769659585553513e-11,2.0068593630124507e-05,not evaluated in reflecting diagnostic,not validated: one-cell thermal normalization and material gates unresolved,0.00023948592815972448,0.00023948592815972448,6.522945861253935e-05
axial30_p0.05_a31_s25_w3_dt128_upper2_c2_h0_explicit,axial30,0.05,31,75,0.040000000000000036,128,3,explicit,2.0,2,0,True,True,2.0074889949107353e-05,2.0074871635178983e-05,1.8313928369965374e-11,3.633592537268068e-11,3.6335925370986615e-11,3.633592537268068e-11,3.6335925370986615e-11,-1.7031502687781108e-08,3.6335925360822226e-11,2.165314163616254e-05,1.821478991518888e-11,1.0826573108266457e-05,7.88137936742649e-08,7.759785704882322e-08,1.56288980765103e-05,-77.83633922149865,8.86921597923571e-07,-89.73664771749708,8.464812352378234e-05,4.440892098500626e-16,3.826117835314721e-16,6.172757772994542e-21,0.0,2.3769622298306287e-11,2.0074889949107353e-05,not evaluated in reflecting diagnostic,not validated: one-cell thermal normalization and material gates unresolved,0.00024089667683859168,0.00024089667683859168,6.538458736049224e-05
axial30_p0.05_a31_s25_w3_dt64_upper2_c2_h0,axial30,0.05,31,75,0.040000000000000036,64,3,implicit,2.0,2,0,True,True,2.006335311453772e-05,2.006333469521401e-05,1.8419323710586535e-11,3.635034495325479e-11,3.63503450023827e-11,3.635034495325479e-11,3.63503450023827e-11,-1.702467018632448e-08,3.6350344985442004e-11,2.16531417604734e-05,1.822212724830898e-11,1.0826573141311223e-05,7.828828433587434e-08,7.710385941587009e-08,1.5547166084555155e-05,-77.92471945695351,8.871765244532852e-07,-89.73702486511891,8.437374952960588e-05,9.992007221626409e-16,3.3034660813788057e-16,8.576208590949791e-21,0.0,2.3769688491407723e-11,2.006335311453772e-05,not evaluated in reflecting diagnostic,not validated: one-cell thermal normalization and material gates unresolved,0.00023839930873794955,0.00023839930873794955,6.512022594367062e-05
axial30_p0.05_a31_s25_w3_dt64_upper2_c2_h0_explicit,axial30,0.05,31,75,0.040000000000000036,64,3,explicit,2.0,2,0,True,True,2.0075006630190053e-05,2.0074988314024184e-05,1.831616586848192e-11,3.6346838936502333e-11,3.63468389381964e-11,3.6346838936502333e-11,3.63468389381964e-11,-1.703677035701022e-08,3.6346838931420136e-11,2.165314163846638e-05,1.822025967787962e-11,1.0826573110430398e-05,7.88196856314133e-08,7.760262819168126e-08,1.5662177396283478e-05,-77.86477290759208,8.87254423357323e-07,-89.73682356819046,8.467169370570088e-05,4.440892098500626e-16,3.4904147231673024e-16,6.511565782017434e-21,0.0,2.3769619788438354e-11,2.0075006630190053e-05,not evaluated in reflecting diagnostic,not validated: one-cell thermal normalization and material gates unresolved,0.00024099963000732445,0.00024099963000732445,6.540806938095703e-05
