candidate,protocol,traction_step_GPa,step,normal_traction_GPa,shear_traction_GPa,status,force_residual_ev_coordinate,substeps,a,s,energy_ev_cell,loaded_energy_ev_cell,min_hessian_eigenvalue,normal_strain,slip_over_period,a_error_angstrom,s_error_angstrom
angular_monotone_opening,normal,0.2,0,0.0,0.0,stable_local_equilibrium,5.57124027183705e-15,1,0.8164965809270465,-3.17911157653278e-17,2.2134694413818707e-15,2.2134694413818707e-15,4.945211215251898,-8.322968267679883e-13,-3.17911157653278e-17,0.0,0.0
angular_monotone_opening,normal,0.2,1,0.05,0.0,stable_local_equilibrium,1.820071870994866e-14,1,0.8167742880713811,-2.327058505807986e-17,8.819639645769507e-07,-8.808130135984425e-07,4.931913237369909,0.00034012039994032756,-2.327058505807986e-17,0.0,0.0
angular_monotone_opening,normal,0.2,2,0.15,0.0,stable_local_equilibrium,1.3912482277333993e-15,1,0.8173329898720618,1.628028112699133e-17,7.979471856399068e-06,-7.94812451735349e-06,4.9053118953175625,0.001024387564961308,1.628028112699133e-17,6.358874457669288e-16,-1.1731964829771995e-16
angular_monotone_opening,normal,0.2,3,0.4,0.0,stable_local_equilibrium,3.4208746946262636e-15,2,0.8187493767040741,6.61535842824996e-17,5.750333744694495e-05,-5.6895636344234376e-05,4.838772934527076,0.0027591000733749333,6.61535842824996e-17,-9.53831168650393e-16,2.1097053985516482e-16
angular_monotone_opening,normal,0.2,4,1.0,0.0,stable_local_equilibrium,3.83026943495679e-15,3,0.8222698979273894,-1.3861252446111908e-17,0.00037148282170977945,-0.0003614526124147754,4.678809342541733,0.007070840386255534,-1.3861252446111908e-17,-6.358874457669288e-16,-2.3448561508756937e-16
angular_monotone_opening,normal,0.2,5,2.0,0.0,stable_local_equilibrium,2.4424906541753444e-15,5,0.8285654749018383,-3.405648878618307e-17,0.0015764170936081383,-0.0014879287737104372,4.410908948124237,0.014781315998162844,-3.405648878618307e-17,-3.179437228834644e-16,-2.9982476645799914e-16
angular_monotone_opening,normal,0.2,6,4.0,0.0,stable_local_equilibrium,5.10702591327572e-15,10,0.8432457759093176,-2.189695658654175e-17,0.007235985762367796,-0.00634749343162656,3.865638954348267,0.0327609393675579,-2.189695658654175e-17,-3.179437228834644e-16,-2.1219553961618973e-16
angular_monotone_opening,normal,0.1,0,0.0,0.0,stable_local_equilibrium,5.57124027183705e-15,1,0.8164965809270465,-3.17911157653278e-17,2.2134694413818707e-15,2.2134694413818707e-15,4.945211215251898,-8.322968267679883e-13,-3.17911157653278e-17,0.0,0.0
angular_monotone_opening,normal,0.1,1,0.05,0.0,stable_local_equilibrium,1.820071870994866e-14,1,0.8167742880713811,-2.327058505807986e-17,8.819639645769507e-07,-8.808130135984425e-07,4.931913237369909,0.00034012039994032756,-2.327058505807986e-17,0.0,0.0
angular_monotone_opening,normal,0.1,2,0.15,0.0,stable_local_equilibrium,1.3912482277333993e-15,1,0.8173329898720618,1.628028112699133e-17,7.979471856399068e-06,-7.94812451735349e-06,4.9053118953175625,0.001024387564961308,1.628028112699133e-17,6.358874457669288e-16,-1.1731964829771995e-16
