size,step,rings,energy_change_ev,maximum_force_change,stress_change_mpa
24,0,4,2.2085888673473164e-10,3.58249037069596e-10,-5.171019212290733e-09
24,4,4,2.2026469537195226e-10,3.5887076336097074e-10,-3.838322565272001e-09
32,0,4,2.2430501900316813e-10,3.546523881650012e-10,-2.9794364977041262e-09
32,4,4,2.2374102570665855e-10,3.567637523693153e-10,-1.5167944071011903e-09
48,0,4,2.2639135011104372e-10,3.50547768072632e-10,-1.2180442106981886e-09
48,4,4,2.2613955152905874e-10,3.536967081331073e-10,3.662147363291882e-10
24,0,6,0.0,1.22033471093808e-20,-4.848909609504673e-18
24,4,6,0.0,1.2639720425419468e-20,0.0
32,0,6,0.0,1.1547068150612337e-20,-4.630099672165922e-18
32,4,6,0.0,1.1569137878654877e-20,0.0
48,0,6,0.0,1.1462660387163374e-20,-2.713359317328478e-18
48,4,6,0.0,1.1476569279721644e-20,0.0
24,0,8,-1.2434497875801753e-14,2.701843363906616e-15,-3.3471244365356655e-13
24,4,8,-1.5987211554602254e-14,2.5367729174773505e-15,1.1156919824798569e-13
32,0,8,1.7763568394002505e-15,2.34347942035904e-15,-1.4434728033300365e-13
32,4,8,-1.7763568394002505e-15,2.5534861462230203e-15,-6.694151894879142e-14
48,0,8,-3.9968028886505635e-15,2.658917627040414e-15,-4.211764367454633e-13
48,4,8,4.440892098500626e-16,2.2417234896004978e-15,-7.437946549865712e-14
