d_over_b,domain_over_d,cells,dx_over_b,d_nm,width_over_b,balance_shear_MPa,far_field_periodic_MPa,far_field_isolated_MPa,energy_eV_per_L0_line,elastic_eV_per_L0_line,misfit_eV_per_L0_line,width_stationarity,full_euler_residual_MPa,spectral_q90_b,elastic_series_error,optimizer_success,width_interior,activation_energy_eV,physical_core_certified,status
32.0,8.0,4096,0.0625,9.164103884177655,0.2779773779936161,112.2174155199271,112.20056557958878,118.3476054182699,2.7909287181252025,2.2357008622436814,0.555227855881521,-5.716808117606914e-09,1335.7849334203981,1.227184630308513,-1.509903313490213e-14,True,True,,False,"pre-existing screw dipole; restricted trial-family force, NOT nucleation barrier"
128.0,8.0,16384,0.0625,36.65641553671062,0.2778911107062664,28.05040423329581,28.050141394897196,29.586901354567473,3.560576810837311,3.005411404407459,0.5551654064298518,4.3584845801655986e-08,1193.4878284938725,0.9203884727313847,-1.2434497875801753e-14,True,True,,False,"pre-existing screw dipole; restricted trial-family force, NOT nucleation barrier"
512.0,8.0,65536,0.0625,146.62566214684247,0.277885713191843,7.012539457790648,7.012535348724299,7.396725338641868,4.330195652994737,3.7750341674760515,0.5551614855186862,-4.532493447921158e-08,1157.878333597015,0.7439806821245359,-1.4654943925052066e-14,True,True,,False,"pre-existing screw dipole; restricted trial-family force, NOT nucleation barrier"
1024.0,8.0,131072,0.0625,293.25132429368495,0.2778854506791707,3.506268189053124,3.5062676743621495,3.698362669320934,4.7150041974797094,4.159842893315743,0.555161304163966,3.0094411126214566e-09,1151.9418245378565,0.6718835850939109,-1.5987211554602254e-14,True,True,,False,"pre-existing screw dipole; restricted trial-family force, NOT nucleation barrier"
128.0,4.0,8192,0.0625,36.65641553671062,0.27788951746615215,23.237753076496187,23.237497984498773,29.586901354567473,3.5166238240869045,2.9614606164152377,0.5551632076716666,2.1094422527180925e-07,1185.3303061623928,0.944932165337555,-1.6431300764452317e-14,True,True,,False,"pre-existing screw dipole; restricted trial-family force, NOT nucleation barrier"
128.0,16.0,32768,0.0625,36.65641553671062,0.2778915526410535,29.20596108204815,29.205697828916364,29.586901354567473,3.5713476014412424,3.0161815973810766,0.5551660040601657,8.3734660757931e-08,1195.446744746599,0.9173205111556134,-1.3766765505351941e-14,True,True,,False,"pre-existing screw dipole; restricted trial-family force, NOT nucleation barrier"
128.0,32.0,65536,0.0625,36.65641553671062,0.2778916350075745,29.492047830720182,29.491784552291687,29.586901354567473,3.5740272374877833,3.0188611424081904,0.5551660950795929,-1.214504046838635e-07,1195.9311873085376,0.9173205111556134,-1.4654943925052066e-14,True,True,,False,"pre-existing screw dipole; restricted trial-family force, NOT nucleation barrier"
128.0,64.0,131072,0.0625,36.65641553671062,0.2778916787312383,29.56339689952789,29.563133619323107,29.586901354567473,3.574696338037945,3.0195301741272664,0.5551661639106786,-7.2604164002042596e-09,1196.0524190653707,0.9165535207616706,-1.9984014443252818e-14,True,True,,False,"pre-existing screw dipole; restricted trial-family force, NOT nucleation barrier"
128.0,8.0,4096,0.25,36.65641553671062,0.28082824753464075,28.631333741189405,28.050141394897196,29.586901354567473,3.5616624043285494,2.9995145458208485,0.5621478585077009,-1.403773594067792e-08,660.5933456741255,0.9142525495798421,-6.005197642133808e-05,True,True,,False,"pre-existing screw dipole; restricted trial-family force, NOT nucleation barrier"
128.0,8.0,8192,0.125,36.65641553671062,0.27790109148502434,28.05266482056353,28.050141394897196,29.586901354567473,3.5605784683557213,3.005391433945267,0.5551870344104541,1.3334548486405862e-07,1189.3453893424983,0.9203884727313847,-3.194260544958638e-08,True,True,,False,"pre-existing screw dipole; restricted trial-family force, NOT nucleation barrier"
128.0,8.0,32768,0.03125,36.65641553671062,0.2778910929980746,28.050404221866426,28.050141394897196,29.586901354567473,3.5605768108340166,3.005411439783616,0.5551653710504009,-8.341072912065707e-08,1193.483350901673,0.9203884727313847,-1.3322676295501878e-15,True,True,,False,"pre-existing screw dipole; restricted trial-family force, NOT nucleation barrier"
