radius_L0,path,path_fraction,q_plane_frame,min_eigenvalue_eV_L0sq,status
12.0,GX,0.05,"[0.15707963267948966, -0.09068996821171091, 0.12825498301618643]",0.2522250380952602,corrected +ABC cubic labels; sampled static stability only
12.0,GX,0.1,"[0.3141592653589793, -0.18137993642342182, 0.25650996603237286]",1.011165964639258,corrected +ABC cubic labels; sampled static stability only
12.0,GX,0.15,"[0.47123889803846886, -0.2720699046351327, 0.38476494904855923]",2.2834837367129395,corrected +ABC cubic labels; sampled static stability only
12.0,GX,0.2,"[0.6283185307179586, -0.36275987284684363, 0.5130199320647457]",3.658787836962489,corrected +ABC cubic labels; sampled static stability only
12.0,GX,0.25,"[0.7853981633974482, -0.4534498410585545, 0.6412749150809322]",5.534978168447679,corrected +ABC cubic labels; sampled static stability only
12.0,GX,0.3,"[0.9424777960769377, -0.5441398092702654, 0.7695298980971185]",9.058479158379336,corrected +ABC cubic labels; sampled static stability only
12.0,GX,0.35,"[1.0995574287564274, -0.6348297774819763, 0.8977848811133049]",12.741669774860123,corrected +ABC cubic labels; sampled static stability only
12.0,GX,0.39999999999999997,"[1.256637061435917, -0.7255197456936872, 1.0260398641294912]",16.748748740390603,corrected +ABC cubic labels; sampled static stability only
12.0,GX,0.44999999999999996,"[1.4137166941154067, -0.8162097139053981, 1.1542948471456778]",21.30360946673253,corrected +ABC cubic labels; sampled static stability only
12.0,GX,0.49999999999999994,"[1.5707963267948961, -0.9068996821171088, 1.282549830161864]",26.367316806718485,corrected +ABC cubic labels; sampled static stability only
12.0,GX,0.5499999999999999,"[1.7278759594743858, -0.9975896503288197, 1.4108048131780504]",31.867817532415923,corrected +ABC cubic labels; sampled static stability only
12.0,GX,0.6,"[1.8849555921538754, -1.0882796185405308, 1.539059796194237]",37.692497563122885,corrected +ABC cubic labels; sampled static stability only
12.0,GX,0.65,"[2.0420352248333655, -1.1789695867522418, 1.6673147792104237]",43.68387291760367,corrected +ABC cubic labels; sampled static stability only
12.0,GX,0.7,"[2.1991148575128547, -1.2696595549639527, 1.7955697622266098]",49.64029652733613,corrected +ABC cubic labels; sampled static stability only
12.0,GX,0.75,"[2.356194490192345, -1.3603495231756635, 1.9238247452427963]",55.323117897295084,corrected +ABC cubic labels; sampled static stability only
12.0,GX,0.7999999999999999,"[2.513274122871834, -1.4510394913873743, 2.0520797282589824]",60.470803136204225,corrected +ABC cubic labels; sampled static stability only
