observable,role,units,target,prediction,scale,normalized_residual
normal_strain_force_ev,exact,eV/strain,0.0,6.661338147750939e-16,0.1,6.661338147750939e-15
cohesive_ev_atom,exact,eV/atom,3.36,3.359999999999999,0.0672,-1.3216940769347102e-14
C11_GPa,exact,GPa,113.99999999999996,113.99999999999996,5.699999999999998,0.0
C12_GPa,exact,GPa,62.000000000000014,61.99999999999979,3.100000000000001,-7.33463469171716e-14
C44_GPa,exact,GPa,32.0,32.00000000000005,1.6,3.108624468950438e-14
perfect_Haa,fit,eV/L0^2,19.66091286328976,26.00873919619673,1.9660912863289761,3.2286528998149575
perfect_Hxx,fit,eV/L0^2,4.393593035123306,4.550344410580284,0.43935930351233066,0.3567726327947873
saddle_energy_at_source_state,fit,eV/cell,0.07624909750742465,0.08796122630502964,0.007624909750742465,1.536035071951448
saddle_normal_force_at_source_state,fit,eV/L0,1.4903612010162394e-15,0.09738355541468602,0.03173805605024358,3.0683528714083654
fault_energy_at_source_state,fit,eV/cell,0.06670794504308616,0.07815872097411569,0.006670794504308616,1.7165535415059716
fault_normal_force_at_source_state,fit,eV/L0,5.29078226360765e-15,-0.10787198033386486,0.03173805605024358,-3.398821281401142
saddle_path_force_at_source_state,fit,eV/L0,2.296700476743968e-16,-0.018838268710127094,0.03173805605024358,-0.5935545857095033
opening_1.1h_energy,fit,eV/cell,0.05670265774764735,0.05917299266108671,0.005670265774764736,0.4356647486319727
opening_1.5h_energy,fit,eV/cell,0.4710312483934004,0.4282092650425396,0.04710312483934004,-0.9091113062438761
opening_2h_energy,fit,eV/cell,0.7060534019484034,0.6495363109855562,0.07060534019484034,-0.8004648204637829
opening_40h_energy,fit,eV/cell,0.7719163228888833,0.8502197158642751,0.07719163228888834,1.014402606261035
direct_quarter_energy,fit,eV/cell,0.117221996542065,0.10746257191232758,0.0117221996542065,-0.8325591542228388
direct_half_energy,fit,eV/cell,0.26732847628894163,0.27081511812885617,0.026732847628894163,0.13042538110103943
oblique_energy,fit,eV/cell,0.13339289745734875,0.12055892652175468,0.013339289745734876,-0.962118012295042
opening_1.25h_energy,fit,eV/cell,0.24853683654490819,0.21698717285634597,0.02485368365449082,-1.2694159999441972
opening_3h_energy,fit,eV/cell,0.7719163228888833,0.800938469577785,0.07719163228888834,0.37597529457968715
saddle_Haa,fit,eV/L0^2,12.717337762538286,22.960574505911055,1.2717337762538286,8.054544854149015
saddle_Hxx,fit,eV/L0^2,-0.18642463121762062,-0.01867090403175589,0.018642463121762064,8.998474401702818
fault_Haa,fit,eV/L0^2,14.140554350039636,24.88666177963699,1.4140554350039638,7.599495156685447
fault_Hxx,fit,eV/L0^2,2.4858929774856264,2.602470567591187,0.24858929774856264,0.4689565929080083
saddle_normal_path_coupling,fit,eV/L0^2,1.2055891043737141,0.7141471971028629,0.12055891043737142,-4.076363211047333
opening_1.1h_normal_force,fit,eV/L0,1.2761663221727821,1.1966570608170854,0.03173805605024358,-2.505171117910559
opening_1.3h_normal_force,fit,eV/L0,1.4139711872929317,1.1821071365255382,0.03173805605024358,-7.305553005525491
opening_1.5h_normal_force,fit,eV/L0,0.6379256757978651,0.8087237582344091,0.03173805605024358,5.3814916126607955
opening_2h_normal_force,fit,eV/L0,0.5548811295393773,0.3541883989281566,0.03173805605024358,-6.323409672398017
opening_2.5h_normal_force,fit,eV/L0,0.0005156382639574782,0.16970132612914754,0.03173805605024358,5.3306884201526765
opening_3h_normal_force,fit,eV/L0,0.0,0.08219210536563938,0.03173805605024358,2.589701941275908
shockley_0.15_energy,fit,eV/cell,0.013715574532912111,0.012303668340307621,0.004433026104653031,-0.3184971527964867
shockley_0.35_energy,fit,eV/cell,0.04820527408303389,0.049653855871541704,0.004820527408303389,0.3005027595139529
