run,observable,role,units,target,prediction,scale,normalized_residual
nested_range,normal_strain_force_ev,exact,eV/strain,0.0,7.771561172376096e-16,0.1,7.771561172376096e-15
nested_range,cohesive_ev_atom,exact,eV/atom,3.36,3.360000000000009,0.0672,1.3877787807814457e-13
nested_range,C11_GPa,exact,GPa,113.99999999999996,114.00000000000023,5.699999999999998,4.736951571734003e-14
nested_range,C12_GPa,exact,GPa,62.000000000000014,62.00000000000048,3.100000000000001,1.5127684051666643e-13
nested_range,C44_GPa,exact,GPa,32.0,31.99999999999964,1.6,-2.2426505097428162e-13
nested_range,perfect_Haa,fit,eV/L0^2,19.66091286328976,27.653670528668407,1.9660912863289761,4.065303437818736
nested_range,perfect_Hxx,fit,eV/L0^2,4.393593035123306,4.485427099189151,0.43935930351233066,0.2090181392124937
nested_range,saddle_energy_at_source_state,fit,eV/cell,0.07624909750742465,0.08797955300372626,0.007624909750742465,1.5384386018679599
nested_range,saddle_normal_force_at_source_state,fit,eV/L0,1.4903612010162394e-15,0.11100310912422941,0.03173805605024358,3.4974766239149044
nested_range,fault_energy_at_source_state,fit,eV/cell,0.06670794504308616,0.07783231334633484,0.006670794504308616,1.6676226941278922
nested_range,fault_normal_force_at_source_state,fit,eV/L0,5.29078226360765e-15,-0.09583676760689772,0.03173805605024358,-3.01961681128758
nested_range,saddle_path_force_at_source_state,fit,eV/L0,2.296700476743968e-16,-0.022058944719230398,0.03173805605024358,-0.6950313744581509
nested_range,opening_1.1h_energy,fit,eV/cell,0.05670265774764735,0.05926251184821639,0.005670265774764736,0.4514522250370619
nested_range,opening_1.5h_energy,fit,eV/cell,0.4710312483934004,0.424315272996646,0.04710312483934004,-0.99178081191203
nested_range,opening_2h_energy,fit,eV/cell,0.7060534019484034,0.6437505491488493,0.07060534019484034,-0.8824099229268637
nested_range,opening_40h_energy,fit,eV/cell,0.7719163228888833,0.8440306960266795,0.07719163228888834,0.9342252650897358
nested_range,direct_quarter_energy,fit,eV/cell,0.117221996542065,0.10667041051107193,0.0117221996542065,-0.9001370341961924
nested_range,direct_half_energy,fit,eV/cell,0.26732847628894163,0.2721969867412618,0.026732847628894163,0.18211716611357373
nested_range,oblique_energy,fit,eV/cell,0.13339289745734875,0.12050853355866875,0.013339289745734876,-0.9658957968732681
nested_range,opening_1.25h_energy,fit,eV/cell,0.24853683654490819,0.215871273508779,0.02485368365449082,-1.31431475069197
nested_range,opening_3h_energy,fit,eV/cell,0.7719163228888833,0.7947573141766262,0.07719163228888834,0.29589983538968123
nested_range,saddle_Haa,fit,eV/L0^2,12.717337762538286,22.573016197952548,1.2717337762538286,7.749796867427969
nested_range,saddle_Hxx,fit,eV/L0^2,-0.18642463121762062,-0.07011326758471209,0.018642463121762064,6.239055583654813
nested_range,fault_Haa,fit,eV/L0^2,14.140554350039636,24.767655269900523,1.4140554350039638,7.5153354365001235
nested_range,fault_Hxx,fit,eV/L0^2,2.4858929774856264,2.647540350076415,0.24858929774856264,0.6502587764429348
nested_range,saddle_normal_path_coupling,fit,eV/L0^2,1.2055891043737141,0.5958562213080415,0.12055891043737142,-5.057551373462519
nested_range,opening_1.1h_normal_force,fit,eV/L0,1.2761663221727821,1.2135643569382364,0.03173805605024358,-1.9724574540873716
nested_range,opening_1.3h_normal_force,fit,eV/L0,1.4139711872929317,1.1660189000450556,0.03173805605024358,-7.8124598070956255
nested_range,opening_1.5h_normal_force,fit,eV/L0,0.6379256757978651,0.7991861073252995,0.03173805605024358,5.080980110191619
nested_range,opening_2h_normal_force,fit,eV/L0,0.5548811295393773,0.3523982846502573,0.03173805605024358,-6.37981244246892
nested_range,opening_2.5h_normal_force,fit,eV/L0,0.0005156382639574782,0.16941020855154332,0.03173805605024358,5.321515912008405
nested_range,opening_3h_normal_force,fit,eV/L0,0.0,0.08215225424985811,0.03173805605024358,2.588446315672431
nested_range,shockley_0.15_energy,fit,eV/cell,0.013715574532912111,0.012117859616092153,0.004433026104653031,-0.36041179977328613
nested_range,shockley_0.35_energy,fit,eV/cell,0.04820527408303389,0.049029546148244,0.004820527408303389,0.1709920918176495
nested_range,shockley_0.75_energy,fit,eV/cell,0.08334161260537679,0.09887439077958046,0.00833416126053768,1.8637482151625149
nested_range,new_direct_017_energy,fit,eV/cell,0.05826439239193282,0.05039199803102233,0.0058264392391932825,-1.3511501686921366
nested_range,new_direct_017_normal_force,fit,eV/L0,-0.44118804525591643,-0.4487221997724912,0.03173805605024358,-0.2373855066815592
nested_range,new_direct_017_Haa,fit,eV/L0^2,26.109437232644353,27.19077971315062,2.6109437232644357,0.41415771273471724
nested_range,new_direct_039_energy,fit,eV/cell,0.2262381941113307,0.2284236838926878,0.022623819411133072,0.09660127415451494
nested_range,new_direct_039_normal_force,fit,eV/L0,-1.9685101248020884,-1.9654676172737737,0.03173805605024358,0.09586307124476035
nested_range,new_direct_039_Haa,fit,eV/L0^2,36.31678531793335,47.002689361710445,3.6316785317933356,2.942414630102284
nested_range,new_raised_direct_energy,fit,eV/cell,0.11960599647825673,0.11886248038971042,0.011960599647825674,-0.06216378028182501
nested_range,new_raised_direct_normal_force,fit,eV/L0,0.08783049166112324,0.16800873396672988,0.03173805605024358,2.5262493134008848
