run,parameter,value,units
even_bound_probe,u,0.01719039248873973,eV per normalized site basis
even_bound_probe,v,0.10069343124175334,eV per normalized site basis
even_bound_probe,A,1.4272478664929773,eV per normalized site basis
even_bound_probe,B,1.606495607951934,eV per normalized site basis
even_bound_probe,C,2.915816180165433,eV per normalized site basis
even_bound_probe,D3,38.824600632188755,eV per normalized site basis
even_bound_probe,D1,4.842545429035814,eV per normalized site basis
even_bound_probe,D2,1.0441610352430473,eV per normalized site basis
even_bound_probe,D_E,1.5133783300654366,eV per normalized site basis
even_bound_probe,K3,31035.47071051324,eV per normalized site basis
even_bound_probe,k_scalar,2.317200161027302,see definition.json: reduced exponential decay or declared extension shape
even_bound_probe,k_odd,6.271955678357825,see definition.json: reduced exponential decay or declared extension shape
even_bound_probe,k_even,15.0,see definition.json: reduced exponential decay or declared extension shape
even_bound_probe,alpha_even,436.65760955292114,see definition.json: reduced exponential decay or declared extension shape
even_bound_probe,k_rank1,6.280114065024814,see definition.json: reduced exponential decay or declared extension shape
nested_free_pair,u,0.0168124825602132,eV per normalized site basis
nested_free_pair,v,0.09488776729579619,eV per normalized site basis
nested_free_pair,A,1.413063065958244,eV per normalized site basis
nested_free_pair,B,1.5351279049260793,eV per normalized site basis
nested_free_pair,C,2.8982982028260187,eV per normalized site basis
nested_free_pair,D3,38.001460096137365,eV per normalized site basis
nested_free_pair,D1,4.64196222874391,eV per normalized site basis
nested_free_pair,D2,1.9623574327644673,eV per normalized site basis
nested_free_pair,D_E,1.577904387341636,eV per normalized site basis
nested_free_pair,K3,31881.319459684917,eV per normalized site basis
nested_free_pair,k_scalar,2.317200161027302,see definition.json: reduced exponential decay or declared extension shape
nested_free_pair,k_odd,6.271955678357825,see definition.json: reduced exponential decay or declared extension shape
nested_free_pair,k_even,11.999999999999995,see definition.json: reduced exponential decay or declared extension shape
nested_free_pair,alpha_even,436.65760955292114,see definition.json: reduced exponential decay or declared extension shape
nested_free_pair,k_rank1,6.280114065024814,see definition.json: reduced exponential decay or declared extension shape
nested_range,u,0.01719039248873992,eV per normalized site basis
nested_range,v,0.10069343124175362,eV per normalized site basis
nested_range,A,1.427247866492953,eV per normalized site basis
nested_range,B,1.6064956079519215,eV per normalized site basis
nested_range,C,2.915816180165454,eV per normalized site basis
nested_range,D3,37.61096334505298,eV per normalized site basis
