model,state,channel,radius,layers,reciprocal,direct,absolute_error,validation_cutoff_only
nested_range,inspected039,rank2,6,6,0.002906094272595351,0.002906094272595351,0.0,True
nested_range,inspected039,Eg,6,6,0.004496735639665554,0.004496735639975615,3.1006100464914255e-13,True
nested_range,inspected039,rank2,12,12,0.002906094272595351,0.002906094272595351,0.0,True
nested_range,inspected039,Eg,12,12,0.004496735639665554,0.004496735639665555,8.673617379884035e-19,True
nested_range,inspected039,rank2,18,18,0.002906094272595351,0.002906094272595351,0.0,True
nested_range,inspected039,Eg,18,18,0.004496735639665554,0.004496735639665555,8.673617379884035e-19,True
nested_range,inspected039,rank1_independent_range,6,6,0.0016512334209039057,0.0016512334207976931,1.0621256478493546e-13,True
nested_range,inspected039,rank1_independent_range,12,12,0.0016512334209039057,0.001651233420903883,2.2768245622195593e-17,True
nested_range,inspected039,rank1_independent_range,18,18,0.0016512334209039057,0.001651233420903883,2.2768245622195593e-17,True
nested_range,heldout031,rank2,6,6,0.0028224198273153864,0.0028224198273153873,8.673617379884035e-19,True
nested_range,heldout031,Eg,6,6,0.004433466793602454,0.004433466793751877,1.4942300868847624e-13,True
nested_range,heldout031,rank2,12,12,0.0028224198273153864,0.0028224198273153873,8.673617379884035e-19,True
nested_range,heldout031,Eg,12,12,0.004433466793602454,0.004433466793602458,3.469446951953614e-18,True
nested_range,heldout031,rank2,18,18,0.0028224198273153864,0.0028224198273153873,8.673617379884035e-19,True
nested_range,heldout031,Eg,18,18,0.004433466793602454,0.004433466793602458,3.469446951953614e-18,True
nested_range,heldout031,rank1_independent_range,6,6,0.0011048448486728807,0.0011048448486102465,6.26341426640531e-14,True
nested_range,heldout031,rank1_independent_range,12,12,0.0011048448486728807,0.001104844848672859,2.168404344971009e-17,True
nested_range,heldout031,rank1_independent_range,18,18,0.0011048448486728807,0.001104844848672859,2.168404344971009e-17,True
nested_range,heldout_off,rank2,6,6,0.0013825995359585616,0.0013825995359585633,1.734723475976807e-18,True
nested_range,heldout_off,Eg,6,6,0.006912460558613915,0.006912460556466461,2.147454089551637e-12,True
nested_range,heldout_off,rank2,12,12,0.0013825995359585616,0.0013825995359585633,1.734723475976807e-18,True
nested_range,heldout_off,Eg,12,12,0.006912460558613915,0.006912460558613919,3.469446951953614e-18,True
nested_range,heldout_off,rank2,18,18,0.0013825995359585616,0.0013825995359585633,1.734723475976807e-18,True
nested_range,heldout_off,Eg,18,18,0.006912460558613915,0.006912460558613919,3.469446951953614e-18,True
nested_range,heldout_off,rank1_independent_range,6,6,0.011655693540218942,0.011655693540194932,2.4010307630994987e-14,True
nested_range,heldout_off,rank1_independent_range,12,12,0.011655693540218942,0.01165569354021903,8.673617379884035e-17,True
nested_range,heldout_off,rank1_independent_range,18,18,0.011655693540218942,0.01165569354021903,8.673617379884035e-17,True
nested_range,heldout_opening,rank2,6,6,0.0026940385930617175,0.0026940385930617175,0.0,True
nested_range,heldout_opening,Eg,6,6,0.00862035643468823,0.008620356433959843,7.283878361574736e-13,True
nested_range,heldout_opening,rank2,12,12,0.0026940385930617175,0.0026940385930617175,0.0,True
nested_range,heldout_opening,Eg,12,12,0.00862035643468823,0.008620356434688229,1.734723475976807e-18,True
nested_range,heldout_opening,rank2,18,18,0.0026940385930617175,0.0026940385930617175,0.0,True
nested_range,heldout_opening,Eg,18,18,0.00862035643468823,0.008620356434688229,1.734723475976807e-18,True
nested_range,heldout_opening,rank1_independent_range,6,6,0.08758214511600809,0.08758214511559353,4.1455727739503345e-13,True
nested_range,heldout_opening,rank1_independent_range,12,12,0.08758214511600809,0.0875821451160084,3.0531133177191805e-16,True
nested_range,heldout_opening,rank1_independent_range,18,18,0.08758214511600809,0.0875821451160084,3.0531133177191805e-16,True
