model,bracket_samples,actual_grid_points,grid_kind,a_over_h,energy_J_m2,traction_MPa,curvature_eV_L0sq,local_type
nested_range,129,258,near_h_geometric_plus_uniform,1.1857812339502047,0.33481802930816185,10274.09762122747,3.0531133177191805e-16,maximum_traction
nested_range,257,514,near_h_geometric_plus_uniform,1.1857812339506593,0.33481802930925547,10274.097621227467,-1.6116941115029704e-11,maximum_traction
source_Al99,129,258,near_h_geometric_plus_uniform,1.1858461680206895,0.36973671378544687,12969.567658481197,1.9120954819484833e-14,maximum_traction
source_Al99,129,258,near_h_geometric_plus_uniform,1.6322700788898576,1.1949641937212303,4005.706049611054,3.605051163840799e-11,minimum_traction
source_Al99,129,258,near_h_geometric_plus_uniform,1.8918747001449547,1.4713233183974124,5025.057197224914,-1.997172349374465e-13,maximum_traction
source_Al99,129,258,near_h_geometric_plus_uniform,2.386631030199241,1.751738739078053,-785.6754390524287,-9.588931211557126e-15,minimum_traction
source_Al99,129,258,near_h_geometric_plus_uniform,2.527863881011658,1.740949935378599,46.058621287826554,-7.137636185219896e-13,maximum_traction
source_Al99,257,514,near_h_geometric_plus_uniform,1.1858461680206898,0.36973671378544765,12969.567658481195,-6.237073357784338e-14,maximum_traction
source_Al99,257,514,near_h_geometric_plus_uniform,1.6322700788892308,1.194964193720642,4005.706049611053,-1.3885455285578271e-14,minimum_traction
source_Al99,257,514,near_h_geometric_plus_uniform,1.891874700144948,1.4713233183974035,5025.057197224909,-1.4312262312798916e-14,maximum_traction
source_Al99,257,514,near_h_geometric_plus_uniform,2.386631030199241,1.751738739078053,-785.6754390524287,-9.588931211557126e-15,minimum_traction
source_Al99,257,514,near_h_geometric_plus_uniform,2.5278638810116023,1.7409499353785989,46.05862128782654,-1.5649590998090264e-16,maximum_traction
