model,case,path_verified,static_return_state_error_over_L0,dynamic_hold_performed,residual_plasticity_validated
source_Al99_only,normal_xx50MPa,True,1.48248672611313e-16,False,False
source_Al99_only,normal_yx50MPa,True,3.398754756862546e-16,False,False
source_Al99_only,normal_zx50MPa,True,1.2266561946341144e-16,False,False
source_Al99_only,shear_xy10MPa,True,3.6137157445752645e-15,False,False
source_Al99_only,shear_xz10MPa,True,3.241927477393735e-15,False,False
source_Al99_only,shear_yz10MPa,True,3.1306717074855967e-15,False,False
source_Al99_only,biaxial_opposite25MPa,True,2.662066163293226e-16,False,False
source_Al99_only,mixed_MPa,True,1.040038106348362e-16,False,False
source_Al99_only,pure_interface_normal50MPa,True,2.670587611596283e-16,False,False
source_Al99_only,pure_interface_shear1_4MPa,True,4.952252478974419e-16,False,False
source_Al99_only,pure_interface_shear2_4MPa,True,2.7742709003926973e-16,False,False
nested_range,normal_xx50MPa,True,1.5248609908231712e-16,False,False
nested_range,normal_yx50MPa,True,6.559136030878917e-16,False,False
nested_range,normal_zx50MPa,True,2.632501223681216e-16,False,False
nested_range,shear_xy10MPa,True,4.705917905412664e-16,False,False
nested_range,shear_xz10MPa,True,4.836516762930148e-16,False,False
nested_range,shear_yz10MPa,True,5.106049109701748e-16,False,False
nested_range,biaxial_opposite25MPa,True,2.0707642306780693e-16,False,False
nested_range,mixed_MPa,True,3.729311727334056e-16,False,False
nested_range,pure_interface_normal50MPa,True,3.999094475973272e-16,False,False
nested_range,pure_interface_shear1_4MPa,True,4.702125740340207e-16,False,False
nested_range,pure_interface_shear2_4MPa,True,4.1282390933920544e-16,False,False
