model,state,channel,radius,layers,reciprocal,direct,absolute_error,validation_cutoff_only
separate_range,inspected039,rank2,6,6,0.0026184488703138937,0.0026184488703138932,4.336808689942018e-19,True
separate_range,inspected039,Eg,6,6,0.004055061901653116,0.0040550619019135295,2.6041321876668633e-13,True
separate_range,inspected039,rank2,12,12,0.0026184488703138937,0.0026184488703138932,4.336808689942018e-19,True
separate_range,inspected039,Eg,12,12,0.004055061901653116,0.004055061901653117,8.673617379884035e-19,True
separate_range,inspected039,rank2,18,18,0.0026184488703138937,0.0026184488703138932,4.336808689942018e-19,True
separate_range,inspected039,Eg,18,18,0.004055061901653116,0.004055061901653117,8.673617379884035e-19,True
separate_range,inspected039,rank1_independent_range,6,6,0.0017317961019869515,0.0017317961019003058,8.664575133765506e-14,True
separate_range,inspected039,rank1_independent_range,12,12,0.0017317961019869515,0.0017317961019869628,1.1275702593849246e-17,True
separate_range,inspected039,rank1_independent_range,18,18,0.0017317961019869515,0.0017317961019869628,1.1275702593849246e-17,True
separate_range,heldout031,rank2,6,6,0.0025499281317318103,0.0025499281317318103,0.0,True
separate_range,heldout031,Eg,6,6,0.004003344079455094,0.004003344079581255,1.2616036687562726e-13,True
separate_range,heldout031,rank2,12,12,0.0025499281317318103,0.0025499281317318103,0.0,True
separate_range,heldout031,Eg,12,12,0.004003344079455094,0.004003344079455096,1.734723475976807e-18,True
separate_range,heldout031,rank2,18,18,0.0025499281317318103,0.0025499281317318103,0.0,True
separate_range,heldout031,Eg,18,18,0.004003344079455094,0.004003344079455096,1.734723475976807e-18,True
separate_range,heldout031,rank1_independent_range,6,6,0.0011579620939731335,0.0011579620939221819,5.0951647415087287e-14,True
separate_range,heldout031,rank1_independent_range,12,12,0.0011579620939731335,0.0011579620939731233,1.0191500421363742e-17,True
separate_range,heldout031,rank1_independent_range,18,18,0.0011579620939731335,0.0011579620939731233,1.0191500421363742e-17,True
separate_range,heldout_off,rank2,6,6,0.0013130272837735381,0.0013130272837735323,5.854691731421724e-18,True
separate_range,heldout_off,Eg,6,6,0.00630692545474778,0.0063069254531363875,1.611392443090498e-12,True
separate_range,heldout_off,rank2,12,12,0.0013130272837735381,0.0013130272837735323,5.854691731421724e-18,True
separate_range,heldout_off,Eg,12,12,0.00630692545474778,0.006306925454747771,8.673617379884035e-18,True
separate_range,heldout_off,rank2,18,18,0.0013130272837735381,0.0013130272837735323,5.854691731421724e-18,True
separate_range,heldout_off,Eg,18,18,0.00630692545474778,0.006306925454747771,8.673617379884035e-18,True
separate_range,heldout_off,rank1_independent_range,6,6,0.01176577281429469,0.011765772814275937,1.8752360775309285e-14,True
separate_range,heldout_off,rank1_independent_range,12,12,0.01176577281429469,0.011765772814294617,7.28583859910259e-17,True
separate_range,heldout_off,rank1_independent_range,18,18,0.01176577281429469,0.011765772814294617,7.28583859910259e-17,True
separate_range,heldout_opening,rank2,6,6,0.0024459232456819275,0.0024459232456819258,1.734723475976807e-18,True
separate_range,heldout_opening,Eg,6,6,0.007774119056036599,0.007774119055478175,5.58423966789956e-13,True
separate_range,heldout_opening,rank2,12,12,0.0024459232456819275,0.0024459232456819258,1.734723475976807e-18,True
separate_range,heldout_opening,Eg,12,12,0.007774119056036599,0.007774119056036599,0.0,True
separate_range,heldout_opening,rank2,18,18,0.0024459232456819275,0.0024459232456819258,1.734723475976807e-18,True
separate_range,heldout_opening,Eg,18,18,0.007774119056036599,0.007774119056036599,0.0,True
separate_range,heldout_opening,rank1_independent_range,6,6,0.08751857990079302,0.08751857990046892,3.241018564636988e-13,True
separate_range,heldout_opening,rank1_independent_range,12,12,0.08751857990079302,0.08751857990079305,2.7755575615628914e-17,True
separate_range,heldout_opening,rank1_independent_range,18,18,0.08751857990079302,0.08751857990079305,2.7755575615628914e-17,True
