observable,role,units,target,prediction,scale,normalized_residual
normal_strain_force_ev,exact,eV/strain,0.0,-3.3306690738754696e-16,0.1,-3.3306690738754696e-15
cohesive_ev_atom,exact,eV/atom,3.36,3.36,0.0672,0.0
C11_GPa,exact,GPa,113.99999999999996,113.99999999999982,5.699999999999998,-2.493132406175791e-14
C12_GPa,exact,GPa,62.000000000000014,62.00000000000014,3.100000000000001,4.125732014090903e-14
C44_GPa,exact,GPa,32.0,31.999999999999886,1.6,-7.105427357601002e-14
perfect_Haa,fit,eV/L0^2,19.66091286328976,27.683474903168275,1.9660912863289761,4.080462639584752
perfect_Hxx,fit,eV/L0^2,4.393593035123306,4.65961869353145,0.43935930351233066,0.6054854336336545
saddle_energy_at_source_state,fit,eV/cell,0.07624909750742465,0.08923698239296726,0.007624909750742465,1.7033493261055241
saddle_normal_force_at_source_state,fit,eV/L0,1.4903612010162394e-15,0.10011789921210378,0.03173805605024358,3.1545063457449505
fault_energy_at_source_state,fit,eV/cell,0.06670794504308616,0.07919707288636488,0.006670794504308616,1.8722099496862148
fault_normal_force_at_source_state,fit,eV/L0,5.29078226360765e-15,-0.10251970472899835,0.03173805605024358,-3.2301822319145104
saddle_path_force_at_source_state,fit,eV/L0,2.296700476743968e-16,-0.022042621420394766,0.03173805605024358,-0.6945170613316698
opening_1.1h_energy,fit,eV/cell,0.05670265774764735,0.05914398603490221,0.005670265774764736,0.43054918133112574
opening_1.5h_energy,fit,eV/cell,0.4710312483934004,0.42742621536567144,0.04710312483934004,-0.925735461850091
opening_2h_energy,fit,eV/cell,0.7060534019484034,0.6523124821686473,0.07060534019484034,-0.7611452565975071
opening_40h_energy,fit,eV/cell,0.7719163228888833,0.8360363147548174,0.07719163228888834,0.8306598780806466
direct_quarter_energy,fit,eV/cell,0.117221996542065,0.10796714434844014,0.0117221996542065,-0.7895149772767917
direct_half_energy,fit,eV/cell,0.26732847628894163,0.27184145412149385,0.026732847628894163,0.16881769930392215
oblique_energy,fit,eV/cell,0.13339289745734875,0.12147252140486176,0.013339289745734876,-0.8936289922256495
opening_1.25h_energy,fit,eV/cell,0.24853683654490819,0.21557106241691965,0.02485368365449082,-1.3263938893835538
opening_3h_energy,fit,eV/cell,0.7719163228888833,0.7959338073846326,0.07719163228888834,0.3111410367106144
saddle_Haa,fit,eV/L0^2,12.717337762538286,22.26987162138016,1.2717337762538286,7.511425769457005
saddle_Hxx,fit,eV/L0^2,-0.18642463121762062,-0.05976130900720089,0.018642463121762064,6.7943447914112145
fault_Haa,fit,eV/L0^2,14.140554350039636,24.465001740355497,1.4140554350039638,7.30130314182974
fault_Hxx,fit,eV/L0^2,2.4858929774856264,2.675907309704595,0.24858929774856264,0.7643705257623752
saddle_normal_path_coupling,fit,eV/L0^2,1.2055891043737141,0.6022233851940093,0.12055891043737142,-5.004737658882082
opening_1.1h_normal_force,fit,eV/L0,1.2761663221727821,1.199989601787495,0.03173805605024358,-2.400169697371953
opening_1.3h_normal_force,fit,eV/L0,1.4139711872929317,1.1780629355588734,0.03173805605024358,-7.432977349356207
opening_1.5h_normal_force,fit,eV/L0,0.6379256757978651,0.8208318768948566,0.03173805605024358,5.76299319679309
opening_2h_normal_force,fit,eV/L0,0.5548811295393773,0.3543725558163848,0.03173805605024358,-6.317607272656311
opening_2.5h_normal_force,fit,eV/L0,0.0005156382639574782,0.15809549620398608,0.03173805605024358,4.965012907235672
opening_3h_normal_force,fit,eV/L0,0.0,0.07093527056397664,0.03173805605024358,2.235022537350148
shockley_0.15_energy,fit,eV/cell,0.013715574532912111,0.012530024537452725,0.004433026104653031,-0.26743582543197725
shockley_0.35_energy,fit,eV/cell,0.04820527408303389,0.050294411811139174,0.004820527408303389,0.43338364273310204
shockley_0.75_energy,fit,eV/cell,0.08334161260537679,0.10023244232211845,0.00833416126053768,2.0266982109789353
new_direct_017_energy,fit,eV/cell,0.05826439239193282,0.05129606144825887,0.0058264392391932825,-1.195984486854233
new_direct_017_normal_force,fit,eV/L0,-0.44118804525591643,-0.44155200322406846,0.03173805605024358,-0.011467557041800473
new_direct_017_Haa,fit,eV/L0^2,26.109437232644353,27.17837733223164,2.6109437232644357,0.4094075602099928
new_direct_039_energy,fit,eV/cell,0.2262381941113307,0.22876005034956742,0.022623819411133072,0.11146907568559054
new_direct_039_normal_force,fit,eV/L0,-1.9685101248020884,-1.9560617736711323,0.03173805605024358,0.3922216001903042
new_direct_039_Haa,fit,eV/L0^2,36.31678531793335,46.21094647937274,3.6316785317933356,2.724404452327341
new_raised_direct_energy,fit,eV/cell,0.11960599647825673,0.11988629744612762,0.011960599647825674,0.023435360778240568
new_raised_direct_normal_force,fit,eV/L0,0.08783049166112324,0.1593236500478531,0.03173805605024358,2.252600419935964
new_raised_direct_Haa,fit,eV/L0^2,20.00400949091716,17.385715661242372,2.000400949091716,-1.3088845168083059
new_off_path_positive_energy,fit,eV/cell,0.05360470506556986,0.05409669220877148,0.0053604705065569865,0.09178058952097944
new_off_path_positive_normal_force,fit,eV/L0,0.35206897342006,0.4081664946632712,0.03173805605024358,1.7675159800085072
new_off_path_positive_Haa,fit,eV/L0^2,13.446420569551602,18.229375036401308,1.3446420569551603,3.5570466073925595
new_off_path_negative_energy,fit,eV/cell,0.21544733160917068,0.22522936326318269,0.021544733160917068,0.45403354875413215
new_off_path_negative_normal_force,fit,eV/L0,-0.05312860042135701,-0.06856715926781842,0.03173805605024358,-0.4864368133328987
new_off_path_negative_Haa,fit,eV/L0^2,13.5831841481301,14.507509683832964,1.35831841481301,0.6804925307812381
new_shockley_058_energy,fit,eV/cell,0.07969505412787091,0.09319999598267151,0.007969505412787091,1.6945771607271745
new_shockley_058_normal_force,fit,eV/L0,-0.6123357455328253,-0.7942555860480642,0.03173805605024358,-5.731915030562898
new_shockley_058_Haa,fit,eV/L0^2,23.107568998056017,34.578473204875365,2.3107568998056016,4.964132837939105
