model,state,channel,radius,layers,reciprocal,direct,absolute_error,validation_cutoff_only
tied_control,inspected039,rank2,6,6,0.0027746619801150975,0.002774661980115098,4.336808689942018e-19,True
tied_control,inspected039,Eg,6,6,0.004284951978278278,0.004284951978581911,3.036329868089105e-13,True
tied_control,inspected039,rank2,12,12,0.0027746619801150975,0.002774661980115098,4.336808689942018e-19,True
tied_control,inspected039,Eg,12,12,0.004284951978278278,0.004284951978278279,8.673617379884035e-19,True
tied_control,inspected039,rank2,18,18,0.0027746619801150975,0.002774661980115098,4.336808689942018e-19,True
tied_control,inspected039,Eg,18,18,0.004284951978278278,0.004284951978278279,8.673617379884035e-19,True
tied_control,heldout031,rank2,6,6,0.0026982855135395684,0.0026982855135395693,8.673617379884035e-19,True
tied_control,heldout031,Eg,6,6,0.004227347203167888,0.004227347203314731,1.4684260751796074e-13,True
tied_control,heldout031,rank2,12,12,0.0026982855135395684,0.0026982855135395693,8.673617379884035e-19,True
tied_control,heldout031,Eg,12,12,0.004227347203167888,0.004227347203167892,3.469446951953614e-18,True
tied_control,heldout031,rank2,18,18,0.0026982855135395684,0.0026982855135395693,8.673617379884035e-19,True
tied_control,heldout031,Eg,18,18,0.004227347203167888,0.004227347203167892,3.469446951953614e-18,True
tied_control,heldout_off,rank2,6,6,0.0013521281395563712,0.0013521281395563697,1.5178830414797062e-18,True
tied_control,heldout_off,Eg,6,6,0.006641273425031617,0.006641273423053572,1.978045331696432e-12,True
tied_control,heldout_off,rank2,12,12,0.0013521281395563712,0.0013521281395563697,1.5178830414797062e-18,True
tied_control,heldout_off,Eg,12,12,0.006641273425031617,0.0066412734250316284,1.1275702593849246e-17,True
tied_control,heldout_off,rank2,18,18,0.0013521281395563712,0.0013521281395563697,1.5178830414797062e-18,True
tied_control,heldout_off,Eg,18,18,0.006641273425031617,0.0066412734250316284,1.1275702593849246e-17,True
tied_control,heldout_opening,rank2,6,6,0.0025807145868932116,0.002580714586893211,4.336808689942018e-19,True
tied_control,heldout_opening,Eg,6,6,0.008224733687043639,0.008224733686355056,6.885828712777098e-13,True
tied_control,heldout_opening,rank2,12,12,0.0025807145868932116,0.002580714586893211,4.336808689942018e-19,True
tied_control,heldout_opening,Eg,12,12,0.008224733687043639,0.008224733687043637,1.734723475976807e-18,True
tied_control,heldout_opening,rank2,18,18,0.0025807145868932116,0.002580714586893211,4.336808689942018e-19,True
tied_control,heldout_opening,Eg,18,18,0.008224733687043639,0.008224733687043637,1.734723475976807e-18,True
