model,radius,coordinate,mode_index,planes,q_cubic_fraction,predicted_mode_variance_m2,actual_MD_mode_variance_m2,mode_variance_relative_difference,MD_empirical_block_mode_range_m2,conjugate_mode_index,conjugate_modes_independent,source_temperature_K,kinetic_calibration
tied_control,12.0,normal,1,12,0.08333333333333333,2.2444787489886774e-25,1.6287273053160335e-25,0.37805680647882633,1.156778975698911e-25,11,False,300,False
tied_control,12.0,normal,2,12,0.16666666666666666,2.0130516113593796e-25,2.0018630373033496e-25,0.005589080695101778,9.771371185839643e-26,10,False,300,False
tied_control,12.0,normal,3,12,0.25,1.378072044657195e-25,2.234817114872155e-25,-0.3833624973218316,1.111534463271718e-25,9,False,300,False
tied_control,12.0,normal,4,12,0.3333333333333333,1.0999008880788554e-25,1.534355830374283e-25,-0.28315136143449127,5.0439749309525364e-26,8,False,300,False
tied_control,12.0,normal,5,12,0.4166666666666667,1.0927525400452038e-25,1.374316551533673e-25,-0.20487566068694796,1.1534432116399411e-26,7,False,300,False
tied_control,12.0,normal,6,12,0.5,1.1388232415732495e-25,1.6735368072084394e-25,-0.31951108773467884,6.221381324517737e-26,6,False,300,False
tied_control,12.0,normal,7,12,0.5833333333333334,1.0927525400452038e-25,1.3743165515336726e-25,-0.20487566068694774,1.1534432116399457e-26,5,False,300,False
tied_control,12.0,normal,8,12,0.6666666666666666,1.0999008880788566e-25,1.534355830374283e-25,-0.2831513614344905,5.0439749309525364e-26,4,False,300,False
tied_control,12.0,normal,9,12,0.75,1.3780720446571988e-25,2.234817114872155e-25,-0.3833624973218299,1.111534463271718e-25,3,False,300,False
tied_control,12.0,normal,10,12,0.8333333333333334,2.013051611359388e-25,2.0018630373033496e-25,0.005589080695105997,9.771371185839639e-26,2,False,300,False
tied_control,12.0,normal,11,12,0.9166666666666666,2.2444787489886926e-25,1.6287273053160333e-25,0.3780568064788359,1.1567789756989106e-25,1,False,300,False
tied_control,12.0,slip_110,1,12,0.08333333333333333,9.14451974775539e-25,1.0195807473230298e-24,-0.10310980549947868,2.2301288727548764e-25,11,False,300,False
tied_control,12.0,slip_110,2,12,0.16666666666666666,8.854198381086443e-25,1.28680768831255e-24,-0.31192528133731,4.280836190581922e-25,10,False,300,False
tied_control,12.0,slip_110,3,12,0.25,8.526244789552545e-25,1.092683457384956e-24,-0.21969672626344894,5.218205305588863e-25,9,False,300,False
tied_control,12.0,slip_110,4,12,0.3333333333333333,8.266294817533279e-25,1.1583231714691442e-24,-0.2863567766628694,4.349924972360571e-25,8,False,300,False
tied_control,12.0,slip_110,5,12,0.4166666666666667,8.113737842584777e-25,9.34117897808894e-25,-0.13140109384300414,3.645053277654598e-25,7,False,300,False
tied_control,12.0,slip_110,6,12,0.5,8.065236582325751e-25,1.2343440824923194e-24,-0.3465973793919058,1.0488318028437323e-24,6,False,300,False
tied_control,12.0,slip_110,7,12,0.5833333333333334,8.11373784258479e-25,9.34117897808894e-25,-0.1314010938430027,3.645053277654598e-25,5,False,300,False
tied_control,12.0,slip_110,8,12,0.6666666666666666,8.2662948175332825e-25,1.1583231714691442e-24,-0.2863567766628691,4.349924972360571e-25,4,False,300,False
tied_control,12.0,slip_110,9,12,0.75,8.52624478955256e-25,1.0926834573849559e-24,-0.21969672626344738,5.218205305588861e-25,3,False,300,False
tied_control,12.0,slip_110,10,12,0.8333333333333334,8.854198381086472e-25,1.2868076883125498e-24,-0.3119252813373077,4.280836190581927e-25,2,False,300,False
tied_control,12.0,slip_110,11,12,0.9166666666666666,9.144519747755453e-25,1.0195807473230296e-24,-0.10310980549947246,2.2301288727548764e-25,1,False,300,False
tied_control,12.0,transverse,1,12,0.08333333333333333,9.144519747755448e-25,9.54432281334097e-25,-0.041889097152778776,5.604293474382638e-25,11,False,300,False
tied_control,12.0,transverse,2,12,0.16666666666666666,8.854198381086426e-25,6.809068641993113e-25,0.30035381439401587,4.720363270708013e-25,10,False,300,False
tied_control,12.0,transverse,3,12,0.25,8.52624478955253e-25,6.904436982866038e-25,0.23489356347391532,5.43198426497633e-25,9,False,300,False
tied_control,12.0,transverse,4,12,0.3333333333333333,8.266294817533299e-25,1.3102139234220542e-24,-0.36908815653987603,7.505413010329206e-25,8,False,300,False
tied_control,12.0,transverse,5,12,0.4166666666666667,8.1137378425847875e-25,1.3487733774781016e-24,-0.39843579521449146,6.079796709107553e-25,7,False,300,False
tied_control,12.0,transverse,6,12,0.5,8.065236582325714e-25,1.1831538686827305e-24,-0.31832732869265934,9.68705991238627e-25,6,False,300,False
tied_control,12.0,transverse,7,12,0.5833333333333334,8.11373784258479e-25,1.3487733774781016e-24,-0.39843579521449124,6.079796709107553e-25,5,False,300,False
tied_control,12.0,transverse,8,12,0.6666666666666666,8.266294817533303e-25,1.3102139234220542e-24,-0.3690881565398757,7.505413010329206e-25,4,False,300,False
tied_control,12.0,transverse,9,12,0.75,8.526244789552545e-25,6.904436982866038e-25,0.23489356347391754,5.431984264976328e-25,3,False,300,False
tied_control,12.0,transverse,10,12,0.8333333333333334,8.854198381086457e-25,6.809068641993113e-25,0.30035381439402054,4.720363270708013e-25,2,False,300,False
tied_control,12.0,transverse,11,12,0.9166666666666666,9.14451974775551e-25,9.544322813340968e-25,-0.041889097152772004,5.604293474382638e-25,1,False,300,False
tied_control,16.0,normal,1,12,0.08333333333333333,2.244483021000542e-25,1.6287273053160335e-25,0.3780594293929571,1.156778975698911e-25,11,False,300,False
