first,second,test,comparison_radius,common_rows,maximum_vector_change_over_L0,rms_vector_change_over_L0
historical_R2_r3_zero,historical_R3_r3_zero,domain,1.5,10,0.019046130832671346,0.01367167642572902
historical_R2_r3_zero,historical_R3_r3_zero,domain,2.0,18,0.020421412771094532,0.01435865989134453
historical_R3_r3_zero,historical_R4_r3_zero,domain,1.5,10,0.013157582797689407,0.009284960978212202
historical_R3_r3_zero,historical_R4_r3_zero,domain,2.0,18,0.018127993398648946,0.011229805915323571
historical_R4_r4_zero,historical_R6_r4_zero,domain,1.5,10,0.00906115815068711,0.0069296373110409575
historical_R4_r4_zero,historical_R6_r4_zero,domain,2.0,18,0.012992230487769766,0.008284424240486917
historical_R6_r4_zero,historical_R8_r4_zero,domain,1.5,10,0.003456035543107872,0.0027241584633842944
historical_R6_r4_zero,historical_R8_r4_zero,domain,2.0,18,0.004729449265381582,0.003212186714014025
historical_R6_r6_zero,historical_R8_r6_zero,domain,1.5,10,0.003290036944483979,0.002610734585963566
historical_R6_r6_zero,historical_R8_r6_zero,domain,2.0,18,0.004444773642939309,0.0030580139436530217
historical_R4_r3_zero,historical_R4_r4_zero,ring,1.5,10,0.0008289692482164105,0.0005686832164609539
historical_R4_r3_zero,historical_R4_r4_zero,ring,2.0,18,0.0008673488124909302,0.0006336705750195704
historical_R6_r4_zero,historical_R6_r6_zero,ring,1.5,10,0.0008450828769739214,0.0005867354810567988
historical_R6_r4_zero,historical_R6_r6_zero,ring,2.0,18,0.0011150537155501456,0.0006970192655131324
historical_R6_r6_zero,historical_R6_r8_zero,ring,1.5,10,0.0001319723035729762,9.701645620323515e-05
historical_R6_r6_zero,historical_R6_r8_zero,ring,2.0,18,0.00017054595652426125,0.00011180316751240816
historical_R8_r4_zero,historical_R8_r6_zero,ring,1.5,10,0.0010641883493777615,0.0007288018820198133
historical_R8_r4_zero,historical_R8_r6_zero,ring,2.0,18,0.0014313418200900534,0.0008838018421353258
historical_R4_r4_zero,historical_R4_r4_25MPa,load,1.5,10,0.12817634207778159,0.06852339129930081
historical_R4_r4_zero,historical_R4_r4_25MPa,load,2.0,18,0.12817634207778159,0.05301520775752783
historical_R4_r4_zero,historical_R4_r4_50MPa,load,1.5,10,0.13042820879146022,0.07020465907784927
historical_R4_r4_zero,historical_R4_r4_50MPa,load,2.0,18,0.13042820879146022,0.054470732640938636
historical_R4_r4_zero,historical_R4_r4_unload,static_unload_from_saddle,1.5,10,0.12579491486085623,0.06680019549370306
historical_R4_r4_zero,historical_R4_r4_unload,static_unload_from_saddle,2.0,18,0.12579491486085623,0.051557784945587055
historical_R4_r4_mode_minus,historical_R4_r4_unload,zero_load_control_vs_old_unload,1.5,10,5.319607107817386e-08,3.081649594845917e-08
historical_R4_r4_mode_minus,historical_R4_r4_unload,zero_load_control_vs_old_unload,2.0,18,5.319607107817386e-08,3.087637297903633e-08
historical_R4_r4_mode_plus,historical_R6_r4_mode_plus,stable_domain,1.5,10,0.009101414305583368,0.006686984487834701
historical_R4_r4_mode_plus,historical_R6_r4_mode_plus,stable_domain,2.0,18,0.013722961125655318,0.007982712569632287
historical_R6_r4_mode_plus,historical_R6_r6_stable_plus,stable_ring,1.5,10,0.0010835617780401148,0.000636539586124659
historical_R6_r4_mode_plus,historical_R6_r6_stable_plus,stable_ring,2.0,18,0.0012740679762529017,0.0007499897740793306
historical_R4_r4_mode_minus,historical_R4_r4_stable25MPa,stable_load,1.5,10,0.003379869195946045,0.0022629461692695125
historical_R4_r4_mode_minus,historical_R4_r4_stable25MPa,stable_load,2.0,18,0.003704638336807208,0.0022635902204202448
historical_R4_r4_mode_minus,historical_R4_r4_stable50MPa,stable_load,1.5,10,0.006705612566291853,0.004476466428178466
historical_R4_r4_mode_minus,historical_R4_r4_stable50MPa,stable_load,2.0,18,0.0073759213012466645,0.004496655539888058
historical_R4_r4_mode_minus,historical_R4_r4_stable_unload,stable_static_unload,1.5,10,1.0143333419260795e-07,7.258224898396961e-08
historical_R4_r4_mode_minus,historical_R4_r4_stable_unload,stable_static_unload,2.0,18,1.0143333419260795e-07,6.178976119927479e-08
