case,model,radius,ring,shear_MPa,free_sites,energy_eV_per_row_period,force_residual,force_converged,winding,minimum_core_eigenvalue,elapsed_seconds,stationary_classification,physical_yield_validated
historical_R2_r3_zero,historical,2.0,3,0.0,18,0.9528316773646351,4.4393610901249936e-07,True,0.9999999999999999,,12.657470099999045,stability_unchecked,False
historical_R3_r3_zero,historical,3.0,3,0.0,40,0.9546300611380076,1.8634542802743737e-07,True,1.0,,20.307145700004185,stability_unchecked,False
historical_R4_r3_zero,historical,4.0,3,0.0,72,0.9619164717361712,2.687729288193552e-07,True,1.0,,23.85044619999826,stability_unchecked,False
historical_R4_r4_25MPa,historical,4.0,4,25.0,72,0.9912454201072644,2.259210461069694e-07,True,1.0,,114.82300589999795,stability_unchecked,False
historical_R4_r4_50MPa,historical,4.0,4,50.0,72,0.9916213994211102,2.3312246340626008e-07,True,1.0,,135.01494739999907,stability_unchecked,False
historical_R4_r4_mode_minus,historical,4.0,4,0.0,72,0.9920915047840186,1.8427447906130268e-07,True,1.0,0.6419648272059826,82.40455590000056,stable_fixed_boundary_candidate,False
historical_R4_r4_mode_plus,historical,4.0,4,0.0,72,0.9920915047839698,1.0176412219061598e-07,True,1.0,0.6419647231434287,87.5288270999954,stable_fixed_boundary_candidate,False
historical_R4_r4_stable25MPa,historical,4.0,4,25.0,72,0.9912454201072678,1.8656031804641093e-07,True,1.0,0.6545718920606075,60.82180069999595,stable_fixed_boundary_candidate,False
historical_R4_r4_stable50MPa,historical,4.0,4,50.0,72,0.9916213994210958,1.906086403366536e-07,True,1.0,0.6640066585330556,64.07636839999759,stable_fixed_boundary_candidate,False
historical_R4_r4_stable_unload,historical,4.0,4,0.0,72,0.9920915047839904,2.0400407319161318e-07,True,1.0,0.6419644164242143,78.30338740000298,stable_fixed_boundary_candidate,False
historical_R4_r4_unload,historical,4.0,4,0.0,72,0.9920915047840038,4.0043033116849563e-07,True,1.0,0.6419644966492581,157.4757288999972,stable_fixed_boundary_candidate,False
historical_R4_r4_zero,historical,4.0,4,0.0,72,1.0010854698917662,2.9559873926388036e-07,True,1.0,-0.8331097205767894,45.597271500002535,saddle_not_admissible_initial_core,False
historical_R6_r4_mode_minus,historical,6.0,4,0.0,158,1.0325384435717995,1.6232754359267465e-07,True,1.0,0.39776182695344986,163.03001309999672,stable_fixed_boundary_candidate,False
historical_R6_r4_mode_plus,historical,6.0,4,0.0,158,1.0325384435718639,2.3752385140338172e-07,True,1.0,0.3977617687754716,157.2051754999993,stable_fixed_boundary_candidate,False
historical_R6_r4_zero,historical,6.0,4,0.0,158,1.0417602175825535,1.7677296501334566e-07,True,1.0,-0.7423016609803407,140.0257860999991,saddle_not_admissible_initial_core,False
historical_R6_r6_stable_plus,historical,6.0,6,0.0,158,1.0860178009170123,1.9433914570481103e-07,True,1.0,0.40456732199185674,285.15196060000017,stable_fixed_boundary_candidate,False
historical_R6_r6_zero,historical,6.0,6,0.0,158,1.0953440083178778,1.5132905716030987e-07,True,1.0,,522.0504169999986,stability_unchecked,False
historical_R6_r8_zero,historical,6.0,8,0.0,158,1.1382028982076173,2.5658574028669667e-07,True,1.0000000000000002,-0.7540561858232384,810.8819186999972,saddle_not_admissible_initial_core,False
historical_R8_r4_zero,historical,8.0,4,0.0,286,1.084628850759171,1.0493432061357486e-06,True,1.0000000000000002,,427.88106620000326,stability_unchecked,False
historical_R8_r6_zero,historical,8.0,6,0.0,286,1.1314981790288055,1.3845376772500528e-07,True,1.0,-0.713218914186421,751.9849767999985,saddle_not_admissible_initial_core,False
range_R4_r4_zero,range,4.0,4,0.0,72,0.7811742225687397,1.3072772365313456e-07,True,1.0,-1.0281912949489176,67.84181099999842,saddle_not_admissible_initial_core,False
