j,l,ux,uy,uz
-4,0,-0.47580482244193695,-0.010968387371488805,-0.0014128590461130357
-4,1,0.4800254413662942,-0.0024837755792527835,-0.00192492429867038
-4,2,0.4489710813004588,-2.6701008703692102e-05,-0.0005863878738735371
-4,3,0.42718959694916153,0.0006139950515699548,0.0009685450249766853
-4,4,0.41098227576891666,0.00036720077904377945,0.0009428740512414733
-3,-2,-0.362650695761179,-0.004862527763184527,-0.004563177086829773
-3,-1,-0.4056721117826955,-0.01433206163574577,-0.008422664675323396
-3,0,-0.4575358111900817,-0.02920945826557258,-0.008682947456555238
-3,1,0.4721755956078458,-0.0057393908745737715,-0.004654642012630657
-3,2,0.4326042597138388,-0.0006294315613017357,0.0006116113113474806
-3,3,0.4096752137072066,0.0009976617116550601,0.003808394854275318
-3,4,0.39436333800706636,0.0008482440141533603,0.002875387168843468
-3,5,0.38270983120135116,0.00015480130163059855,0.0009341350502188582
-2,-3,-0.2893098563888939,-0.003686863045304629,-0.006011784728915698
-2,-2,-0.3208930445730979,-0.01288353225732125,-0.016052683068861744
-2,-1,-0.363004590953313,-0.02960848004736653,-0.024002017103242235
-2,0,-0.4277125754567358,-0.048507342004850865,-0.019373262251035472
-2,1,0.45492405028638105,-0.004398895414727679,-0.004634867075227091
-2,2,0.4075129061316742,0.0006748819870571813,0.007269864275080155
-2,3,0.3854246727648997,0.002500253463730142,0.010754320321316138
-2,4,0.3724698446320455,0.0025837847648084583,0.00602320035858355
-2,5,0.36314686844743066,0.0010446467889425233,0.001964427765816475
-1,-3,-0.24539330340407167,-0.00706010641129833,-0.012841612190749757
-1,-2,-0.26886545475745977,-0.018724243667968293,-0.0298252388774128
-1,-1,-0.3016014799021779,-0.036839276809250324,-0.04396860269392359
-1,0,-0.36693594171265576,-0.056252542253505115,-0.03422007045781749
-1,1,0.40932487072300516,0.007520429289708598,0.0007014190770630856
-1,2,0.364784679262913,0.0068914421036877695,0.023332851203106283
-1,3,0.3488441022698497,0.008340404943016631,0.020340309326803696
-1,4,0.3420406541871364,0.006120378307843428,0.010620621549936137
-1,5,0.3380277560749,0.00214814395119916,0.0036694839711045165
0,-4,-0.1932137830422772,-0.0021997040431440203,-0.0050732736555533535
0,-3,-0.19966924871702452,-0.008918838027227363,-0.016298649790812768
0,-2,-0.2072053046083887,-0.017125431234874124,-0.032253377717971536
0,-1,-0.213820893062239,-0.026522054474068857,-0.045908018595624246
0,0,-0.2171064840368056,-0.03345394867180536,-0.03165914596704492
0,1,0.28289351605331875,0.03345394846923461,0.03165914582446702
0,2,0.2861791069890188,0.02652205496623176,0.045908018968798626
0,3,0.29279469538876346,0.01712543050386644,0.03225337717769734
0,4,0.3003307513042151,0.008918838635691538,0.01629865024651953
0,5,0.30678621695490327,0.002199703739274705,0.005073273408268838
1,-4,-0.16197224393516135,-0.002148143622239225,-0.00366948374329957
1,-3,-0.1579593458023028,-0.0061203788303790165,-0.010620621920140589
1,-2,-0.1511558977544563,-0.008340404449107918,-0.020340308983682484
1,-1,-0.1352153207428398,-0.006891442364951502,-0.023332851394488388
1,0,-0.09067512930410751,-0.007520429361977072,-0.0007014191142818059
1,1,0.1330640583223999,0.05625254269583822,0.034220070753840176
1,2,0.19839852010649958,0.036839276049704044,0.043968602142366746
1,3,0.23113454526050534,0.018724244503313975,0.029825239489138424
1,4,0.25460669659329194,0.007060105848907545,0.012841611787709116
2,-4,-0.1368531315469528,-0.0010446470519542928,-0.001964427941616246
2,-3,-0.12753015537937243,-0.0025837844047832776,-0.0060232001100851695
2,-2,-0.11457532722869161,-0.002500253755808234,-0.010754320514160833
2,-1,-0.09248709387514585,-0.0006748819344576826,-0.0072698642394830185
2,0,-0.04507594972857626,0.004398895641621526,0.004634867241054352
2,1,0.07228742454776263,0.0485073413863563,0.019373261861492706
2,2,0.13699540905731308,0.02960848084586342,0.024002017671737808
2,3,0.1791069554288953,0.012883531552881133,0.016052682571969294
2,4,0.2106901436142873,0.003686863417229133,0.006011785010458727
3,-4,-0.11729016880179492,-0.0001548011496457767,-0.0009341349453864621
3,-3,-0.10563666198802782,-0.0008482442211551625,-0.0028753873064252026
3,-2,-0.09032478629743196,-0.000997661589130906,-0.0038083947774248143
3,-1,-0.06739574029069872,0.0006294316281425146,-0.0006116112592250027
3,0,-0.027824404384522352,0.0057393905837453485,0.004654641793051209
3,1,0.04246418880799452,0.0292094588286766,0.00868294780450887
3,2,0.09432788822143766,0.014332061101970656,0.008422664291772774
3,3,0.1373493042403668,0.0048625281485825175,0.004563177345595999
4,-3,-0.08901772423292065,-0.00036720070125340206,-0.0009428740090514436
4,-2,-0.0728104030500464,-0.0006139950802067519,-0.0009685450335315468
4,-1,-0.05102891869772327,2.6700922006937458e-05,0.0005863878057344472
4,0,-0.01997455864154434,0.002483775779996293,0.0019249244501169445
4,1,0.024195177560585483,0.01096838707379418,0.0014128588850176199
