j,l,ux,uy,uz
-4,0,-0.475608215939739,-0.011984477803986749,-0.0011054452181104588
-4,1,0.48126619735104986,-0.005831168153269339,-0.0017156489429883826
-4,2,0.4498559608969995,-0.0026088399143441394,-0.0007517520148174202
-4,3,0.427800651730129,-0.0008371173193239473,0.00039326297478085967
-4,4,0.4112983530440731,-0.00015876190739311368,0.0003563337914382165
-3,-2,-0.3617867284219724,-0.005971184587831478,-0.0049157999814921
-3,-1,-0.40539775841619735,-0.01657150638727414,-0.008479425467826129
-3,0,-0.4578193727022906,-0.032775946696859584,-0.008051224986503455
-3,1,0.4751422351288188,-0.014471872859478164,-0.003871940630306957
-3,2,0.4346623501753481,-0.006486349024856471,0.000518995106235282
-3,3,0.4109357282532501,-0.0017253939311636444,0.002311475691606374
-3,4,0.3949349752311516,0.0004244295447250571,0.0007808252057490447
-3,5,0.38285166382939556,0.0004383966646201358,-0.0001504164152405676
-2,-3,-0.28699600694900396,-0.004679551634590992,-0.006908269856931121
-2,-2,-0.3174050327432977,-0.015457390801171166,-0.017844806078833313
-2,-1,-0.36081530468025824,-0.033396031641498646,-0.025653677338416597
-2,0,-0.42869148462695555,-0.05309496628681791,-0.019753370874906223
-2,1,0.4590687743642811,-0.016723677960745597,-0.004220902275512001
-2,2,0.4092230699914149,-0.004544134027414401,0.00647770574708171
-2,3,0.38563130119300343,0.00226240796929314,0.006448922058545945
-2,4,0.3721127897182685,0.003542165198735696,0.0028481709574990407
-2,5,0.36292015952355516,0.0018879080506141721,0.0005897986623213591
-1,-3,-0.23853168311042597,-0.007499160783192028,-0.013152346022956974
-1,-2,-0.25692863977444447,-0.01877317939936373,-0.030582922389555463
-1,-1,-0.2872812641420421,-0.03443469724881323,-0.044960950044037586
-1,0,-0.35851097511096613,-0.04975345001592451,-0.03603019618896931
-1,1,0.40689013074456537,0.0017256623887516621,-0.0010893686315952248
-1,2,0.356342503943896,0.010769119406921882,0.015315257394872458
-1,3,0.3418645204968437,0.011159384161433207,0.014612261409131504
-1,4,0.3378919675385683,0.008186625320120247,0.008156059156894036
-1,5,0.33646232828093187,0.0032972381161423974,0.003010068407281346
0,-4,-0.1877560673256644,-1.8295605182978566e-05,-0.0010964739823547086
0,-3,-0.18448304878629002,-0.0037781308344257292,-0.006537830957438807
0,-2,-0.17794622773216917,-0.006318339155182998,-0.014537321341538947
0,-1,-0.15957820543102733,-0.005880442547138802,-0.017323674151153712
0,0,-0.10044218413015231,0.003734987276856884,-0.0020795820747030163
0,1,0.16306190181026567,0.054400670563320534,0.03842571349262543
0,2,0.23617476790821657,0.04084051767966234,0.04902620913923189
0,3,0.2679381036553546,0.02497396264384789,0.035688527708855895
0,4,0.2885469588035409,0.012799355819034061,0.019477058122255145
0,5,0.3031347871997093,0.0037089740951216257,0.006973391662237693
1,-4,-0.15734041494497475,0.0006443181553509819,-0.0007220347212530931
1,-3,-0.14631639171271393,-9.528108984237681e-05,-0.003879403760311386
1,-2,-0.1300203659341857,0.0018705214946439933,-0.00915288351898084
1,-1,-0.10172647353112066,0.009630062191545077,-0.010570990885724748
1,0,-0.04267072325455394,0.021424179238809363,0.0028525445955569677
1,1,0.08937936326035047,0.05999279119039626,0.022566022539325884
1,2,0.16498431346360518,0.041789811639499734,0.030525502065274712
1,3,0.21158807950121636,0.021609876620206064,0.02260968165746263
1,4,0.24579628787495716,0.008058087456999187,0.010425249043789268
2,-4,-0.13413653934761885,0.0013486353612683593,-0.0004667178418140187
2,-3,-0.12059674615837798,0.002181404500126031,-0.0024229538274082828
2,-2,-0.10213403121046168,0.005015993574421835,-0.005113385466689433
2,-1,-0.07377382790932752,0.01033219796085926,-0.0029225792650801707
2,0,-0.02442916849527457,0.019261212242544158,0.0037771243716770075
2,1,0.058123665113650934,0.042186225703529937,0.011280356485250892
2,2,0.12050188332348273,0.02784586219438992,0.013627868671602528
2,3,0.16808389805519824,0.012819317119757692,0.009757171783749415
2,4,0.20607102687710452,0.003638925771305171,0.003926267994023453
3,-4,-0.11613643960229746,0.0010130579729121594,-0.0003467652449983866
3,-3,-0.10215901902956735,0.0016733921360709688,-0.0013416663681756922
3,-2,-0.08380828089806151,0.002851618544307482,-0.0016831794590819868
3,-1,-0.0577522706597978,0.00563309624894056,0.0004544434970250054
3,0,-0.01837509353850672,0.011102319377903881,0.003455067005001448
3,1,0.03832923223417388,0.022690646173509868,0.004864502569753756
3,2,0.08803316621569207,0.012165630430372618,0.004212450101834987
3,3,0.13318054281205935,0.0044891001285092295,0.0024183711921888116
4,-3,-0.08789337406902871,0.0004161035903736566,-0.0006402607416873473
4,-2,-0.07032676391923087,0.0006980479813007071,-0.0004705168012892885
4,-1,-0.047202965480264425,0.001733514364162895,0.0006240332630915649
4,0,-0.016102811291075183,0.004036217620642012,0.0012960946081319303
4,1,0.023826138052976648,0.007803455773639599,0.0007521772023998529
