j,l,ux,uy,uz,gx,gy,gz
-4,0,-0.47560821161530525,-0.011984479831925642,-0.0011054509842333034,6.7879660052561075e-09,-1.4788372998397747e-08,1.8099279023436887e-08
-4,1,0.48126621463143876,-0.005831166841279845,-0.0017156602599421899,2.7403033800443843e-09,-3.0391995864409438e-09,3.461767709902336e-08
-4,2,0.4498559844705669,-0.0026088385393553135,-0.00075176520221901,-9.763456394057402e-09,1.0191747827625885e-09,-9.257732842479771e-09
-4,3,0.4278006653561312,-0.0008371168011526022,0.0003932538556020671,9.86767212819012e-09,-8.845270318275089e-09,-4.7214281245940015e-08
-4,4,0.41129835022742667,-0.00015875770786907107,0.00035632815708755406,-4.08078608981656e-08,5.1115146398102856e-08,-2.5760872256544443e-08
-3,-2,-0.3617867490293429,-0.005971187245706626,-0.004915797563174207,-2.6696768968235973e-08,-4.735790097229464e-08,8.86938906000112e-09
-3,-1,-0.40539777609991917,-0.016571505708681374,-0.008479427011986791,-2.7445184520857868e-08,-2.3652288183573233e-09,2.263209123234966e-08
-3,0,-0.45781938067260364,-0.032775944121624274,-0.008051232990406235,-4.1410401288577425e-08,3.04662318359461e-08,2.5120231728070763e-08
-3,1,0.4751422474487906,-0.014471864717585096,-0.003871953211282791,3.3285338495864236e-08,-1.0098155145410459e-08,-1.383776880928278e-08
-3,2,0.4346623761817566,-0.006486337140692769,0.0005189846350729156,4.543801869656694e-08,1.822456506886394e-08,-4.293507659472451e-08
-3,3,0.41093573495215957,-0.0017253848800496843,0.0023114677983350476,-3.0888837661063526e-08,3.416746989720956e-08,-3.0573893503721417e-08
-3,4,0.39493496836950226,0.0004244374539374071,0.0007808234027286366,-5.0820641805948696e-08,3.628725811326283e-08,-1.1235614471791222e-08
-3,5,0.38285165951378575,0.0004383972834047148,-0.00015041420189542957,-1.1947637820926282e-08,3.2420678848163464e-08,3.330216646457024e-08
-2,-3,-0.28699601050393586,-0.004679551947835723,-0.006908271311707429,3.648739849669569e-08,-5.385252660285492e-08,-1.5383310389416316e-08
-2,-2,-0.3174050540294923,-0.015457391289878445,-0.01784481021097027,-4.442082267297476e-08,-1.1055600802889476e-08,1.7476675617106308e-08
-2,-1,-0.3608153152898477,-0.03339602273839444,-0.02565368471674433,4.2055132962008634e-08,1.546150596443141e-09,-3.524891867973112e-08
-2,0,-0.42869149765846926,-0.05309496316157199,-0.01975337718735409,9.887248200723953e-09,3.078057983496585e-08,-7.279097324897066e-09
-2,1,0.4590687582271319,-0.016723659953125025,-0.004220905076002361,5.2053391908684146e-08,1.910048716413648e-08,-1.4333187831061522e-09
-2,2,0.4092230700518275,-0.004544110300267939,0.006477699934923828,4.96407058492819e-08,3.666027571444519e-08,-3.531651656882295e-08
-2,3,0.38563129025702636,0.002262419251480128,0.006448916897756573,-3.227630769250811e-08,-1.10560405674337e-08,-4.176024652469135e-08
-2,4,0.37211278282877414,0.0035421674935544084,0.002848171203174228,-2.930396182654338e-09,2.2159053744696955e-08,-4.188762902507248e-09
-2,5,0.36292016014230544,0.0018879052503612728,0.0005898001063940255,5.3223509401817415e-09,1.43351189451843e-08,3.507820492409941e-09
-1,-3,-0.23853169479467004,-0.007499157851084272,-0.013152348603869409,-1.2649283773202846e-08,-7.984486422724091e-10,-1.3483030247840588e-08
-1,-2,-0.25692866829263583,-0.018773168590100947,-0.03058292487813518,-5.407730964412938e-08,-1.786381450402663e-08,-7.177062994953576e-08
-1,-1,-0.28728128286040744,-0.03443468614788787,-0.04496095366899664,3.5449310292756664e-08,4.908594328223437e-08,-1.613807466827044e-08
-1,0,-0.3585109947202274,-0.0497534528207601,-0.03603019244593621,1.4207505598536584e-08,1.221875112200621e-08,2.26200033426327e-08
-1,1,0.40689007738648236,0.0017256834229473568,-0.001089365173739401,3.424370844225472e-08,1.1225663842928668e-08,2.1667434013661335e-08
-1,2,0.3563424700447802,0.010769139534909471,0.015315255048641414,-2.963135066307021e-08,5.3481807024691186e-08,1.6582689943422935e-09
-1,3,0.3418644986791264,0.011159388464618206,0.014612255473095064,-1.9078094614516372e-08,-2.8126205228566625e-08,-4.3696750384736305e-09
-1,4,0.3378919615242914,0.008186618891825299,0.008156051105218626,3.9261815971969316e-08,2.1659200209397933e-08,2.4608425436278836e-08
-1,5,0.3364623374235061,0.0032972321815923802,0.003010061675688442,7.713642393228359e-08,-2.0332967382713507e-08,-5.025697386029648e-09
0,-4,-0.18775605792062747,-1.829530006963071e-05,-0.0010964764204036328,1.8105627472980723e-08,1.0130537820077223e-08,-6.085475894035408e-09
0,-3,-0.18448304874315047,-0.003778125383795192,-0.006537837972437236,1.0022022167016642e-08,1.674808884806478e-08,-2.7821817252804415e-08
