j,l,ux,uy,uz,gx,gy,gz
-4,0,-0.4719433150215198,-0.00771848252425743,-0.0007227208659043909,-3.019610663249073e-08,-2.460200292098147e-08,-3.147785108958967e-08
-4,1,0.49066883718389764,-0.00432397057439931,-0.0013140294830567003,1.033768340374941e-08,-2.7825975437018036e-08,-7.399522408647538e-09
-4,2,0.4618247513436742,-0.002059153361200926,-0.0007230415474754268,7.383446021594353e-08,-8.630358772077074e-08,-1.0997618000302412e-08
-4,3,0.44084168304641763,-0.0009468175464198945,0.000323807772742268,-3.951567791558863e-08,2.6432041288354524e-08,2.826589150239922e-08
-4,4,0.4253522844108801,-0.0005587852736912143,0.0005372393457821418,-7.923372908821835e-08,-4.6852314418768803e-08,-7.400457530289117e-08
-3,-2,-0.3684651282569214,-0.0043922327836355595,-0.002276030581696912,7.772396963274392e-08,2.8599127125522594e-08,-1.622677310770572e-08
-3,-1,-0.4115923832047745,-0.012004424773867498,-0.003979684199908048,6.311621817377266e-08,-4.4561294824246866e-08,-3.5304190253507284e-08
-3,0,-0.4590293264624407,-0.022537333672210374,-0.004711979554150829,1.9740703367104873e-08,-6.695519904481584e-08,2.751586793831029e-08
-3,1,0.4873743605394219,-0.01178010308831361,-0.0035331525979551853,-7.327083793862155e-08,-3.100104523090508e-08,9.630797327513096e-08
-3,2,0.45034519050974664,-0.006324592811033363,-0.0007417855999225911,-6.453597657662957e-08,-9.414394154874661e-08,8.41038903720212e-08
-3,3,0.42635670796945097,-0.0033617965422198057,0.0012924085827804384,-9.151530879457359e-08,-1.0882353039011472e-07,-3.9893179804711965e-08
-3,4,0.4099519532317367,-0.001979830944520225,0.001010908275512773,-7.584326678917574e-08,1.2772220453613134e-07,5.583535867036485e-08
-3,5,0.3979240601654398,-0.0011240518412303563,0.00018257824849931238,-2.6608521535870927e-08,-1.0048936606530529e-07,-8.916419658513974e-08
-2,-3,-0.2989937840903407,-0.003546163635360935,-0.0037694544432449214,2.8446498582038182e-08,-3.654456998385819e-08,7.26907954662348e-09
-2,-2,-0.33513412180359775,-0.012625072779188133,-0.009395268351204807,3.481720008656486e-08,3.946113131224338e-08,-1.7523047908529765e-09
-2,-1,-0.3808487412304254,-0.02761088967903734,-0.013163159956959963,-1.4559952713974478e-08,1.6612060221334046e-08,2.8682785545991463e-08
-2,0,-0.4408859295433413,-0.04206378902284364,-0.011061696728131306,3.6956587443071065e-08,7.846601242540718e-08,6.079270066516873e-08
-2,1,0.4804775639187214,-0.020407864100587824,-0.004041395811590304,-3.659775815387234e-08,-1.3481831789841081e-08,8.846090526759554e-09
-2,2,0.43350865372745895,-0.011330425159089297,0.0023114287075856068,-8.855183840708603e-08,4.507484011040397e-08,5.4963002163455066e-08
-2,3,0.40706648481930746,-0.005686055607902532,0.004360262235543631,-2.19732544811356e-09,4.848502386470971e-09,2.782139805362384e-08
-2,4,0.3903717377468775,-0.002577406672044317,0.0018462736161018994,-3.4517544017509394e-08,-1.0761118753206678e-07,-8.549995797295373e-08
-2,5,0.3786575240793727,-0.0015277404518236645,0.00019190987431137312,-6.707165589505543e-08,9.928626392569084e-08,5.429507226976937e-08
-1,-3,-0.2606787644616843,-0.00791812623423813,-0.010238869350908293,3.9955732833441004e-08,-6.945900122689447e-08,1.3009418525083971e-08
-1,-2,-0.2931313832194634,-0.021431887604927532,-0.022202970403650685,-9.200188716765312e-09,1.6908592961537017e-08,-3.412664321966741e-08
-1,-1,-0.33809284010493174,-0.04169316737015807,-0.029986224766177256,-1.1216571592495214e-07,-3.6235297803943745e-08,7.917906653942541e-08
-1,0,-0.41153812762110664,-0.060121037627570276,-0.022360781219334238,-7.565428880584868e-09,-9.227816274992584e-08,-3.3966060061785264e-08
-1,1,0.46165217209214726,-0.02300194731440688,-0.00342225521112135,6.476607050730047e-08,1.2664964990638516e-07,1.1451052615851776e-07
-1,2,0.4047893908895477,-0.010708369983242998,0.009410709023845576,-1.0955892547456943e-08,-1.243636363222264e-07,-4.594646647523848e-08
-1,3,0.37814632237796414,-0.0025757225591250513,0.008022930570335356,2.5235936375322954e-08,2.2953720710608416e-08,5.914851500254947e-08
-1,4,0.3634495957835265,-0.00031286172067064127,0.003101754170842294,1.4716359901523202e-08,1.3669681953216994e-09,8.996260884158724e-08
-1,5,0.3541527168494415,-0.0008272541318756993,0.00036355518964511217,-1.288695448443955e-08,-1.047248969080275e-07,1.4205472766842808e-08
0,-4,-0.2067007506050473,-0.003661375362359999,-0.0069564701140741305,4.448436093790198e-08,-4.116338148379278e-08,-5.993987373109633e-08
0,-3,-0.21929589781008355,-0.012698603929048511,-0.019443900160208295,1.467308061164907e-08,-1.5949910715101767e-08,-1.295136692336385e-08
0,-2,-0.23818104108998742,-0.024964594861629507,-0.03560890815674825,1.1136862203275921e-08,-1.6851085041236225e-09,-9.446720762584793e-08
0,-1,-0.26853405322630586,-0.04106761629126131,-0.048926997049979486,-5.198355002011823e-08,-2.3860310310874766e-08,6.96809464711956e-08
0,0,-0.3405374300427553,-0.05498160513709306,-0.03866187529625966,-8.492678100699425e-09,3.766512779446174e-08,7.44163616006599e-08
0,1,0.40369729394764536,-0.005289250692834303,0.0006277982421479237,7.693534797995408e-08,-2.944114455005753e-08,-6.604985508529282e-08
0,2,0.34595545292887586,0.004830251571046647,0.015676937747097146,2.4108856488627315e-08,1.1853430786912256e-07,5.965081878445133e-08
0,3,0.32895654490759524,0.005697535134298672,0.013332330225214618,-5.9062909361917715e-08,-9.41544484583251e-08,-4.9366865900735135e-08
0,4,0.3239228876057171,0.003486168005799145,0.00579347334369115,-7.331759904402602e-08,-2.2646644103410662e-08,8.303135173859388e-08
0,5,0.32236565775269893,-0.00010795256072475195,0.0007741845365315723,-3.0281407902010837e-09,7.961909572612447e-09,2.8879919664048792e-08
1,-4,-0.17487584798095432,-0.003307850500537197,-0.003180705600857609,-2.273792306002609e-08,5.243237544312607e-08,-1.9204779882694978e-08
1,-3,-0.1715262841410288,-0.008257660202765816,-0.008523589887157373,2.664205869806757e-10,-1.0091209112078614e-07,-7.159874679946165e-08
1,-2,-0.16572523729649571,-0.011395721779403498,-0.015111424071474405,9.618685577195141e-08,4.4267167551362285e-08,6.375552511622695e-08
1,-1,-0.1492600219752954,-0.011189468988878867,-0.015912425731416685,9.552952752716476e-08,-9.48667581365803e-08,2.2817006589681554e-08
1,0,-0.0960115819215238,-0.0020811991092372904,0.0004320088390503156,1.2365218204652556e-07,-5.0777798021872655e-08,2.9259243305990168e-08
1,1,0.14131259742599048,0.04919378492286102,0.03571653936973987,4.575472826334227e-08,9.55313583794748e-08,7.792927264604899e-08
1,2,0.21506261327499482,0.03427940706344831,0.04488514612053873,5.5191717057700984e-08,-1.6184594972545874e-07,9.642564705036882e-09
1,3,0.2474757694188119,0.0188283402343214,0.03061067883241911,3.5232343015279e-09,3.1713954136425304e-08,1.0888773613673686e-07
1,4,0.2678689626152499,0.007587307279598884,0.013175207388039532,-6.669700406553014e-08,-9.887268975772301e-08,1.944527262126572e-08
2,-4,-0.14977538370224397,-0.0019320513268368132,-0.0008066562762108095,-5.8192278698868116e-08,-6.377876195923227e-10,3.775665464306188e-09
2,-3,-0.1386125497646214,-0.003666745044254565,-0.00329190034327608,-8.14295879891791e-08,1.0255801913532786e-07,1.906086403366536e-07
2,-2,-0.12315534203038579,-0.0024820123724287884,-0.007050122497788059,-6.839086016258156e-08,-5.8669543142111924e-08,3.1029154259898384e-08
2,-1,-0.09750669654711558,0.00426958088401149,-0.0071336559255358025,-1.2021203281745683e-07,6.42005113776073e-08,7.100002873475231e-08
2,0,-0.045284196156777014,0.01639681409075774,0.003805956276229825,4.894687185880327e-08,-2.2546282549273933e-08,4.323693543473173e-08
2,1,0.06977858769205726,0.053033425304156515,0.01970418758088222,9.573613810043291e-08,-1.1613920547492995e-08,5.1807238499179675e-08
2,2,0.13990510669413234,0.03358067064124058,0.025858072646394913,-5.923404093610696e-09,-6.151055595426946e-09,1.1519473133714264e-07
2,3,0.18540047790052444,0.01569629968810521,0.018083393773133036,2.9742044578041915e-08,-7.709244722112207e-08,1.2168500707065988e-08
2,4,0.21789448364361508,0.004805013769550101,0.007036924695774994,4.9394301553443154e-08,-1.798011827240046e-08,4.089003853569029e-08
3,-4,-0.13116080826351184,-0.00047366943644586975,-1.855076523202453e-07,-4.676381186192319e-08,7.138682601819102e-08,5.2630186510999044e-08
3,-3,-0.1170498295151416,-0.0005293463817763256,-0.0010913966826734038,8.521721214099776e-09,-8.320224435115486e-08,-1.1756442807112077e-08
3,-2,-0.0990284677253345,0.0015679494288112644,-0.0027313981151228326,-3.063196425874028e-08,6.615782731714259e-08,4.97406349075284e-08
3,-1,-0.07316583683823458,0.0062391074785834374,-0.0008841162413012791,-4.8982674479003396e-08,-1.1128727130799154e-08,1.5532088361996932e-08
3,0,-0.03038302855712309,0.014192243743132599,0.0036517501343174704,5.8148044761174855e-08,-8.585430274349326e-08,6.293748804064858e-08
3,1,0.039357404470166085,0.032821900620346726,0.00804007547480766,3.15526577018832e-08,4.607112140744829e-08,3.851674397481464e-08
3,2,0.09394652562218253,0.016713473492528882,0.008603934429020868,7.935924681290452e-09,-5.626941010708486e-08,7.022492896999882e-08
3,3,0.1396763687291187,0.0060993126097004195,0.00501956143142335,2.6540330555664682e-08,-2.1924749404877986e-08,3.653059808643444e-08
4,-3,-0.10191480471969672,0.00010903646682464826,-0.00047629276302439493,-3.303702702183407e-08,3.738911671978887e-08,1.1912346106280128e-08
4,-2,-0.08330215568981986,0.0007380790094532724,-0.0005618180327654778,-6.883639118914972e-08,1.2298154572834563e-08,6.060644256030909e-08
4,-1,-0.05906901934883307,0.002457588173298578,0.0006148547635271498,-2.3548951694901676e-08,-4.93119871325387e-09,3.890299093804728e-08
4,0,-0.0254073949238105,0.005676848388685468,0.0016360913679448906,-1.393287800410814e-08,3.0156344851817174e-08,9.29519807643317e-08
4,1,0.02016654453685436,0.012016269855227722,0.0010915735493639892,-4.8372089417325626e-08,4.252097729473547e-09,-2.7792726269709744e-08
