j,l,ux,uy,uz
-4,0,-0.4761738387849275,-0.007803444612452682,-0.0007521785011300717
-4,1,0.4838972148975007,-0.0040362011530755615,-0.0012960865110732377
-4,2,0.4527970548973106,-0.00173349595577666,-0.0006240256168472121
-4,3,0.42967324491574954,-0.0006980298098790833,0.00047052404398680866
-4,4,0.4121066264985585,-0.00041609520253032195,0.0006402551491552557
-3,-2,-0.3668194412440313,-0.004489092551726566,-0.0024183695780156497
-3,-1,-0.4119668169089106,-0.012165610345431085,-0.004212444604954202
-3,0,-0.4616707389397619,-0.022690626492246787,-0.004864498765343647
-3,1,0.48162492693172004,-0.011102280704863732,-0.003455049732706945
-3,2,0.4422477467515592,-0.00563304574834816,-0.0004544206006876116
-3,3,0.4161917320190551,-0.002851598338612642,0.001683188068112844
-3,4,0.3978409816690852,-0.0016733584267511494,0.0013416785550505184
-3,5,0.3838635643879623,-0.0010130447435307657,0.0003467618289897791
-2,-3,-0.29392894722962415,-0.003638920795124297,-0.003926251695843315
-2,-2,-0.3319160492685738,-0.012819278847760645,-0.009757145579508792
-2,-1,-0.3794980548945111,-0.027845839145500297,-0.013627861309470732
-2,0,-0.4418762752480851,-0.04218618333235998,-0.011280345046505588
-2,1,0.47557085152235956,-0.019261151918344124,-0.0037771142901968768
-2,2,0.42622618101829934,-0.010332149269200848,0.002922594943637553
-2,3,0.39786599093643754,-0.005015952469999554,0.0051134117875707335
-2,4,0.3794032637331353,-0.002181374432466469,0.00242295890709957
-2,5,0.3658634605650538,-0.0013486054948049803,0.00046672385873897364
-1,-3,-0.2542036975278337,-0.008058069463832893,-0.01042523849787903
-1,-2,-0.28841187107812066,-0.021609838528600094,-0.022609685835607133
-1,-1,-0.3350156003140465,-0.04178976328030444,-0.03052550863108202
-1,0,-0.4106205513812037,-0.05999275341629757,-0.022566039502625947
-1,1,0.4573292604671056,-0.02142410647530715,-0.0028525372721718567
-1,2,0.3982735026852182,-0.009630005987431519,0.010571018778513753
-1,3,0.369979637151055,-0.001870484101229295,0.009152894329656555
-1,4,0.3536836331286186,9.532478389721881e-05,0.0038794104776301084
-1,5,0.34265960454893046,-0.0006443034226118853,0.0007220308273139896
0,-4,-0.19686519498784957,-0.0037089630679453477,-0.006973392649166622
0,-3,-0.21145302281059836,-0.012799320428825017,-0.01947706075457086
0,-2,-0.23206184741306463,-0.02497389870453472,-0.03568853107962868
0,-1,-0.26382512843022105,-0.040840470191047404,-0.049026223180056915
0,0,-0.33693795802029747,-0.0544006160749558,-0.038425718992719446
0,1,0.3995577059525529,-0.0037349123967142937,0.002079612720467442
0,2,0.3404217175737861,0.005880493516580822,0.017323692900731987
0,3,0.32205373945779187,0.006318386569331355,0.01453732235558269
0,4,0.31551694257957297,0.003778151741764317,0.006537814460363337
0,5,0.312243930224242,1.830489389866499e-05,0.0010964665686882585
1,-4,-0.16353765813726168,-0.003297213638747234,-0.003010076050131194
1,-3,-0.16210802431343366,-0.008186580549390978,-0.008156087763816124
1,-2,-0.1581354785189635,-0.011159333348275235,-0.014612308371745134
1,-1,-0.14365749664261873,-0.010769092396605676,-0.015315328237251808
1,0,-0.09310994358323725,-0.0017256634472494403,0.0010892911193860926
1,1,0.14148899136033938,0.04975347981325897,0.03603012564914076
1,2,0.21271871688440497,0.03443470879467652,0.04496090311673215
1,3,0.24307134698624763,0.018773199057976298,0.03058288146702471
1,4,0.26146831331946213,0.0074991733906261205,0.013152322180542486
2,-4,-0.13707981661626617,-0.0018878880690272395,-0.0005898222383320642
2,-3,-0.12788717316748208,-0.003542125266040409,-0.0028482219434001997
2,-2,-0.11436867792768994,-0.0022623877311691147,-0.006449006714160952
2,-1,-0.09077691589981762,0.004544139811057559,-0.006477802089372301
2,0,-0.040931261298824746,0.016723651633816495,0.004220796871073804
2,1,0.07130849037587818,0.053094972313999775,0.01975329345320317
2,2,0.13918469171935755,0.03339602169450272,0.025653618538614253
2,3,0.18259495451294652,0.015457407837500428,0.01784476193099523
2,4,0.21300399426557334,0.004679554398860813,0.006908247368944008
3,-4,-0.11714831771686442,-0.0004383843561446221,0.00015038689216869848
3,-3,-0.1050649767348616,-0.00042442552405655155,-0.0007808838935010406
3,-2,-0.08906421690683756,0.0017253966181927866,-0.002311544356438734
3,-1,-0.06533759384782435,0.006486334187495282,-0.0005190788557128279
3,0,-0.024857748280852694,0.014471858903930906,0.0038718689351022995
3,1,0.042180621749043586,0.03277593921199935,0.008051162870913476
3,2,0.09460224648291575,0.016571505762400063,0.008479389305369525
3,3,0.13821326634777756,0.0059711932495654825,0.004915778653906467
4,-3,-0.08870162367957678,0.000158763413360485,-0.00035634593402451446
4,-2,-0.07219930457971328,0.0008371082775091211,-0.0003932910689533676
4,-1,-0.050143992211261756,0.0026088404429774332,0.0007517209286457398
4,0,-0.01873377847162696,0.005831156481937017,0.001715608673811752
4,1,0.024391787799027252,0.011984484577174617,0.0011054248482009262
