j,l,ux,uy,uz
-4,0,-0.4761738392264322,-0.007803444970903119,-0.0007521770319391376
-4,1,0.4838972149072745,-0.004036201369465924,-0.0012960851894012284
-4,2,0.4527970509731875,-0.0017335010193393304,-0.0006240284637075161
-4,3,0.42967325145262286,-0.0006980339482718608,0.00047051852148790463
-4,4,0.41210663495297156,-0.0004160949768829652,0.0006402580590713127
-3,-2,-0.366819456677899,-0.004489099199486905,-0.0024183675297288574
-3,-1,-0.41196682242437954,-0.012165619715951,-0.004212448594212062
-3,0,-0.4616707369522006,-0.02269061870210283,-0.004864498813706557
-3,1,0.4816249448313739,-0.011102300519262405,-0.003455063746576911
-3,2,0.4422477598178036,-0.005633064301145691,-0.0004544363765990714
-3,3,0.4161917476519954,-0.0028516006576258905,0.0016831859309196504
-3,4,0.39784099690681207,-0.001673373846838864,0.0013416792205713864
-3,5,0.38386356735689986,-0.0010130442774044868,0.0003467711311688214
-2,-3,-0.2939289574324895,-0.0036389222886335547,-0.003926253622629455
-2,-2,-0.33191607000412876,-0.012819300646843494,-0.009757148580106869
-2,-1,-0.3794980653566076,-0.027845837999617665,-0.013627852869603689
-2,0,-0.4418762824372421,-0.042186195293393465,-0.011280348049428573
-2,1,0.47557088567811767,-0.019261184895916352,-0.0037771177109017064
-2,2,0.4262262135740752,-0.010332175244340732,0.0029225846835273903
-2,3,0.39786601144184947,-0.005015977499005818,0.005113396437085725
-2,4,0.37940328509520815,-0.002181386069217601,0.002422953704361194
-2,5,0.3658634750933857,-0.0013486171211279816,0.0004667125831692029
-1,-3,-0.254203713168299,-0.008058074610506715,-0.01042523665029569
-1,-2,-0.28841189843232234,-0.0216098592911449,-0.022609675425607115
-1,-1,-0.33501562321101996,-0.04178978182503919,-0.03052550104452206
-1,0,-0.4106205785480048,-0.05999275592274443,-0.022566023751105672
-1,1,0.45732931837649293,-0.02142416617705944,-0.0028525398843776174
-1,2,0.3982735588155652,-0.009630040620016529,0.010571002788725253
-1,3,0.36997967125604514,-0.0018705042801522638,0.009152877949428394
-1,4,0.3536836478628012,9.530299091935708e-05,0.0038793876961066886
-1,5,0.3426596122668045,-0.0006443080085008474,0.0007220209497020147
0,-4,-0.19686521177216393,-0.003708963231311127,-0.006973381997033201
0,-3,-0.2114530433458155,-0.01279933624461442,-0.019477046789128056
0,-2,-0.2320618807440476,-0.024973927447043617,-0.035688512879813596
0,-1,-0.2638251713012191,-0.04084048682287075,-0.04902620536499176
0,0,-0.3369380460395826,-0.05440063553677157,-0.038425715308706164
0,1,0.3995578009928221,-0.003734971369279102,0.0020795848498564476
0,2,0.3404217698914825,0.005880469992252316,0.017323654712975235
0,3,0.32205377337932595,0.006318363845031649,0.014537294174456022
0,4,0.3155169674609115,0.003778145205692535,0.006537800815124829
0,5,0.3122439444844021,1.829966669844416e-05,0.0010964605759625965
1,-4,-0.16353766370574926,-0.0032972266973020172,-0.0030100671551057255
1,-3,-0.1621080266103266,-0.0081865923967249,-0.008156057947798612
1,-2,-0.1581354853334079,-0.011159358241545547,-0.014612272257574273
1,-1,-0.14365749220759874,-0.010769095741461418,-0.015315274599770078
1,0,-0.09310990730802735,-0.0017256409971061887,0.0010893336381188736
1,1,0.14148887157825854,0.049753479986181945,0.03603013422386632
1,2,0.2127186546453942,0.034434725010303056,0.04496090498762382
1,3,0.2430713139681789,0.018773205000344923,0.030582885179620767
1,4,0.2614683033247046,0.007499182191844361,0.01315232505465903
2,-4,-0.1370798144856146,-0.0018878960555647494,-0.000589810376128862
2,-3,-0.1278871706815086,-0.0035421487953993156,-0.002848201802198304
2,-2,-0.11436866171292188,-0.0022623905308279966,-0.00644895915405027
2,-1,-0.0907768855297125,0.004544142525972894,-0.0064777587398073405
2,0,-0.0409312416311806,0.01672369741007235,0.004220830008560118
2,1,0.07130842537376317,0.05309497803885983,0.019753295753693237
2,2,0.1391846342729252,0.033396044958870816,0.025653615684523876
2,3,0.18259492265710905,0.015457416807457493,0.017844761193691588
2,4,0.2130039804428913,0.0046795608215165424,0.0069082468712138145
3,-4,-0.11714831203321167,-0.0004383957822744701,0.00015039475100322425
3,-3,-0.10506498109683136,-0.0004244234397094264,-0.0007808590319152873
3,-2,-0.08906421318113786,0.0017253947065699355,-0.002311521030086283
3,-1,-0.06533757753675952,0.0064863581009133526,-0.0005190472157636934
3,0,-0.024857736305273073,0.014471885202046451,0.0038718800527665735
3,1,0.0421805932904997,0.032775951135575236,0.008051170661367823
3,2,0.09460220617988126,0.01657151345408449,0.008479382729889769
3,3,0.1382132488276257,0.005971195108248161,0.004915776790718199
4,-3,-0.08870162132297882,0.0001587619388067168,-0.00035634271530389093
4,-2,-0.07219930232227247,0.000837119825101705,-0.000393277539153597
4,-1,-0.050143989238919946,0.0026088434509570807,0.0007517267189391914
4,0,-0.01873377308275717,0.00583117723795273,0.00171562141868129
4,1,0.024391788712957867,0.011984478689534903,0.0011054262877440177
