j,l,ux,uy,uz,gx,gy,gz
-4,0,-0.47587643225718024,-0.010700147586740169,-0.0013372137267632857,-7.818728536487796e-08,-9.594467995782674e-08,-2.857007547207857e-10
-4,1,0.47995451713516923,-0.0021438299683131158,-0.0018017147669089238,4.682704460301501e-08,7.256732411156652e-08,6.184346283948788e-08
-4,2,0.44894277272291316,0.00026429423225212984,-0.0005184133634502533,-2.2023092067016692e-08,-2.355185881042221e-08,-3.074979857461274e-08
-4,3,0.42719020547539094,0.0008039700970667688,0.0009287784804238703,-1.7538272437632452e-08,5.974545947903809e-08,-4.0506141807535815e-08
-4,4,0.4109884529647798,0.0004481077052590871,0.0008588046528277603,5.6380134704652786e-08,1.0358682487731502e-08,-3.062161125144333e-09
-3,-2,-0.36266644288207905,-0.004730230258538528,-0.004413532331826,4.1224677833733014e-08,-4.191209393433759e-10,-3.5586085987693306e-08
-3,-1,-0.4057135145928598,-0.014045128452888364,-0.00816856523094175,-3.4160011590234074e-09,-3.223083818587602e-08,-8.899034971161096e-08
-3,0,-0.4576512894988401,-0.028620066655826577,-0.008403512876747022,-3.424959774817049e-08,1.7377482053326787e-07,1.938496896058961e-07
-3,1,0.47204494790934165,-0.005121409467875705,-0.004435097097314899,1.0314874329328538e-07,-1.6409236111569747e-07,-1.249823371029385e-07
-3,2,0.4325612223617709,-0.00020094465886481545,0.0006014389481852939,-3.75293399829113e-09,2.145733553927942e-07,1.1544926767706465e-07
-3,3,0.40968788585861887,0.0011998803235138186,0.003557333570397747,-5.7355558212134755e-08,-4.5800729540565466e-08,-8.961117194854554e-08
-3,4,0.39438846905559904,0.0008555681592996053,0.0025481048299985415,-4.935257123112047e-09,-2.728131193174832e-10,4.5795975772656636e-08
-3,5,0.38272079923519514,8.87438372784453e-05,0.0007201273934487456,-4.27859531667088e-08,1.2070022762517008e-08,1.3037133473475793e-09
-2,-3,-0.289287499630632,-0.0035598902166957104,-0.005816370548566541,-4.8660783451282e-08,-7.663988683698914e-08,-8.274855648263135e-08
-2,-2,-0.32089152917034697,-0.012570056645312282,-0.01562729883703563,-3.102497350172817e-08,7.466983799374674e-08,1.2929495429858662e-07
-2,-1,-0.36303221761715887,-0.029102623041896123,-0.023495705479553798,-6.477648209490816e-10,8.62085693942305e-08,7.356083619319831e-08
-2,0,-0.42781144746694,-0.047792944739015596,-0.018951232110804947,1.8363032310009242e-08,-2.6553943104079547e-07,-3.8754340223046135e-08
-2,1,0.4547905123775051,-0.003783971263758557,-0.004444930408266257,4.6097297638769685e-08,2.4959335079288714e-07,1.4864709724227154e-07
-2,2,0.40751347886410316,0.0009381417329879694,0.007057989599361658,-3.339906764696088e-08,-1.4165007829886056e-07,-1.312680198289895e-07
-2,3,0.3854887306620276,0.0024910483945378378,0.010227332579502592,-1.634687458052647e-08,1.305365233700978e-07,-2.8688341201753287e-08
-2,4,0.37253332699326647,0.0024235435347505475,0.005447942601420827,3.6291166204127645e-08,9.466941612579216e-09,-3.0484744430181454e-08
-2,5,0.3631776814661344,0.0008892398992856927,0.0016273382936299549,-3.4543576601583914e-08,-4.7304284380225714e-08,-1.0099086736672924e-07
-1,-3,-0.2453542443955939,-0.006831183720503101,-0.012449196395384826,-1.0500033446880774e-09,1.8701944731920606e-07,5.6639793036272756e-08
-1,-2,-0.2688272270686854,-0.018289495756236215,-0.02916126377514081,3.10984214109411e-08,-1.2281268491759478e-07,-1.2369279024648794e-08
-1,-1,-0.30158010017200737,-0.036281230488857334,-0.04330495468256552,5.076066335318874e-08,-9.921179339178465e-08,-1.6308452045060706e-07
-1,0,-0.366962756159758,-0.05568904732126136,-0.03380737810059568,-1.7916944178297811e-09,1.823087853458638e-07,1.687525671700829e-07
-1,1,0.40927939292986837,0.007816912815710276,0.0007104988215803488,-6.95062427891191e-08,-2.139982190341172e-07,-2.216075968286546e-07
-1,2,0.3648803416574135,0.006780711251297442,0.022844971926498186,-2.5767453386282835e-08,2.7123194485442065e-07,2.519270988019656e-07
-1,3,0.3489806254133423,0.00803901708984065,0.01956551293217091,-5.856138859429427e-08,-4.977030743612276e-08,-1.4752258122724404e-07
-1,4,0.3421491489984355,0.005797422305198011,0.009900592140909228,6.163911306367176e-08,-8.833049422105055e-09,9.896301634421123e-08
-1,5,0.33808068004921876,0.0019587073996668977,0.0032874449883369527,2.7245764392877514e-08,3.110482088043709e-08,-2.517420195913278e-10
0,-4,-0.19315941437947884,-0.002067895525769292,-0.00476590628352077,9.994708564248223e-09,6.612682067110714e-08,1.437080793149914e-07
0,-3,-0.19956095052653441,-0.00856886684240297,-0.015611261702842221,6.424911423025259e-08,-1.261507627248193e-07,-1.0552774692973443e-07
0,-2,-0.20706801060530583,-0.016655792443389526,-0.03139625267339617,6.607334856328917e-09,-4.2566028184837235e-08,1.742557019721036e-07
0,-1,-0.213687568664425,-0.026083415565255917,-0.045217343927993134,-1.7925169732216362e-08,2.7155764942277116e-08,-2.0624132023722153e-08
0,0,-0.21703467553221936,-0.03326079804023253,-0.03143707165122161,2.7970004146116167e-08,-2.5656325630674104e-07,-4.617372929838215e-08
0,1,0.28296532440380334,0.03326079824679148,0.031437071859411685,3.166902554085915e-08,2.9559873926388036e-07,8.569169326899662e-08
0,2,0.28631243127102274,0.026083414857987985,0.04521734347294525,-2.476933579423357e-08,-1.721751523020565e-07,-7.55279797835795e-08
0,3,0.2929319894096594,0.016655793232817392,0.03139625322598489,1.2414809524158299e-08,2.080828539544055e-07,-5.747356590646291e-08
0,4,0.3004390494562443,0.008568866408892322,0.015611261401267014,6.177473095211883e-08,2.527506110655553e-08,3.358437356687505e-08
0,5,0.30684058561397465,0.002067895486512152,0.0047659063688375025,9.430274797161964e-09,-6.095277881035255e-08,-1.1897998406298904e-07
1,-4,-0.1619193199650561,-0.001958706983383693,-0.0032874447629767318,2.491830858146471e-08,2.7512591352710225e-08,2.9716170781013407e-08
1,-3,-0.15785085098701362,-0.005797422524060687,-0.009900592344197172,6.295376960702148e-08,-6.542374759131719e-09,-1.1824744452354485e-07
1,-2,-0.15101937457152179,-0.008039017293355568,-0.01956551299548686,-5.615908403068526e-08,-1.0561215353643849e-08,1.193901256191232e-07
1,-1,-0.1351196583625709,-0.006780710714537988,-0.022844971664503708,-3.198891797978609e-08,-1.6227424416226724e-07,-1.9488418178011113e-07
1,0,-0.09072060701123913,-0.007816913175828492,-0.0007104990839170725,-6.261922853856294e-08,1.45051668620777e-07,1.7174609243109096e-07
1,1,0.13303724380520474,0.055689047356747526,0.03380737795959526,-4.099261707857238e-09,-1.835516072468124e-07,-1.9798673642212883e-07
1,2,0.19841989983594202,0.03628123141023307,0.043304955334011505,5.511306475081135e-08,2.810505615874481e-07,2.933587783665592e-07
1,3,0.23117277290681687,0.018289494478573275,0.02916126279821899,2.8000358601176778e-08,-1.2784473088500725e-07,-1.7758351005675577e-07
1,4,0.25464575561352676,0.006831184619777787,0.01244919706477033,1.515993244133318e-09,-9.423669850537608e-09,7.461095868216416e-08
2,-4,-0.13682231851266455,-0.0008892405126126714,-0.0016273386503183763,-3.118949841972307e-08,-4.8310377545601746e-08,4.6797320159622235e-08
2,-3,-0.12746667302783554,-0.0024235429773099104,-0.005447942236351354,3.293343533994353e-08,6.942837242965294e-08,8.15118342319815e-08
2,-2,-0.11451126933630958,-0.002491048386121521,-0.010227332593845994,-1.7040526952179225e-08,-1.1059963918313986e-07,3.9233760379397964e-08
2,-1,-0.09248652109624476,-0.0009381423610272423,-0.007057989962945131,-2.655302068499399e-08,1.839758579508244e-08,5.833200157276397e-08
2,0,-0.045209487668557584,0.0037839719611524455,0.0044449309115193155,3.665343809369781e-08,-1.2342106572860168e-07,-5.708242728497126e-08
2,1,0.07218855253491899,0.0477929442703049,0.01895123198210966,1.976921531338105e-08,1.9007678281335316e-07,2.1094105046026712e-08
2,2,0.1369677823604732,0.02910262233410183,0.023495705046655848,-3.6795139348594352e-09,-2.2623524302545217e-07,-1.598448855014145e-07
2,3,0.17910847083232406,0.01257005777871734,0.015627299651058635,-2.980120851828194e-08,1.4259101621021467e-07,2.6855257226343632e-08
2,4,0.21071250036531194,0.0035598894504896535,0.0058163699492454314,-4.9114104219358246e-08,-6.927056762744133e-08,-3.047125741659218e-08
3,-4,-0.11727920077793412,-8.874337628088883e-05,-0.0007201270940818704,-4.4962058151284956e-08,6.1041217684632e-08,4.5731203220968075e-08
3,-3,-0.10561153092878732,-0.0008555685984471531,-0.0025481050977292728,-2.5621874695687386e-09,-6.418186087719241e-08,-8.389802496158207e-08
3,-2,-0.0903121141357131,-0.0011998804534161882,-0.003557333671154456,-5.606209969475848e-08,1.0057520656581165e-08,6.291325759227168e-08
3,-1,-0.06743877767518516,0.000200945464852395,-0.0006014384246516854,-1.0871363188141858e-08,-6.355589678846973e-08,-1.7062373031812017e-08
3,0,-0.027955052034592667,0.00512140849094923,0.004435096380647676,1.129384713388637e-07,-1.0605942707409e-08,-3.47366344889688e-09
3,1,0.04234871048912304,0.028620067476035422,0.00840351328620417,-3.603998003504083e-08,-3.185536288918822e-08,-1.2376227294386144e-07
3,2,0.09428648541458887,0.014045128669151098,0.008168565240228168,-1.7255874177474206e-09,7.879895387238878e-08,9.600729578961714e-08
3,3,0.1373335571098813,0.004730229711522394,0.004413532062466645,4.005271835938809e-08,-1.0367571643896123e-07,-1.646404009653102e-08
4,-3,-0.08901154703924839,-0.00044810756452296326,-0.0008588046501553038,5.5796715135269896e-08,8.110354380273799e-09,-4.955773597482144e-10
4,-2,-0.07280979453155599,-0.0008039698848068669,-0.0009287782381187733,-1.8978772035709024e-08,-1.567848590539045e-08,8.789374865889022e-08
4,-1,-0.05105722724977797,-0.00026429489318656886,0.000518412835373185,-1.712670956097173e-08,-9.760564317722042e-08,-6.578009296900195e-08
4,0,-0.020045482902284237,0.002143830739946271,0.0018017154211982822,4.004742062968525e-08,6.532530735445241e-08,5.501753925227573e-08
4,1,0.024123567753513483,0.010700146911102368,0.0013372133204796913,-7.619509656206502e-08,-2.1887660794916997e-08,-7.10156837571696e-08
