j,l,ux,uy,uz,gx,gy,gz
-7,1,0.48982334019171053,-0.0016311377751829154,0.00037757420387629593,1.3515781507010549e-08,-4.505668032856597e-08,3.7638343214048756e-08
-7,2,0.47087307698629727,-0.0012905014514198302,0.0005688028197129393,-6.161921495273504e-08,1.6927718045432055e-08,3.050806383431484e-08
-7,3,0.45443197186249673,-0.0005180573465634334,0.0006532419937946356,4.459954480121736e-08,-1.8406835246059707e-08,-8.135371328335528e-08
-7,4,0.4402937485947388,-4.187331968311992e-05,0.0004561864803082854,-1.0853203625529537e-08,-6.5980506414389795e-09,-4.684970942615829e-08
-6,-1,-0.457621514300473,-0.0031700449062369855,-0.0002955904727907158,4.408888215103046e-08,-1.051881689216605e-08,-2.9968693875462304e-08
-6,0,-0.48468816373052453,-0.0051948608593337265,-0.0005136348266858783,-3.497737918918553e-08,-6.387552864244028e-09,-1.5562941360972027e-09
-6,1,0.48933989639327474,-0.004698546314178295,-0.00042264778012231625,-5.8370704253581096e-08,-3.049618590425171e-08,1.90160335436073e-08
-6,2,0.4669952338748067,-0.002575421647272317,0.00011964182006918037,4.6686720114874625e-09,1.6306872590524796e-08,4.212819577128352e-09
-6,3,0.44850594666989707,-0.0006487070551666765,0.0006697079736637014,-2.4034486110092318e-08,4.87455465904979e-08,4.075518699516584e-08
-6,4,0.4332060040004571,0.0002807846134020081,0.0007117967353004628,2.2585795367638384e-08,-7.203054062585035e-08,-6.22794373581273e-10
-6,5,0.4203803116349999,0.00025421739067772676,0.00042751247741032477,-1.8732370933279355e-08,4.580128654813054e-09,5.818424340876989e-08
-6,6,0.40952793918218844,5.944383345014249e-05,0.00014697408576550258,2.678171518377074e-08,-3.0953670673503075e-08,4.290220457397239e-08
-5,-2,-0.41475255295850366,-0.0038140920352576968,-0.00044789041027480696,5.5247251666730446e-08,-7.877641404474556e-08,1.1735672469405378e-08
-5,-1,-0.44537473404363653,-0.009142590366893948,-0.0013508287181361637,3.8200819006337094e-08,4.607407190319879e-08,-5.722103636404685e-09
-5,0,-0.4782785039897817,-0.01191387580562669,-0.0022436974996948656,4.778530772464595e-09,-6.613497674501367e-08,-1.1354448023817576e-07
-5,1,0.48887899823277553,-0.007621845325963096,-0.002238125992665702,-3.5634946656676325e-08,1.2232585082025405e-08,-3.768874392564778e-08
-5,2,0.4620053990078507,-0.003019739827316859,-0.001166309384168946,2.1786346064006645e-08,2.496131510862365e-08,3.265028009936943e-08
-5,3,0.44104090906074006,-0.0001003555300242746,6.6415311780471375e-06,-5.450929474546534e-08,-7.958818588373051e-08,1.702770389966357e-10
-5,4,0.4245191867744523,0.0007595347065328941,0.00039838282969044576,5.128078908386846e-08,-6.395313644977363e-09,-1.5148334782735806e-09
-5,5,0.4111333051165774,0.0003602206885371474,0.00016845045120990765,8.476080066012297e-09,-5.409272348490604e-08,-4.074109769740351e-08
-5,6,0.4000241708106342,-0.00015205162767015443,-9.401340031435005e-05,-7.076331059882807e-09,-6.011834977320135e-08,-4.4483137922289584e-08
-5,7,0.39072063749099867,-0.00029233068992866285,-9.298598730296159e-05,3.109263874254316e-08,-1.5761151204041896e-08,-2.9344427218214522e-08
