radius_over_L0,energy_eV_per_row_period,linear_reference_work_eV,quadratic_remainder_energy_eV,site_count,inside_free_disk
1.0,0.34553044714845743,0.11406790744486381,0.23146253970359365,4,True
1.5,0.594987470734789,0.19159814719208246,0.4033893235427065,10,True
2.0,0.7215692271647305,0.21368575857208502,0.5078834685926453,18,True
2.5,0.774829310623381,0.184531928110908,0.590297382512473,30,True
3.0,0.7877277094637076,0.146102343383132,0.6416253660805755,40,True
3.5,0.7936527510833317,0.08769770734499831,0.7059550437383333,56,True
4.0,0.8008248431094656,0.05048603759304447,0.750338805516421,72,True
4.5,0.8112866045923957,0.02674654642005326,0.7845400581723423,90,True
5.0,0.8247126077691448,0.0034923302053179676,0.8212202775638268,112,True
5.5,0.8356103229242149,-0.01690102697486568,0.8525113498990806,136,True
6.0,0.8384903717280602,-0.03342215058987195,0.8719125223179323,158,True
