radius_over_L0,energy_eV_per_row_period,linear_reference_work_eV,quadratic_remainder_energy_eV,site_count,inside_free_disk
1.0,0.3800848085904317,0.11988731665844593,0.26019749193198577,4,True
1.5,0.5898481937300004,0.18488632142874098,0.4049618723012594,10,True
2.0,0.7408373164762269,0.2170221095656881,0.5238152069105388,18,True
2.5,0.7792222495994422,0.1762745650052279,0.6029476845942143,30,True
3.0,0.7804340807224013,0.1257144807600422,0.6547195999623591,40,True
3.5,0.7811416718075215,0.06333428638524011,0.7178073854222813,56,True
4.0,0.7800949794119814,0.01826805437883712,0.7618269250331442,72,True
4.5,0.7908111879252329,-0.006366251531918905,0.7971774394571517,90,True
5.0,0.8040174988954722,-0.029097185644928966,0.8331146845404012,112,True
5.5,0.8171458615238038,-0.04703136426937117,0.8641772257931749,136,True
6.0,0.8267254365687384,-0.05672452558003842,0.8834499621487769,158,True
