j,l,ux,uy,uz,gx,gy,gz
-4,0,-0.47661972820495124,-0.006190221210528908,0.000654931886021026,7.652030688254374e-08,-1.747532441670474e-08,-9.572562770232551e-09
-4,1,0.4814511609844488,-0.0009637777957524864,0.002417244390002255,-4.5642666555989475e-09,-1.653631943529521e-08,-9.062169969292766e-09
-4,2,0.4479635512267604,-0.000598419735829984,0.0031577202454189804,1.3162352860418558e-08,-7.09978065852046e-08,-7.281335080971257e-08
-4,3,0.4241102860977225,-0.0013691261763081218,0.0031845181827969277,2.5872138247756693e-08,-4.182730072715968e-08,2.219115055211371e-08
-4,4,0.4065454045777344,-0.0014603886542385524,0.002136706518714193,7.37144099752533e-08,4.531171965416192e-10,-1.5003372410768434e-08
-3,-2,-0.3672471426424409,-0.0043660108565338005,-0.003358204225190506,-3.921883200922599e-08,-2.731440065101287e-08,-2.6485681271434802e-08
-3,-1,-0.40911657086777214,-0.01004629732422909,-0.0055875740028656935,-2.032837993770631e-08,-1.3672353478544341e-08,7.335774943745266e-08
-3,0,-0.4608047935560412,-0.01794527447297732,-0.003095750416927268,2.2070530493467633e-08,-8.456032336498498e-08,-3.066450222910522e-08
-3,1,0.475754883320337,-0.003636663950486784,0.0032773793141402194,3.038171169159054e-08,1.7851782779885333e-08,3.1031152513891214e-08
-3,2,0.43174011859101774,-0.003230324339540261,0.007110912724940465,8.306652832246186e-08,-5.304388379402669e-08,-8.88512190905244e-09
-3,3,0.4061927678496762,-0.0039078014120850655,0.007709136719642252,3.059802106564896e-08,-2.9029655294356398e-08,4.8063793542385547e-08
-3,4,0.38929554332600597,-0.002923771814170994,0.005082338880330318,5.4315886281741665e-08,-5.440451885481076e-08,-1.1527072832709373e-08
-3,5,0.3764180285972105,-0.0014095141273545576,0.0022510214746848164,6.52359190876986e-08,4.5988489066808164e-08,1.0824077436438762e-08
-2,-3,-0.29720601763944965,-0.0033406757512031158,-0.004227807787979933,3.1720304265181465e-08,-4.802646630733265e-08,-3.5863648745193544e-08
-2,-2,-0.3274844113054822,-0.010321599989708856,-0.01125805425732246,4.504665623156212e-09,1.4701421843787976e-08,-4.14427231217214e-08
-2,-1,-0.3687968391840433,-0.021007478652157557,-0.016425901929626473,2.4836829136311994e-08,-6.840199691382498e-08,-5.434169157714219e-08
-2,0,-0.4341303622220216,-0.03218813481117563,-0.011447327247568183,-8.917433845512246e-08,6.665660989835231e-08,-8.987798505444289e-09
-2,1,0.4613103505542275,-0.005167927559409413,0.004302572043912162,-9.388046174826914e-08,6.217709293265816e-08,9.052422633541723e-09
-2,2,0.4060424026126876,-0.005961833987401879,0.014034325857216819,1.6152652868028916e-08,-4.840193981725527e-08,8.634994269618446e-08
-2,3,0.3810793392414268,-0.005289714984146871,0.013910792156095407,-3.64884916049385e-08,-6.220134862733318e-08,2.4328640949033975e-08
-2,4,0.3663594808671196,-0.0033629027988481422,0.008301415884842124,-7.60842521277394e-09,8.208706665097099e-08,1.1102924306338746e-07
-2,5,0.3557584169887532,-0.0017771153929142171,0.0032877065844593824,7.152672601776211e-09,-7.751392270063939e-08,-4.709151991966198e-09
-1,-3,-0.2543541668065191,-0.004562766461096892,-0.009353338862476067,-3.4102938747254674e-08,-6.728587313166966e-08,-6.9391232412896464e-09
-1,-2,-0.27688566805047876,-0.012927612939833452,-0.021507632924858026,2.9060672868119752e-08,2.3871539606146186e-09,-1.0408728634211939e-07
-1,-1,-0.3091522192303344,-0.02581363703892646,-0.03234785698704689,3.515746472421144e-08,-4.8707091693245275e-08,-5.1496164721331894e-08
-1,0,-0.37666882268379576,-0.039972560120646115,-0.026771875789182584,-4.836977372801865e-08,6.421026976788369e-08,-3.528531805629953e-08
-1,1,0.41476260685542177,5.63764446289575e-05,0.008489300194714108,-1.3760219991221234e-08,-6.668894159123084e-09,-2.969386059259449e-08
-1,2,0.36019659631790507,-0.003035869370734088,0.025355426931727206,9.539735197194171e-08,-3.705056897396197e-08,1.623164064268323e-08
-1,3,0.34199407603978343,-0.0014068855725017468,0.01979951714837756,-5.653134193400744e-08,6.435799926188604e-09,5.094928270249488e-08
-1,4,0.33401687873650354,-0.001190587954472598,0.010906335517368283,-8.190903682397943e-08,-6.622467331159412e-08,-1.2219219937964487e-08
-1,5,0.32915836985490304,-0.0010626965504498828,0.004105122223505248,-6.367582088342982e-08,8.223244247389586e-08,7.469060158554752e-08
0,-4,-0.20309916617580484,-0.0002849034445416759,-0.004574244625271627,3.7218092323321184e-09,-5.066215658360712e-09,5.5085057487636035e-09
0,-3,-0.2089514088632407,-0.0030584974900651385,-0.013634956355250081,7.075646811863234e-08,2.7023303985143632e-08,1.6891396760476685e-08
0,-2,-0.2161957735338117,-0.008158082380734878,-0.02617886640823261,3.596131533528668e-08,3.145664316528407e-08,-6.918173204792377e-08
0,-1,-0.22262454462307113,-0.01553572597032964,-0.03905576983402603,-4.790700225063005e-08,6.404277017035831e-08,6.301025284871642e-08
0,0,-0.22351732852938888,-0.021200086039426136,-0.034237360123812184,5.464094228468941e-08,8.963616404678021e-09,-7.733398477149933e-08
0,1,0.2764826713885704,0.021200086070987084,0.03423736012692699,5.492683742558402e-08,-7.101417009991451e-09,7.581147332125227e-08
0,2,0.27737545535339264,0.01553572598189511,0.039055769861110326,-4.743455160605148e-08,-6.102132027452356e-08,-5.688895901578839e-08
0,3,0.2838042264499149,0.008158082300622888,0.02617886634471422,3.436617434376954e-08,-5.1499559616807744e-08,5.340767546962999e-08
0,4,0.2910485911437986,0.0030584976591760114,0.013634956453179841,7.3062761823256e-08,8.528813868688423e-09,4.180465945635703e-09
0,5,0.29690083381618054,0.00028490332238557687,0.004574244548809939,2.3307781954473583e-09,-2.01428044354756e-08,-2.192195624334259e-08
1,-4,-0.17084163015913406,0.0010626967943612958,-0.0041051220498565045,-6.664957248603276e-08,-3.2947960500965406e-08,-3.9359457040810675e-08
1,-3,-0.1659831212348046,0.0011905875705070803,-0.0109063357795273,-7.648393014064725e-08,-1.2621441900298458e-08,-4.1755201758003624e-08
1,-2,-0.15800592398411342,0.0014068859172815108,-0.019799516885002488,-6.274362487207474e-08,6.582183621501453e-08,4.348383035590597e-09
