case,analytic_minimum_H_eV_L0sq,step_over_L0,curvature,eigenvalue_error,plus_energy_change,minus_energy_change
historical_R6_r6_stable_plus,0.40456732199185674,0.002,0.40457379690828077,6.474916424026311e-06,8.093409140652597e-07,8.089542735678634e-07
historical_R6_r6_stable_plus,0.40456732199185674,0.001,0.4045689294684962,1.6074766394647e-06,2.02363990009502e-07,2.022049396810388e-07
historical_R4_r4_mode_minus,0.6419648272059826,0.002,0.6419892374931457,2.4410287163156852e-05,1.2851683088843657e-06,1.2827886410882172e-06
historical_R4_r4_mode_minus,0.6419648272059826,0.001,0.6419709221994196,6.094993437066876e-06,3.2123145921048035e-07,3.20739462877917e-07
historical_R4_r4_stable50MPa,0.6640066585330556,0.002,0.6640293610526982,2.2702519642536778e-05,1.3283602091629376e-06,1.3277572349368327e-06
historical_R4_r4_stable50MPa,0.6640066585330556,0.001,0.6640123266787867,5.668145731108076e-06,3.3204327110070153e-07,3.319690555780852e-07
historical_R4_r4_stable_unload,0.6419644164242143,0.002,0.6419888324282752,2.441600406088984e-05,1.2848432376921792e-06,1.2831120921319439e-06
historical_R4_r4_stable_unload,0.6419644164242143,0.001,0.6419705460558589,6.129631644591349e-06,3.210691383870312e-07,3.209014076688277e-07
historical_R10_r6_stable_plus,0.17234909839971221,0.002,0.17234909455154934,3.848162871689098e-09,3.446980540999789e-07,3.446983241062185e-07
historical_R10_r6_stable_plus,0.17234909839971221,0.001,0.17234910254515512,4.145442905612029e-09,8.617466740190594e-08,8.617443514324918e-08
historical_R10_r8_stable_plus,0.1723558305261174,0.002,0.17235583826824552,7.742128133036985e-09,3.4471061383101187e-07,3.447127390199256e-07
historical_R10_r8_stable_plus,0.1723558305261174,0.001,0.17235582960850593,9.176114590392359e-10,8.617756730444626e-08,8.617826230405967e-08
historical_R6_r6_newton_check,0.40456727655020736,0.002,0.40457375927172023,6.482721512879319e-06,8.091945098431808e-07,8.091005270216556e-07
historical_R6_r6_newton_check,0.40456727655020736,0.001,0.4045689117049278,1.6351547204584982e-06,2.022908265342238e-07,2.02278085170704e-07
historical_R6_r8_stable_plus,0.40586437485812654,0.002,0.40587070460063046,6.329742503918823e-06,8.120499797037439e-07,8.114328389208225e-07
historical_R6_r8_stable_plus,0.40586437485812654,0.001,0.40586598881731106,1.6139591845210077e-06,2.0307138437480887e-07,2.0279460422045759e-07
historical_R8_r6_stable_plus,0.26132801643999287,0.002,0.26132811381529564,9.737530276554551e-08,5.226530401802876e-07,5.22659415080895e-07
historical_R8_r6_stable_plus,0.26132801643999287,0.001,0.2613280396523976,2.3212404720585056e-08,1.306638757192502e-07,1.306641637111028e-07
historical_R8_r8_50MPa,0.26093682430496895,0.002,0.26093696769979857,1.43394829621446e-07,5.218753558189348e-07,5.218725149802594e-07
historical_R8_r8_50MPa,0.26093682430496895,0.001,0.2609369094130898,8.510812082862529e-08,1.304688068692883e-07,1.3046810254380148e-07
historical_R8_r8_stable_plus,0.26153438678869767,0.002,0.261534492729254,1.0594055632751065e-07,5.230659150257111e-07,5.230720556692603e-07
historical_R8_r8_stable_plus,0.26153438678869767,0.001,0.2615344878442727,1.0105557501915996e-07,1.3076711224968562e-07,1.3076737559458707e-07
historical_R8_r8_unload,0.2615343867312041,0.002,0.2615344826262245,9.589502036888575e-08,5.230645112597188e-07,5.230734192451791e-07
historical_R8_r8_unload,0.2615343867312041,0.001,0.2615344478762438,6.114503969811835e-08,1.3076641058873406e-07,1.3076803728750974e-07
