j,l,ux,uy,uz,gx,gy,gz
-9,0,-0.49142782817138886,-0.0020249022049110494,0.00021906056805152585,1.5664135006449031e-10,6.326972747799919e-10,4.861164431060883e-10
-9,1,0.4917003571539714,-0.00217952715098887,0.00027342006466808173,-1.6302253644240317e-10,-5.6389258930658603e-11,-6.619986776638942e-10
-9,2,0.4763107660419754,-0.001403810322707729,0.0003770227492565122,-8.282379556495689e-11,1.1796336585497003e-11,3.5270572920631516e-10
-9,3,0.4626346583800967,-0.0004005246491745841,0.0004842661559381726,-7.305601392934569e-11,-3.905956995559415e-10,2.5424485433633848e-11
-9,4,0.4505504888110018,0.00034089672276217946,0.0004682465131359764,-3.9531235056233793e-11,-1.3420189373843094e-10,6.502145718546848e-11
-9,5,0.43985988831751904,0.0006496385019235567,0.00031935422387419516,1.8573603885376627e-10,-5.2905129604464973e-11,-2.544908458772775e-10
-9,6,0.4303806378869755,0.0006091971825229131,0.00012842368111612955,5.300578243471951e-11,3.4033834268604873e-10,3.770754228066449e-10
-9,7,0.42196788941895086,0.000369801050335103,-3.4630529070588034e-06,-2.346752967055969e-11,-2.775042132934294e-10,1.2909993321770508e-10
-8,-2,-0.4477502359262558,-0.0019623452078214977,-0.00019101143464683067,-8.425305852294285e-11,3.96487080146779e-10,1.591880676755919e-10
-8,-1,-0.4684923686286011,-0.0037023078754128314,-0.0002554056584013665,6.851631328269603e-11,-2.0846229863841215e-10,-6.493601316381881e-11
-8,0,-0.48923276034369,-0.005765354461616917,-0.000300656003039362,8.36499680287317e-11,-4.840837895467298e-10,4.1277279771295694e-10
-8,1,0.49083354638735643,-0.00488247766435776,-0.00015697605750724075,-6.685721160720748e-11,-1.5847629306932343e-10,-5.17992606273443e-11
-8,2,0.47315081424510896,-0.002667983550789946,0.00020278073301502122,-1.4308792258693748e-10,-3.495138045086707e-10,1.2017782342194083e-10
-8,3,0.4579774258784295,-0.0004227694947191927,0.0004894080561568312,-3.1126458658811695e-10,-1.3956295591855544e-10,3.4356361809304015e-10
-8,4,0.4449883235928753,0.001003068615464831,0.0004615161229036106,-2.3991053848398947e-10,-4.4477611827950514e-10,2.9604467792140876e-10
-8,5,0.4337816562627656,0.0014424120981734697,0.0001727153149480524,-5.208864669887375e-10,1.8955929707853425e-10,-2.724795493402876e-10
-8,6,0.4240255689105654,0.0012118371699494082,-0.0001402006478672115,-4.1925761202609574e-11,5.621199903119156e-11,-5.890362532586998e-10
