observable,role,units,target,prediction,scale,normalized_residual
normal_strain_force_ev,exact,eV/strain,0.0,-4.440892098500626e-15,0.1,-4.440892098500626e-14
cohesive_ev_atom,exact,eV/atom,3.36,3.360000000000003,0.0672,4.625929269271486e-14
C11_GPa,exact,GPa,113.99999999999996,114.00000000000011,5.699999999999998,2.7424456467933698e-14
C12_GPa,exact,GPa,62.000000000000014,62.00000000000006,3.100000000000001,1.3752440046969677e-14
C44_GPa,exact,GPa,32.0,32.000000000000426,1.6,2.6645352591003757e-13
perfect_Haa,fit,eV/L0^2,19.66091286328976,23.60013627796019,1.9660912863289761,2.003581136878758
perfect_Hxx,fit,eV/L0^2,4.393593035123306,4.284738077474222,0.43935930351233066,-0.24775839905716132
saddle_energy_at_source_state,fit,eV/cell,0.07624909750742465,0.07453318500763642,0.007624909750742465,-0.2250403684609041
saddle_normal_force_at_source_state,fit,eV/L0,1.4903612010162394e-15,0.016044082617785303,0.03173805605024358,0.5055156053787572
fault_energy_at_source_state,fit,eV/cell,0.06670794504308616,0.06518894262173044,0.006670794504308616,-0.22770937110633632
fault_normal_force_at_source_state,fit,eV/L0,5.29078226360765e-15,-0.02283316172255681,0.03173805605024358,-0.7194253386664765
saddle_path_force_at_source_state,fit,eV/L0,2.296700476743968e-16,-0.028171772488540477,0.03173805605024358,-0.8876338375590113
opening_1.1h_energy,fit,eV/cell,0.05670265774764735,0.04523699053792593,0.005670265774764736,-2.022068746891699
opening_1.5h_energy,fit,eV/cell,0.4710312483934004,0.46383240971864104,0.04710312483934004,-0.1528314458820564
opening_2h_energy,fit,eV/cell,0.7060534019484034,0.7118327364980666,0.07060534019484034,0.08185407128858381
opening_40h_energy,fit,eV/cell,0.7719163228888833,0.7728765520258096,0.07719163228888834,0.012439549578802039
direct_quarter_energy,heldout,eV/cell,0.117221996542065,0.46538502953803595,0.0117221996542065,29.70116900124909
direct_half_energy,heldout,eV/cell,0.26732847628894163,2.529276579897701,0.026732847628894163,84.61306236466689
oblique_energy,heldout,eV/cell,0.13339289745734875,0.1315695182673805,0.013339289745734876,-0.13669237453600253
opening_1.25h_energy,heldout,eV/cell,0.24853683654490819,0.19743191718854258,0.02485368365449082,-2.056231183546566
opening_3h_energy,heldout,eV/cell,0.7719163228888833,0.6793271950736024,0.07719163228888834,-1.199471044591566
saddle_Haa,heldout,eV/L0^2,12.717337762538286,25.004863852506556,1.2717337762538286,9.662027005497865
saddle_Hxx,heldout,eV/L0^2,-0.18642463121762062,0.6933653700550491,0.018642463121762064,47.19279826524946
fault_Haa,heldout,eV/L0^2,14.140554350039636,24.162228511089666,1.4140554350039638,7.08718619721011
fault_Hxx,heldout,eV/L0^2,2.4858929774856264,2.477015663107047,0.24858929774856264,-0.03571076654940575
