observable,role,units,target,prediction,scale,normalized_residual
normal_strain_force_ev,exact,eV/strain,0.0,-1.7763568394002505e-15,0.1,-1.7763568394002505e-14
cohesive_ev_atom,exact,eV/atom,3.36,3.3599999999999994,0.0672,-6.608470384673551e-15
C11_GPa,exact,GPa,113.99999999999996,114.00000000000014,5.699999999999998,3.241072128028528e-14
C12_GPa,exact,GPa,62.000000000000014,62.00000000000014,3.100000000000001,4.125732014090903e-14
C44_GPa,exact,GPa,32.0,31.999999999999915,1.6,-5.3290705182007514e-14
perfect_Haa,fit,eV/L0^2,19.66091286328976,23.490628322496324,1.9660912863289761,1.9478828301799196
perfect_Hxx,fit,eV/L0^2,4.393593035123306,3.8747515989695063,0.43935930351233066,-1.180904630916137
saddle_energy_at_source_state,fit,eV/cell,0.07624909750742465,0.08130714876325858,0.007624909750742465,0.6633588358657505
saddle_normal_force_at_source_state,fit,eV/L0,1.4903612010162394e-15,0.005738353829856838,0.03173805605024358,0.18080356971993272
fault_energy_at_source_state,fit,eV/cell,0.06670794504308616,0.06858941267270983,0.006670794504308616,0.2820455087333967
fault_normal_force_at_source_state,fit,eV/L0,5.29078226360765e-15,0.009835529845163893,0.03173805605024358,0.309897046926512
saddle_path_force_at_source_state,fit,eV/L0,2.296700476743968e-16,-0.04137118380445199,0.03173805605024358,-1.3035197788723645
opening_1.1h_energy,fit,eV/cell,0.05670265774764735,0.045718056030997156,0.005670265774764736,-1.9372287213655264
opening_1.5h_energy,fit,eV/cell,0.4710312483934004,0.41045893731886685,0.04710312483934004,-1.2859510124038347
opening_2h_energy,fit,eV/cell,0.7060534019484034,0.7559299516920441,0.07060534019484034,0.7064132770411268
opening_40h_energy,fit,eV/cell,0.7719163228888833,0.7662484330943062,0.07719163228888834,-0.07342622025875976
direct_quarter_energy,heldout,eV/cell,0.117221996542065,0.2215569339637945,0.0117221996542065,8.900627911101054
direct_half_energy,heldout,eV/cell,0.26732847628894163,0.6425636258435395,0.026732847628894163,14.036482561215271
oblique_energy,heldout,eV/cell,0.13339289745734875,0.13342964002571644,0.013339289745734876,0.0027544621241502487
opening_1.25h_energy,heldout,eV/cell,0.24853683654490819,0.17296550760986187,0.02485368365449082,-3.0406490235257864
opening_3h_energy,heldout,eV/cell,0.7719163228888833,0.6942011345783268,0.07719163228888834,-1.0067825489129292
saddle_Haa,heldout,eV/L0^2,12.717337762538286,27.091755564976943,1.2717337762538286,11.30300859412704
saddle_Hxx,heldout,eV/L0^2,-0.18642463121762062,0.749985690060122,0.018642463121762064,50.22996774415688
fault_Haa,heldout,eV/L0^2,14.140554350039636,27.893662683048703,1.4140554350039638,9.72600365767875
fault_Hxx,heldout,eV/L0^2,2.4858929774856264,3.3058136280365455,0.24858929774856264,3.2982942466824676
