observable,role,original_role,validation_status,source_target,imposed_target,prediction,units,scale,imposed_normalized_residual,source_normalized_residual
normal_strain_force_ev,exact,exact,development_or_control,0.0,0.0,3.3306690738754696e-16,eV/strain,0.1,3.3306690738754696e-15,3.3306690738754696e-15
cohesive_ev_atom,exact,exact,development_or_control,3.36,3.36,3.3599999999999968,eV/atom,0.0672,-4.625929269271486e-14,-4.625929269271486e-14
C11_GPa,exact,exact,development_or_control,113.99999999999996,113.99999999999996,113.99999999999983,GPa,5.699999999999998,-2.2438191655582118e-14,-2.2438191655582118e-14
C12_GPa,exact,exact,development_or_control,62.000000000000014,62.000000000000014,62.00000000000006,GPa,3.100000000000001,1.3752440046969677e-14,1.3752440046969677e-14
C44_GPa,exact,exact,development_or_control,32.0,32.0,31.999999999999993,GPa,1.6,-4.440892098500626e-15,-4.440892098500626e-15
perfect_Haa,exact,fit,development_or_control,19.66091286328976,19.66091286328976,19.660912863289738,eV/L0^2,1.9660912863289761,-1.0841959486328886e-14,-1.0841959486328886e-14
perfect_Hxx,exact,fit,development_or_control,4.393593035123306,4.393593035123306,4.393593035123302,eV/L0^2,0.43935930351233066,-1.0107654630274587e-14,-1.0107654630274587e-14
saddle_energy_at_source_state,fit,fit,development_or_control,0.07624909750742465,0.07624909750742465,0.06572279916184735,eV/cell,0.007624909750742465,-1.380514483407795,-1.380514483407795
saddle_normal_force_at_source_state,fit,fit,development_or_control,1.4903612010162394e-15,1.4903612010162394e-15,0.0472067563714393,eV/L0,0.03173805605024358,1.4873865083830649,1.4873865083830649
fault_energy_at_source_state,fit,fit,development_or_control,0.06670794504308616,0.06670794504308616,0.05246916953659937,eV/cell,0.006670794504308616,-2.134494698838358,-2.134494698838358
fault_normal_force_at_source_state,fit,fit,development_or_control,5.29078226360765e-15,5.29078226360765e-15,-0.05355964867318801,eV/L0,0.03173805605024358,-1.6875529045762787,-1.6875529045762787
saddle_path_force_at_source_state,fit,fit,development_or_control,2.296700476743968e-16,2.296700476743968e-16,-0.07124819818679408,eV/L0,0.03173805605024358,-2.24488223456419,-2.24488223456419
opening_1.1h_energy,fit,fit,development_or_control,0.05670265774764735,0.05670265774764735,0.04239493973180019,eV/cell,0.005670265774764736,-2.523288781193118,-2.523288781193118
opening_1.5h_energy,fit,fit,development_or_control,0.4710312483934004,0.4710312483934004,0.34097109927317804,eV/cell,0.04710312483934004,-2.7611787872637583,-2.7611787872637583
opening_2h_energy,fit,fit,development_or_control,0.7060534019484034,0.7060534019484034,0.6063424632130754,eV/cell,0.07060534019484034,-1.412229421459747,-1.412229421459747
opening_40h_energy,fit,fit,development_or_control,0.7719163228888833,0.7719163228888833,0.847317571094367,eV/cell,0.07719163228888834,0.9768059823284446,0.9768059823284446
direct_quarter_energy,fit,fit,development_or_control,0.117221996542065,0.117221996542065,0.10203081816129256,eV/cell,0.0117221996542065,-1.2959324042327756,-1.2959324042327756
direct_half_energy,fit,fit,development_or_control,0.26732847628894163,0.26732847628894163,0.24360140741960523,eV/cell,0.026732847628894163,-0.8875623427296622,-0.8875623427296622
oblique_energy,fit,fit,development_or_control,0.13339289745734875,0.13339289745734875,0.10621535999523378,eV/cell,0.013339289745734876,-2.037405137766406,-2.037405137766406
opening_1.25h_energy,fit,fit,development_or_control,0.24853683654490819,0.24853683654490819,0.1573639847892873,eV/cell,0.02485368365449082,-3.668383850984876,-3.668383850984876
opening_3h_energy,fit,fit,development_or_control,0.7719163228888833,0.7719163228888833,0.8058877625258056,eV/cell,0.07719163228888834,0.4400922564998336,0.4400922564998336
saddle_Haa,fit,fit,development_or_control,12.717337762538286,12.717337762538286,15.748672191217349,eV/L0^2,1.2717337762538286,2.383623432263099,2.383623432263099
saddle_Hxx,fit,fit,development_or_control,-0.18642463121762062,-0.18642463121762062,0.22658215312581426,eV/L0^2,0.018642463121762064,22.15408884791174,22.15408884791174
fault_Haa,fit,fit,development_or_control,14.140554350039636,14.140554350039636,16.61655367681302,eV/L0^2,1.4140554350039638,1.7509916976956725,1.7509916976956725
fault_Hxx,fit,fit,development_or_control,2.4858929774856264,2.4858929774856264,2.801968708337143,eV/L0^2,0.24858929774856264,1.2714776288205847,1.2714776288205847
saddle_normal_path_coupling,fit,fit,development_or_control,1.2055891043737141,1.2055891043737141,0.8499797434057312,eV/L0^2,0.12055891043737142,-2.9496729829249473,-2.9496729829249473
opening_1.1h_normal_force,fit,fit,development_or_control,1.2761663221727821,1.2761663221727821,0.8656668243465058,eV/L0,0.03173805605024358,-12.933983643372068,-12.933983643372068
opening_1.3h_normal_force,fit,fit,development_or_control,1.4139711872929317,1.4139711872929317,0.9479320768339946,eV/L0,0.03173805605024358,-14.68392108581459,-14.68392108581459
opening_1.5h_normal_force,fit,fit,development_or_control,0.6379256757978651,0.6379256757978651,0.8188238672890957,eV/L0,0.03173805605024358,5.6997249990628305,5.6997249990628305
opening_2h_normal_force,fit,fit,development_or_control,0.5548811295393773,0.5548811295393773,0.4797341620270273,eV/L0,0.03173805605024358,-2.367724330481585,-2.367724330481585
opening_2.5h_normal_force,fit,fit,development_or_control,0.0005156382639574782,0.0005156382639574782,0.22260474137747424,eV/L0,0.03173805605024358,6.997564777185284,6.997564777185284
opening_3h_normal_force,fit,fit,development_or_control,0.0,0.0,0.09351801625870197,eV/L0,0.03173805605024358,2.946557788878322,2.946557788878322
shockley_0.15_energy,fit,fit,development_or_control,0.013715574532912111,0.013715574532912111,0.011939076941446285,eV/cell,0.004433026104653031,-0.40074151370350913,-0.40074151370350913
shockley_0.35_energy,fit,fit,development_or_control,0.04820527408303389,0.04820527408303389,0.04512663881636947,eV/cell,0.004820527408303389,-0.6386511279577944,-0.6386511279577944
