observable,role,original_role,validation_status,source_target,imposed_target,prediction,units,scale,imposed_normalized_residual,source_normalized_residual
normal_strain_force_ev,exact,exact,development_or_control,0.0,0.0,2.220446049250313e-16,eV/strain,0.1,2.220446049250313e-15,2.220446049250313e-15
cohesive_ev_atom,exact,exact,development_or_control,3.36,3.36,3.3600000000000008,eV/atom,0.0672,1.3216940769347102e-14,1.3216940769347102e-14
C11_GPa,exact,exact,development_or_control,113.99999999999996,113.99999999999996,113.99999999999997,GPa,5.699999999999998,2.4931324061757908e-15,2.4931324061757908e-15
C12_GPa,exact,exact,development_or_control,62.000000000000014,62.000000000000014,61.99999999999994,GPa,3.100000000000001,-2.2920733411616127e-14,-2.2920733411616127e-14
C44_GPa,exact,exact,development_or_control,32.0,32.0,32.00000000000011,GPa,1.6,6.661338147750939e-14,6.661338147750939e-14
perfect_Haa,exact,fit,development_or_control,19.66091286328976,19.66091286328976,19.66091286328976,eV/L0^2,1.9660912863289761,0.0,0.0
perfect_Hxx,exact,fit,development_or_control,4.393593035123306,4.393593035123306,4.393593035123313,eV/L0^2,0.43935930351233066,1.6172247408439336e-14,1.6172247408439336e-14
saddle_energy_at_source_state,fit,fit,development_or_control,0.07624909750742465,0.07624909750742465,0.06654645678738233,eV/cell,0.007624909750742465,-1.2724925326621126,-1.2724925326621126
saddle_normal_force_at_source_state,fit,fit,development_or_control,1.4903612010162394e-15,1.4903612010162394e-15,0.05242449920046218,eV/L0,0.03173805605024358,1.6517867104862696,1.6517867104862696
fault_energy_at_source_state,fit,fit,development_or_control,0.06670794504308616,0.06670794504308616,0.052504121294643664,eV/cell,0.006670794504308616,-2.129255179314601,-2.129255179314601
fault_normal_force_at_source_state,fit,fit,development_or_control,5.29078226360765e-15,5.29078226360765e-15,-0.050668257948103895,eV/L0,0.03173805605024358,-1.5964512088546872,-1.5964512088546872
saddle_path_force_at_source_state,fit,fit,development_or_control,2.296700476743968e-16,2.296700476743968e-16,-0.07898728856354666,eV/L0,0.03173805605024358,-2.488724843087568,-2.488724843087568
opening_1.1h_energy,fit,fit,development_or_control,0.05670265774764735,0.05670265774764735,0.04214789397849703,eV/cell,0.005670265774764736,-2.566857418557988,-2.566857418557988
opening_1.5h_energy,fit,fit,development_or_control,0.4710312483934004,0.4710312483934004,0.33391850957203617,eV/cell,0.04710312483934004,-2.910905365387756,-2.910905365387756
opening_2h_energy,fit,fit,development_or_control,0.7060534019484034,0.7060534019484034,0.5851174074869462,eV/cell,0.07060534019484034,-1.7128448659510163,-1.7128448659510163
opening_40h_energy,fit,fit,development_or_control,0.7719163228888833,0.7719163228888833,0.7979300817761426,eV/cell,0.07719163228888834,0.33700231638972433,0.33700231638972433
direct_quarter_energy,fit,fit,development_or_control,0.117221996542065,0.117221996542065,0.10522793375331346,eV/cell,0.0117221996542065,-1.0231921603935041,-1.0231921603935041
direct_half_energy,fit,fit,development_or_control,0.26732847628894163,0.26732847628894163,0.250076302453404,eV/cell,0.026732847628894163,-0.6453548860575045,-0.6453548860575045
oblique_energy,fit,fit,development_or_control,0.13339289745734875,0.13339289745734875,0.11005112171623077,eV/cell,0.013339289745734876,-1.7498514678100696,-1.7498514678100696
opening_1.25h_energy,fit,fit,development_or_control,0.24853683654490819,0.24853683654490819,0.1562946684795851,eV/cell,0.02485368365449082,-3.71140831064114,-3.71140831064114
opening_3h_energy,fit,fit,development_or_control,0.7719163228888833,0.7719163228888833,0.7648577320685339,eV/cell,0.07719163228888834,-0.09144243502887434,-0.09144243502887434
saddle_Haa,fit,fit,development_or_control,12.717337762538286,12.717337762538286,15.725449621119516,eV/L0^2,1.2717337762538286,2.3653628729137677,2.3653628729137677
saddle_Hxx,fit,fit,development_or_control,-0.18642463121762062,-0.18642463121762062,0.24873952852528738,eV/L0^2,0.018642463121762064,23.34263218871138,23.34263218871138
fault_Haa,fit,fit,development_or_control,14.140554350039636,14.140554350039636,16.618031550359106,eV/L0^2,1.4140554350039638,1.7520368289610408,1.7520368289610408
fault_Hxx,fit,fit,development_or_control,2.4858929774856264,2.4858929774856264,2.851029405110226,eV/L0^2,0.24858929774856264,1.4688340605632957,1.4688340605632957
saddle_normal_path_coupling,fit,fit,development_or_control,1.2055891043737141,1.2055891043737141,0.8367258014153768,eV/L0^2,0.12055891043737142,-3.059610456167455,-3.059610456167455
opening_1.1h_normal_force,fit,fit,development_or_control,1.2761663221727821,1.2761663221727821,0.8769264657363496,eV/L0,0.03173805605024358,-12.57921580970201,-12.57921580970201
opening_1.3h_normal_force,fit,fit,development_or_control,1.4139711872929317,1.4139711872929317,0.9238486151407058,eV/L0,0.03173805605024358,-15.442740770774595,-15.442740770774595
opening_1.5h_normal_force,fit,fit,development_or_control,0.6379256757978651,0.6379256757978651,0.7834158467250052,eV/L0,0.03173805605024358,4.584092065904065,4.584092065904065
opening_2h_normal_force,fit,fit,development_or_control,0.5548811295393773,0.5548811295393773,0.4469875309323636,eV/L0,0.03173805605024358,-3.399502428132666,-3.399502428132666
opening_2.5h_normal_force,fit,fit,development_or_control,0.0005156382639574782,0.0005156382639574782,0.1980797292047913,eV/L0,0.03173805605024358,6.224832756866896,6.224832756866896
opening_3h_normal_force,fit,fit,development_or_control,0.0,0.0,0.07887464911615734,eV/L0,0.03173805605024358,2.48517580885525,2.48517580885525
shockley_0.15_energy,fit,fit,development_or_control,0.013715574532912111,0.013715574532912111,0.012166024696095293,eV/cell,0.004433026104653031,-0.3495467430679838,-0.3495467430679838
shockley_0.35_energy,fit,fit,development_or_control,0.04820527408303389,0.04820527408303389,0.046152499876259155,eV/cell,0.004820527408303389,-0.4258401691148607,-0.4258401691148607
shockley_0.75_energy,fit,fit,development_or_control,0.08334161260537679,0.08334161260537679,0.07473169235249377,eV/cell,0.00833416126053768,-1.0330877917674877,-1.0330877917674877
new_direct_017_energy,fit,fit,development_or_control,0.05826439239193282,0.05826439239193282,0.05148666477688881,eV/cell,0.0058264392391932825,-1.163270968218736,-1.163270968218736
new_direct_017_normal_force,fit,fit,development_or_control,-0.44118804525591643,-0.44118804525591643,-0.458512948463889,eV/L0,0.03173805605024358,-0.5458715927826847,-0.5458715927826847
new_direct_017_Haa,fit,fit,development_or_control,26.109437232644353,26.109437232644353,20.88783949070702,eV/L0^2,2.6109437232644357,-1.9998890421923092,-1.9998890421923092
new_direct_039_energy,fit,fit,development_or_control,0.2262381941113307,0.2262381941113307,0.21282556006641312,eV/cell,0.022623819411133072,-0.5928545397740085,-0.5928545397740085
new_direct_039_normal_force,fit,fit,development_or_control,-1.9685101248020884,-1.9685101248020884,-1.8976521045747008,eV/L0,0.03173805605024358,2.23258854024375,2.23258854024375
new_direct_039_Haa,fit,fit,development_or_control,36.31678531793335,36.31678531793335,40.045555277903496,eV/L0^2,3.6316785317933356,1.026734587691842,1.026734587691842
new_raised_direct_energy,fit,fit,development_or_control,0.11960599647825673,0.11960599647825673,0.10720665301426177,eV/cell,0.011960599647825674,-1.0366824263906407,-1.0366824263906407
new_raised_direct_normal_force,fit,fit,development_or_control,0.08783049166112324,0.08783049166112324,-0.06969398884331779,eV/L0,0.03173805605024358,-4.963268079653923,-4.963268079653923
new_raised_direct_Haa,fit,fit,development_or_control,20.00400949091716,20.00400949091716,14.59581564512263,eV/L0^2,2.000400949091716,-2.703554928950681,-2.703554928950681
new_off_path_positive_energy,fit,fit,development_or_control,0.05360470506556986,0.05360470506556986,0.04691290464627325,eV/cell,0.0053604705065569865,-1.2483606450424687,-1.2483606450424687
new_off_path_positive_normal_force,fit,fit,development_or_control,0.35206897342006,0.35206897342006,0.2298543471044588,eV/L0,0.03173805605024358,-3.8507281643881033,-3.8507281643881033
new_off_path_positive_Haa,fit,fit,development_or_control,13.446420569551602,13.446420569551602,13.267743036457633,eV/L0^2,1.3446420569551603,-0.1328811129845002,-0.1328811129845002
new_off_path_negative_energy,fit,fit,development_or_control,0.21544733160917068,0.21544733160917068,0.19414671637774794,eV/cell,0.021544733160917068,-0.9886692525885088,-0.9886692525885088
new_off_path_negative_normal_force,fit,fit,development_or_control,-0.05312860042135701,-0.05312860042135701,-0.2972183878053782,eV/L0,0.03173805605024358,-7.690760486326252,-7.690760486326252
new_off_path_negative_Haa,fit,fit,development_or_control,13.5831841481301,13.5831841481301,13.219220389710378,eV/L0^2,1.35831841481301,-0.2679517221076812,-0.2679517221076812
new_shockley_058_energy,fit,fit,development_or_control,0.07969505412787091,0.07969505412787091,0.07637064212931621,eV/cell,0.007969505412787091,-0.41714156981695116,-0.41714156981695116
new_shockley_058_normal_force,fit,fit,development_or_control,-0.6123357455328253,-0.6123357455328253,-0.6471226796636362,eV/L0,0.03173805605024358,-1.0960637940692,-1.0960637940692
new_shockley_058_Haa,fit,fit,development_or_control,23.107568998056017,23.107568998056017,26.206386450558906,eV/L0^2,2.3107568998056016,1.3410400084766965,1.3410400084766965
new_opening_1.17h_energy,fit,fit,development_or_control,0.14263027381623705,0.14263027381623705,0.0941657099292176,eV/cell,0.014263027381623706,-3.3979156451357966,-3.3979156451357966
new_opening_1.17h_normal_force,fit,fit,development_or_control,1.6398229617729339,1.6398229617729339,0.9388375113581582,eV/L0,0.03173805605024358,-22.086590599785517,-22.086590599785517
new_opening_1.42h_energy,fit,fit,development_or_control,0.4226003973463561,0.4226003973463561,0.28096885237474994,eV/cell,0.042260039734635615,-3.3514295268285648,-3.3514295268285648
new_opening_1.42h_normal_force,fit,fit,development_or_control,0.8686291067124379,0.8686291067124379,0.838405535512739,eV/L0,0.03173805605024358,-0.9522817387382777,-0.9522817387382777
new_opening_1.78h_energy,fit,fit,development_or_control,0.5953584311886578,0.5953584311886578,0.49168910108974234,eV/cell,0.05953584311886578,-1.7412927182694864,-1.7412927182694864
new_opening_1.78h_normal_force,fit,fit,development_or_control,0.5989965116849877,0.5989965116849877,0.5951365054848637,eV/L0,0.03173805605024358,-0.12162075062232175,-0.12162075062232175
new_opening_2.23h_energy,fit,fit,development_or_control,0.7765619947928292,0.7765619947928292,0.6560990819056238,eV/cell,0.07765619947928293,-1.551233690226398,-1.551233690226398
new_opening_2.23h_normal_force,fit,fit,development_or_control,0.15664558956102492,0.15664558956102492,0.3139260087833362,eV/L0,0.03173805605024358,4.955578217308751,4.955578217308751
new_opening_3.4h_energy,fit,fit,development_or_control,0.7719163228888833,0.7719163228888833,0.7828615358471925,eV/cell,0.07719163228888834,0.14179273884696367,0.14179273884696367
new_opening_3.4h_normal_force,fit,fit,development_or_control,0.0,0.0,0.03656265058249656,eV/L0,0.03173805605024358,1.1520129186430104,1.1520129186430104
new_opening_5.5h_energy,fit,fit,development_or_control,0.7719163228888833,0.7719163228888833,0.797719306697418,eV/cell,0.07719163228888834,0.3342717732923099,0.3342717732923099
new_opening_5.5h_normal_force,fit,fit,development_or_control,0.0,0.0,0.0005345711722628923,eV/L0,0.03173805605024358,0.016843223523729002,0.016843223523729002
v16_direct011_energy,fit,fit,development_or_control,0.025339211626875774,0.025339211626875774,0.023194732092231794,eV/cell,0.004433026104653031,-0.4837507120459031,-0.4837507120459031
v16_direct011_normal_force,fit,fit,development_or_control,-0.1684646879274777,-0.1684646879274777,-0.25088930758356953,eV/L0,0.03173805605024358,-2.5970279819787274,-2.5970279819787274
