model,stretch,radius,qx,qy,qz,minimum_H,tail_bound,margin,radius_change
shape_refinement/old_family,0.98,12.0,0.01,0.0,0.0,0.013819147280972737,2.6879561714766054e-06,0.01381645932480126,
shape_refinement/old_family,0.98,12.0,0.01,0.01,0.0,0.01778320327762073,5.375932209048466e-06,0.01777782734541168,
shape_refinement/old_family,0.98,12.0,0.01,0.01,0.01,0.03159501706552099,8.06390792010275e-06,0.031586953157600885,
shape_refinement/old_family,0.98,12.0,0.08,0.0,0.0,0.8723797555518747,2.8163683865542345e-05,0.8723515918680093,
shape_refinement/old_family,0.98,12.0,0.08,0.08,0.0,1.0963737857298894,2.8180138261957924e-05,1.0963456055916274,
shape_refinement/old_family,0.98,12.0,0.08,0.08,0.08,1.939350480019381,2.8195560811832866e-05,1.9393222844585691,
shape_refinement/old_family,0.98,12.0,0.16,0.0,0.0,3.352679817998077,2.8206102468577464e-05,3.3526516118956082,
shape_refinement/old_family,0.98,12.0,0.16,0.08,0.0,3.1197363162822356,2.822022903867845e-05,3.119708096053197,
shape_refinement/old_family,0.98,12.0,0.16,0.08,0.08,3.55080455900581,2.823343789658581e-05,3.5507763255679134,
shape_refinement/old_family,0.98,12.0,0.16,0.16,0.0,3.921616525857089,2.8254646663414546e-05,3.921588271210426,
shape_refinement/old_family,0.98,12.0,0.16,0.16,0.08,4.680855370284081,2.8265898098866273e-05,4.680827104385982,
shape_refinement/old_family,0.98,12.0,0.16,0.16,0.16,6.833760243646021,2.8293713492896074e-05,6.833731949932528,
shape_refinement/old_family,0.98,12.0,0.24,0.0,0.0,7.097783574668788,2.82594284985016e-05,7.097755315240289,
shape_refinement/old_family,0.98,12.0,0.24,0.08,0.0,6.6295333962311265,2.827004054809776e-05,6.629505126190578,
shape_refinement/old_family,0.98,12.0,0.24,0.08,0.08,6.5676270304522495,2.828012675855451e-05,6.567598750325491,
shape_refinement/old_family,0.98,12.0,0.24,0.16,0.0,6.355260568083191,2.829628583692729e-05,6.3552322717973535,
