model,state,radius,reciprocal_unit_channel,direct_unit_channel,absolute_error
shape_refinement/old_family,0,6,6.31762221041203e-06,6.317622209679522e-06,7.325081635548882e-16
shape_refinement/old_family,0,10,6.31762221041203e-06,6.317622210410161e-06,1.869401714590241e-18
shape_refinement/old_family,0,16,6.31762221041203e-06,6.317622210410161e-06,1.869401714590241e-18
shape_refinement/old_family,1,6,0.02348768667221323,0.023487686669994505,2.218725203562144e-12
shape_refinement/old_family,1,10,0.02348768667221323,0.02348768667221322,1.0408340855860843e-17
shape_refinement/old_family,1,16,0.02348768667221323,0.02348768667221322,1.0408340855860843e-17
shape_refinement/old_family,2,6,0.09162564358650975,0.09162564357912165,7.388104017458375e-12
shape_refinement/old_family,2,10,0.09162564358650975,0.09162564358650958,1.6653345369377348e-16
shape_refinement/old_family,2,16,0.09162564358650975,0.09162564358650958,1.6653345369377348e-16
shape_refinement/old_family,3,6,0.005739573469623212,0.0057395734698173235,1.9411122015311477e-13
shape_refinement/old_family,3,10,0.005739573469623212,0.005739573469623135,7.719519468096792e-17
shape_refinement/old_family,3,16,0.005739573469623212,0.005739573469623135,7.719519468096792e-17
