model,case,fraction,axis,source_angstrom,prediction_angstrom,error_angstrom,primary_component_relative_error,interpretation
shape_refinement/old_family,normal_xx50MPa,1.0,a,0.00030917778874867206,0.0003116640253336581,2.486236584986034e-06,,all components retained; relative error only on directly forced primary components
shape_refinement/old_family,normal_xx50MPa,1.0,x,-0.0016882410306178226,-0.0016879335762321624,3.0745438566012924e-07,,all components retained; relative error only on directly forced primary components
shape_refinement/old_family,normal_xx50MPa,1.0,y,-0.000974706413484825,-0.0009745289046111227,1.7750887370236723e-07,,all components retained; relative error only on directly forced primary components
shape_refinement/old_family,normal_xx50MPa,-1.0,a,-0.00030722199202982395,-0.0003047374504365266,2.484541593297362e-06,,all components retained; relative error only on directly forced primary components
shape_refinement/old_family,normal_xx50MPa,-1.0,x,0.0016899800659436698,0.0016903746444701206,3.9457852645083565e-07,,all components retained; relative error only on directly forced primary components
shape_refinement/old_family,normal_xx50MPa,-1.0,y,0.000975710445997026,0.0009759382560148371,2.2781001781117718e-07,,all components retained; relative error only on directly forced primary components
shape_refinement/old_family,normal_yx50MPa,1.0,a,0.00030917778874867206,0.00031166402533334015,2.486236584668092e-06,,all components retained; relative error only on directly forced primary components
shape_refinement/old_family,normal_yx50MPa,1.0,x,0.0016882410306189948,0.0016879335762322516,-3.074543867432472e-07,,all components retained; relative error only on directly forced primary components
shape_refinement/old_family,normal_yx50MPa,1.0,y,-0.0009747064134843638,-0.0009745289046136225,1.7750887074130268e-07,,all components retained; relative error only on directly forced primary components
shape_refinement/old_family,normal_yx50MPa,-1.0,a,-0.00030722199203045983,-0.0003047374504365266,2.4845415939332466e-06,,all components retained; relative error only on directly forced primary components
shape_refinement/old_family,normal_yx50MPa,-1.0,x,-0.0016899800659434482,-0.0016903746444725536,-3.9457852910539624e-07,,all components retained; relative error only on directly forced primary components
shape_refinement/old_family,normal_yx50MPa,-1.0,y,0.0009757104459973201,0.0009759382560145439,2.2781001722375644e-07,,all components retained; relative error only on directly forced primary components
shape_refinement/old_family,normal_zx50MPa,1.0,a,0.0003091777887483541,0.00031166402533620163,2.4862365878475148e-06,,all components retained; relative error only on directly forced primary components
shape_refinement/old_family,normal_zx50MPa,1.0,x,4.8552802656768616e-17,-1.2079514109936935e-15,-1.2565042136504622e-15,,all components retained; relative error only on directly forced primary components
shape_refinement/old_family,normal_zx50MPa,1.0,y,0.0019494128269680953,0.0019490578092225556,-3.550177455396899e-07,,all components retained; relative error only on directly forced primary components
