model,a_over_h,component,force_MPa,Haa_eV_L0sq,energy_eV_cell
shape_refinement/old_family,2.5,pair_6,-0.1099978357889084,7.384618460900207e-05,-0.014383154222064072
shape_refinement/old_family,2.5,pair_3,29.972216168054853,-0.007683137352239198,0.045940414316270446
shape_refinement/old_family,2.5,embedding,1093.4951255847425,-0.3089110669274885,0.4288340926243035
shape_refinement/old_family,2.5,angular_3,21.83397355363718,-0.01117117938913394,0.015644189199185896
shape_refinement/old_family,2.5,angular_1,91.6197034686437,-0.05391720294297651,0.22351065661857658
shape_refinement/old_family,2.5,angular_2,0.04520496041754084,-5.165390629117188e-05,0.017137622436387123
shape_refinement/old_family,2.5,angular_Eg_radial,1.2280843651795545,-0.0008723435198932823,0.0522634915933711
shape_refinement/old_family,2.5,angular_rank3_quartic,4.522863565494207,-0.0022021651671581327,0.0015536899591431365
shape_refinement/old_family,3.0,pair_6,-0.01544908116625938,8.588824854524663e-06,-0.01438557869293643
shape_refinement/old_family,3.0,pair_3,14.333907133989278,-0.002949881900048521,0.047024538774609104
shape_refinement/old_family,3.0,embedding,422.82377421785543,-0.12920871283135002,0.4656399772833013
shape_refinement/old_family,3.0,angular_3,3.486355458472299,-0.0021353744656841503,0.016176065914484384
shape_refinement/old_family,3.0,angular_1,13.188684143830377,-0.008105430673796356,0.22562181217417207
shape_refinement/old_family,3.0,angular_2,0.0010689036720266524,-1.2646162725572923e-06,0.017138238923493882
shape_refinement/old_family,3.0,angular_Eg_radial,0.12138689147736985,-8.844588622959089e-05,0.052288389752642585
shape_refinement/old_family,3.0,angular_rank3_quartic,0.7496685630868855,-0.00045610353207566816,0.0016659443700140105
shape_refinement/old_family,4.0,pair_6,-0.0007245123281645808,2.9668453264239e-07,-0.014386044184431325
shape_refinement/old_family,4.0,pair_3,4.722809130874398,-0.0006890188225503696,0.04789411874136566
shape_refinement/old_family,4.0,embedding,55.21052278648284,-0.017902510893275016,0.48453536271531705
shape_refinement/old_family,4.0,angular_3,0.05160022835361274,-3.541467145080383e-05,0.01626335514810138
shape_refinement/old_family,4.0,angular_1,0.22887408560130154,-0.00014716434599246726,0.22595737953044495
shape_refinement/old_family,4.0,angular_2,4.5062183814198426e-07,-5.535625208666663e-10,0.017138253386641506
shape_refinement/old_family,4.0,angular_Eg_radial,0.001018813704563477,-7.700628901535564e-07,0.052291029427386476
shape_refinement/old_family,4.0,angular_rank3_quartic,0.011177579982891222,-7.669048747469649e-06,0.0016847768770963927
