case,step,minimum_eigenvalue,eigen_residual,translation_overlap,translation_gauge_eigenvalue,affine_strain_included
dipole_n16_r8_shortpair,0,0.5825777344990052,1.3515518454897664e-09,8.844544914829697e-15,1.0,True
dipole_n24_r10_newton,0,0.25782901288870896,7.876194505982489e-09,7.998431410621636e-15,1.0,True
dipole_n24_r6,0,0.25513782345921865,7.996864941395998e-10,3.3772842596927757e-15,1.0,True
dipole_n24_r6,6,0.2551378225718479,4.4227016555406665e-08,8.201717114713991e-14,1.0,True
dipole_n32_r8_newton,0,0.14439236882036582,3.2874681965424093e-09,3.930864558741602e-15,1.0,True
dipole_n32_r8_newton,2,0.14439236882157117,2.9382696788751103e-09,1.7528655416880746e-15,1.0,True
dipole_n8_r10_shortpair,0,1.3972659678448818,9.792551695257334e-14,8.50190073206666e-15,1.0,True
dipole_n8_r10_shortpair,2,1.3972659783001034,9.364533411363605e-14,5.5221203365529235e-14,1.0,True
dipole_n8_r16_shortpair,0,1.3975563743183048,1.0267192334954607e-13,1.772372819676268e-14,1.0,True
dipole_n8_r16_shortpair,2,1.397556375443611,1.0364198438242457e-13,4.468705408989505e-14,1.0,True
dipole_n8_r4_shortpair,0,1.3322378896474096,1.0283612550835005e-13,4.2457556250753576e-14,1.0,True
