model,step_L0,a_L0,ux_L0,uy_L0,hessian_max_abs_error_eV_L0sq,hessian_relative_norm_error
analytic_candidate,1e-05,1.2329098372008662,0.307,-0.071,3.1365970931673814e-10,4.448068732213563e-10
analytic_candidate,5e-06,1.2329098372008662,0.307,-0.071,1.027173346379584e-10,1.3594496540186992e-10
analytic_candidate,2.5e-06,1.2329098372008662,0.307,-0.071,1.4712625562296466e-10,2.0871860453947055e-10
analytic_candidate,1.25e-06,1.2329098372008662,0.307,-0.071,5.444261708120735e-10,4.616438713026544e-10
analytic_candidate,6.25e-07,1.2329098372008662,0.307,-0.071,1.1661510646021611e-09,1.1715682920906142e-09
Mishin_source_only,1e-05,1.2329098372008664,0.307,-0.071,2.07884187163887e-05,1.1552417032233557e-05
Mishin_source_only,5e-06,1.2329098372008664,0.307,-0.071,5.554397997098448e-09,3.065787772937212e-09
Mishin_source_only,2.5e-06,1.2329098372008664,0.307,-0.071,1.3355505035228532e-09,7.443372017901848e-10
Mishin_source_only,1.25e-06,1.2329098372008664,0.307,-0.071,2.475319393901998e-10,1.8175881284958078e-10
Mishin_source_only,6.25e-07,1.2329098372008664,0.307,-0.071,5.074197173549067e-10,4.423892863170567e-10
