model,span_um,core_radius_over_b,outer_radius_over_span,critical_outer_only_MPa,status
historical_candidate,0.5,0.5,1.0,31.74091605209405,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
historical_candidate,0.5,1.0,1.0,29.044103723207446,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
historical_candidate,0.5,2.0,1.0,26.347291394320834,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
historical_candidate,1.0,0.5,1.0,17.21886419049033,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
historical_candidate,1.0,1.0,1.0,15.870458026047025,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
historical_candidate,1.0,2.0,1.0,14.522051861603723,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
historical_candidate,2.0,0.5,1.0,9.283635177466815,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
historical_candidate,2.0,1.0,1.0,8.609432095245165,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
historical_candidate,2.0,2.0,1.0,7.935229013023513,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
historical_candidate,5.0,0.5,1.0,4.069953269406109,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
historical_candidate,5.0,1.0,1.0,3.800272036517448,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
historical_candidate,5.0,2.0,1.0,3.5305908036287867,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
historical_candidate,10.0,0.5,1.0,2.1698172511473848,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
historical_candidate,10.0,1.0,1.0,2.0349766347030545,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
historical_candidate,10.0,2.0,1.0,1.900136018258724,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v10_exchange_rejected,0.5,0.5,1.0,31.948052963698373,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v10_exchange_rejected,0.5,1.0,1.0,29.2336416034522,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v10_exchange_rejected,0.5,2.0,1.0,26.51923024320603,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v10_exchange_rejected,1.0,0.5,1.0,17.33123216197227,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v10_exchange_rejected,1.0,1.0,1.0,15.974026481849187,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v10_exchange_rejected,1.0,2.0,1.0,14.6168208017261,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v10_exchange_rejected,2.0,0.5,1.0,9.344218921047679,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v10_exchange_rejected,2.0,1.0,1.0,8.665616080986135,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v10_exchange_rejected,2.0,2.0,1.0,7.987013240924593,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v10_exchange_rejected,5.0,0.5,1.0,4.096513232238154,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v10_exchange_rejected,5.0,1.0,1.0,3.825072096213537,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v10_exchange_rejected,5.0,2.0,1.0,3.55363096018892,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v10_exchange_rejected,10.0,0.5,1.0,2.1839771841313858,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v10_exchange_rejected,10.0,1.0,1.0,2.048256616119077,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v10_exchange_rejected,10.0,2.0,1.0,1.9125360481067686,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v11_cubic_5pct_not_adopted,0.5,0.5,1.0,23.181958889928175,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v11_cubic_5pct_not_adopted,0.5,1.0,1.0,21.212343632463785,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v11_cubic_5pct_not_adopted,0.5,2.0,1.0,19.2427283749994,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v11_cubic_5pct_not_adopted,1.0,0.5,1.0,12.575787073696281,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v11_cubic_5pct_not_adopted,1.0,1.0,1.0,11.590979444964088,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v11_cubic_5pct_not_adopted,1.0,2.0,1.0,10.606171816231893,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v11_cubic_5pct_not_adopted,2.0,0.5,1.0,6.780297351214238,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v11_cubic_5pct_not_adopted,2.0,1.0,1.0,6.287893536848141,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v11_cubic_5pct_not_adopted,2.0,2.0,1.0,5.795489722482044,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v11_cubic_5pct_not_adopted,5.0,0.5,1.0,2.972487914981794,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v11_cubic_5pct_not_adopted,5.0,1.0,1.0,2.7755263892353543,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v11_cubic_5pct_not_adopted,5.0,2.0,1.0,2.578564863488916,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v11_cubic_5pct_not_adopted,10.0,0.5,1.0,1.5847247203641164,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v11_cubic_5pct_not_adopted,10.0,1.0,1.0,1.486243957490897,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
